negatives
"('Q8IVL1', 'P25054')"
"('O95741', 'P18146')"
"('O95782', 'P05787')"
"('Q86SQ9', 'P61916')"
"('Q92830', 'Q96AE4')"
"('P62993', 'P08588')"
"('Q14449', 'P01111')"
"('P78527', 'P15924')"
"('P32121', 'Q9NZP2')"
"('Q9GZP0', 'P14616')"
"('Q14008', 'O15117')"
"('P51571', 'O60739')"
"('P49716', 'P11511')"
"('Q93009', 'P62979')"
"('O95267', 'Q86XP0')"
"('Q12834', 'Q9Y2T1')"
"('Q9UDY2', 'Q8N7P3')"
"('P11362', 'P35222')"
"('P05129', 'P10398')"
"('Q99460', 'Q15797')"
"('P28482', 'P10636')"
"('Q13177', 'Q15052')"
"('Q9UQL6', 'Q9HCU9')"
"('O15031', 'P15153')"
"('P11047', 'P30101')"
"('Q12834', 'Q9Y2Z4')"
"('Q96PU5', 'P51168')"
"('Q09472', 'P50553')"
"('Q15797', 'Q9HAU4')"
"('P0CG48', 'Q9UPV0')"
"('Q9UBD3', 'O00574')"
"('O75352', 'Q15758')"
"('P04156', 'P29372')"
"('Q8N1F7', 'Q9NRG9')"
"('Q14738', 'Q9NY47')"
"('P0CG48', 'P25098')"
"('P18146', 'P54762')"
"('O60341', 'P04637')"
"('Q96B26', 'Q13615')"
"('O75159', 'P42701')"
"('Q01844', 'Q9NYG2')"
"('Q969T4', 'P50914')"
"('Q8NHQ1', 'Q6P1J9')"
"('Q96EV8', 'Q6QNY1')"
"('P08754', 'Q01668')"
"('Q8IXI1', 'O96013')"
"('P07900', 'P51617')"
"('Q96PU5', 'P07333')"
"('P61586', 'Q9H2X3')"
"('O00161', 'Q9NYB9')"
"('P35326', 'P00519')"
"('Q13257', 'Q9UJX2')"
"('P63010', 'P05787')"
"('P46109', 'P53779')"
"('Q99961', 'Q05193')"
"('P45983', 'Q8NER1')"
"('P01106', 'P0CG48')"
"('P08238', 'P00533')"
"('Q13233', 'O95816')"
"('P03956', 'P15407')"
"('Q15283', 'P01116')"
"('Q13618', 'Q14145')"
"('O14678', 'O43261')"
"('Q99741', 'Q9BXI2')"
"('Q9H1I8', 'Q9NTK5')"
"('Q9Y4G6', 'P53708')"
"('Q8TDB6', 'Q96LR5')"
"('O43541', 'O75582')"
"('Q969V5', 'P63279')"
"('P01589', 'P15884')"
"('Q6PKG0', 'P27348')"
"('P43220', 'Q5JWF2')"
"('Q9BRP4', 'P20073')"
"('O15015', 'Q9Y2I6')"
"('P01241', 'P35998')"
"('Q9Y3A3', 'Q15819')"
"('Q13315', 'Q15075')"
"('P30281', 'P46527')"
"('Q8TC92', 'Q8TBB1')"
"('Q68CZ2', 'P04626')"
"('P30480', 'P20618')"
"('Q13007', 'Q99665')"
"('Q9H0H5', 'P17081')"
"('Q13315', 'Q15334')"
"('P04637', 'Q6AZY7')"
"('Q13303', 'Q9H1K1')"
"('407026', 'Q9UBC3')"
"('Q99598', 'Q15631')"
"('Q13573', 'Q15021')"
"('P11161', 'Q9Y3C7')"
"('P61626', 'Q9P2S5')"
"('Q8TB24', 'P12931')"
"('Q9NYJ8', 'P53779')"
"('P08709', 'Q9Y6K9')"
"('P21462', 'P84996')"
"('P23508', 'Q9UJZ1')"
"('P16070', 'P16157')"
"('P19387', 'P18615')"
"('Q6PD62', 'Q03164')"
"('P06213', 'P62745')"
"('P59768', 'Q15147')"
"('Q96A08', 'Q15291')"
"('Q9NQC3', 'Q07817')"
"('Q99836', 'P07437')"
"('Q15796', 'P05412')"
"('Q9UN72', 'P00519')"
"('Q9NRD5', 'Q01959')"
"('Q86Y01', 'P61077')"
"('Q92620', 'P07910')"
"('P63218', 'P48544')"
"('Q13315', 'P49916')"
"('Q13347', 'P60228')"
"('Q15042', 'Q9Y2Q3')"
"('407024', 'Q01453')"
"('Q14254', 'O75955')"
"('P51681', 'Q8N138')"
"('P61244', 'P01106')"
"('Q9HBI0', 'P18084')"
"('P42336', 'P31751')"
"('P50151', 'O14827')"
"('Q15287', 'Q9UKJ3')"
"('Q15329', 'O95661')"
"('Q9UJM3', 'P62736')"
"('P47897', 'P49841')"
"('O14544', 'P42224')"
"('P51864', 'P46379')"
"('Q16206', 'P43364')"
"('P78559', 'P62993')"
"('P17931', 'P55211')"
"('Q6RFH5', 'O95989')"
"('Q14164', 'Q13137')"
"('P62195', 'O75934')"
"('O00203', 'P59780')"
"('O75970', 'P28223')"
"('P19086', 'O43665')"
"('Q92574', 'Q16539')"
"('Q92844', 'Q14653')"
"('P46459', 'P08575')"
"('P35225', 'P17181')"
"('Q13464', 'P35580')"
"('P21333', 'P00519')"
"('P42574', 'Q08209')"
"('P01112', 'P19174')"
"('O75159', 'P51692')"
"('P62714', 'O43815')"
"('P05013', 'Q5VWK5')"
"('P30260', 'Q96DE5')"
"('Q9BZE0', 'P35222')"
"('406952', 'P10145')"
"('P02768', 'Q9HCM1')"
"('Q96F24', 'Q16531')"
"('Q86XI6', 'P46019')"
"('P61981', 'P07196')"
"('P62888', 'Q00005')"
"('Q92499', 'P61978')"
"('P51153', 'Q9HAU4')"
"('P27986', 'P98082')"
"('P27540', 'P29590')"
"('P39023', 'P84098')"
"('O14530', 'Q15047')"
"('Q9UNN5', 'P62834')"
"('O15162', 'Q16659')"
"('Q16531', 'Q9H7D7')"
"('Q9UL18', 'Q9HCE1')"
"('P05187', 'Q92643')"
"('Q9BT22', 'Q01094')"
"('Q14653', 'Q07325')"
"('Q9NZM3', 'Q8IVH8')"
"('Q8NI35', 'O14493')"
"('O43318', 'O75477')"
"('Q13751', 'P18564')"
"('P35680', 'P40261')"
"('P13746', 'Q8NHL6')"
"('Q13131', 'Q9BUM1')"
"('P62854', 'Q9UL18')"
"('P23526', 'O60739')"
"('Q86UP2', 'P61073')"
"('P06454', 'Q99623')"
"('P52797', 'P06213')"
"('Q13263', 'O76071')"
"('Q9H6S1', 'Q7Z434')"
"('P13861', 'P84022')"
"('P01009', 'P17538')"
"('Q92793', 'Q92830')"
"('P41220', 'P63167')"
"('Q99836', 'P50991')"
"('Q14254', 'P13569')"
"('Q8NHR9', 'P68032')"
"('Q15583', 'O75716')"
"('Q9H3N1', 'P16615')"
"('P02461', 'P09486')"
"('P20073', 'P54252')"
"('Q13257', 'Q9BS18')"
"('O43318', 'Q9UGJ0')"
"('P09544', 'Q13467')"
"('P63104', 'P31327')"
"('P99999', 'P01889')"
"('P07900', 'Q9H7B4')"
"('O00471', 'Q8TAG9')"
"('Q92769', 'Q7L7L0')"
"('P51965', 'O00762')"
"('Q969H0', 'Q9H3D4')"
"('Q6ZVN8', 'P22004')"
"('P17275', 'P24385')"
"('Q99750', 'Q9NQX5')"
"('Q15796', 'P12757')"
"('P22612', 'Q9UBI6')"
"('O60496', 'O60232')"
"('P00167', 'P41235')"
"('P23467', 'P09382')"
"('P18627', 'Q9HC77')"
"('Q12933', 'Q5D1E8')"
"('P04637', 'O14920')"
"('Q13315', 'O60506')"
"('Q14164', 'P55209')"
"('Q969Y2', 'Q92597')"
"('Q92985', 'Q13568')"
"('P35240', 'Q9Y4J8')"
"('Q3ZCQ8', 'P25963')"
"('P20226', 'P51784')"
"('Q15233', 'Q01201')"
"('O15259', 'Q9Y283')"
"('P01106', 'P08575')"
"('P49902', 'Q9BVI4')"
"('O96014', 'Q9H1J7')"
"('P68371', 'P16871')"
"('P20337', 'Q13485')"
"('P11532', 'P05787')"
"('O43639', 'Q14185')"
"('P62263', 'P62244')"
"('Q96CN9', 'Q9Y2J4')"
"('O43741', 'P04637')"
"('O75400', 'P18583')"
"('P15260', 'O60674')"
"('Q00005', 'Q562F6')"
"('Q12959', 'P36507')"
