#tail	head	KSP index
SRC	P32927	1
SRC	P19235	2
SRC	P16871	3
SRC	P10721	4
SRC	Q92729	5
SRC	O00220	6
P32927	P42229	7
P32927	P52333	8
P32927	P08631	9
P32927	Q06124	10
P32927	P51692	11
P32927	P29353	12
P32927	O00459	13
P32927	P27986	14
P32927	O60674	15
P32927	P10721	16
P32927	P06241	17
P19235	P27986	18
P19235	P29353	19
P19235	O60674	20
P19235	P52333	21
P19235	P15498	22
P19235	P10721	23
P16871	P42229	24
P16871	P42224	25
P16871	P27986	26
P16871	P51692	27
P16871	P10721	28
P16871	O60674	29
P16871	P52333	30
P16871	P06241	31
P10721	P42229	32
P10721	P52333	33
P10721	P42224	34
P10721	P15498	35
P10721	Q99704	36
P10721	O14544	37
P10721	P51692	38
P10721	P29353	39
P10721	P06241	40
P10721	P46108	41
P10721	Q8WXH5	42
P10721	P08631	43
P10721	P19174	44
P10721	P12931	45
P10721	P32927	46
P10721	O00459	47
P10721	O75159	48
P10721	P27986	49
P10721	O15524	50
P10721	O60674	51
P10721	P19235	52
P10721	P46109	53
P10721	Q06124	54
P10721	P16871	55
P42229	P42224	56
P42229	P32927	57
P42229	P46109	58
P42229	P46108	59
P42229	P51692	60
P42229	O00459	61
P42229	P12931	62
P42229	P27986	63
P42229	Q06124	64
P42229	P16871	65
P42229	SNK	66
P52333	P42229	67
P52333	P42224	68
P52333	P51692	69
P52333	P19174	70
P52333	P27986	71
P52333	O00459	72
P52333	O60674	73
P52333	Q06124	74
P52333	P16871	75
P52333	P10721	76
P42224	O43524	77
P42224	P42229	78
P42224	Q06124	79
P42224	P51692	80
P42224	P10721	81
P42224	P12931	82
P42224	P16871	83
P42224	SNK	84
P15498	P00519	85
P15498	P46108	86
P15498	P19235	87
P15498	O15524	88
P15498	P27986	89
Q99704	P08631	90
Q99704	P00519	91
Q99704	P29353	92
Q99704	P46109	93
Q99704	P19174	94
Q99704	P12931	95
Q99704	O00459	96
Q99704	P10721	97
Q99704	P27986	98
Q99704	Q06124	99
O14544	P42229	100
O14544	P52333	101
O14544	P42224	102
O14544	P51692	103
O14544	P19235	104
O14544	P10721	105
O14544	O60674	106
O14544	P16871	107
P51692	P42229	108
P51692	P42224	109
P51692	P32927	110
P51692	P46109	111
P51692	P46108	112
P51692	P16871	113
P51692	SNK	114
P29353	O43524	115
P29353	O00459	116
P29353	P19235	117
P29353	Q99704	118
P29353	P46109	119
P29353	P27986	120
P29353	Q06124	121
P29353	P32927	122
P29353	P19174	123
P29353	P12931	124
P06241	P15498	125
P06241	P10721	126
P06241	Q99704	127
P06241	P27986	128
P06241	Q06124	129
P06241	O15524	130
P06241	P29353	131
P06241	P19174	132
P06241	O00459	133
P06241	O60674	134
P06241	P16871	135
P06241	P00519	136
P06241	P12931	137
P06241	P32927	138
P46108	P15498	139
P46108	P42229	140
P46108	P46109	141
P46108	P27986	142
P46108	P51692	143
P46108	O00459	144
P46108	P00519	145
Q8WXH5	P42229	146
Q8WXH5	P52333	147
Q8WXH5	P42224	148
Q8WXH5	P32927	149
Q8WXH5	P51692	150
Q8WXH5	P19235	151
Q8WXH5	P10721	152
Q8WXH5	P16871	153
Q8WXH5	O60674	154
P08631	Q99704	155
P08631	P00519	156
P08631	P29353	157
P08631	O00459	158
P08631	P32927	159
P08631	P27986	160
P08631	P10721	161
P19174	P15498	162
P19174	Q99704	163
P19174	P29353	164
P19174	P10721	165
P19174	O60674	166
P19174	P52333	167
P19174	Q06124	168
P19174	P00519	169
P19174	P12931	170
P19174	P06241	171
P12931	P42229	172
P12931	Q99704	173
P12931	P27986	174
P12931	Q06124	175
P12931	P29353	176
P12931	P42224	177
P12931	O00459	178
