#tail	head	KSP index
SRC	P05556	1
SRC	P05106	2
SRC	P34741	3
SRC	P36897	4
SRC	P37173	5
P05556	Q05397	6
P05556	P27986	7
P05556	P29353	8
P05556	P37173	9
P05106	P29353	10
P05106	P37173	11
P05106	Q05397	12
P34741	P01137	13
P36897	O75807	14
P36897	Q9H0M0	15
P36897	P27986	16
P36897	P84022	17
P36897	P29590	18
P36897	P29353	19
P36897	P37173	20
P36897	P30153	21
P36897	P62942	22
P36897	Q13485	23
P36897	O15105	24
P36897	P98082	25
P36897	P57059	26
P36897	P36873	27
P36897	O43541	28
P36897	Q15796	29
P36897	Q9UER7	30
P36897	O95405	31
P36897	O15169	32
P37173	P08047	33
P37173	P05556	34
P37173	P36897	35
P37173	O95405	36
P37173	P23511	37
P37173	P05106	38
P37173	Q9HAU4	39
P37173	P29353	40
P37173	Q15796	41
P37173	P25208	42
P37173	O43541	43
P37173	P30153	44
P37173	Q9UER7	45
P37173	P27986	46
P37173	P35222	47
P37173	Q13485	48
P37173	O15105	49
P37173	P05412	50
P37173	Q9H0M0	51
P37173	P98082	52
P37173	P84022	53
P08047	P10275	54
P08047	Q92793	55
P08047	P03372	56
P08047	P05412	57
P08047	P29590	58
P08047	P29353	59
P08047	P38398	60
P08047	P37173	61
P08047	Q01196	62
P08047	P01106	63
P08047	P04637	64
P08047	SNK	65
O95405	Q13485	66
O95405	P36897	67
O95405	P29590	68
O95405	P36873	69
O95405	Q15796	70
O95405	P37173	71
O95405	P30153	72
O95405	P35222	73
O95405	P84022	74
P23511	P38398	75
P23511	P37173	76
P23511	P04637	77
P23511	P25208	78
P23511	SNK	79
Q9HAU4	O15105	80
Q9HAU4	Q9H0M0	81
Q9HAU4	P84022	82
Q9HAU4	P36897	83
Q9HAU4	P37173	84
Q9HAU4	P98082	85
Q9HAU4	O43541	86
Q9HAU4	Q15796	87
Q9HAU4	SNK	88
P29353	O43524	89
P29353	P03372	90
P29353	P27986	91
P29353	P36897	92
P29353	P37173	93
P29353	P08047	94
P29353	P05556	95
P29353	P05106	96
Q15796	Q9HAU4	97
Q15796	Q9H0M0	98
Q15796	O75593	99
Q15796	P29590	100
Q15796	P03372	101
Q15796	P28749	102
Q15796	P05412	103
Q15796	P84022	104
Q15796	O43524	105
Q15796	P30153	106
Q15796	P35222	107
Q15796	Q13485	108
Q15796	P98082	109
Q15796	P08047	110
Q15796	Q15583	111
Q15796	Q9GZV5	112
Q15796	P01106	113
Q15796	O15350	114
Q15796	O95405	115
Q15796	P04637	116
Q15796	Q13950	117
Q15796	O15169	118
Q15796	SNK	119
P25208	P23511	120
P25208	P37173	121
P25208	P04637	122
P25208	SNK	123
O43541	Q9HAU4	124
O43541	Q15796	125
