#tail	head	KSP index
SRC	Q93038	1
Q93038	O43508	2
O43508	Q93038	3
O43508	Q9NP84	4
Q9NP84	Q12933	5
Q9NP84	O00463	6
Q9NP84	P63000	7
Q9NP84	Q13077	8
Q12933	P63000	9
Q12933	Q13077	10
Q12933	O00463	11
Q12933	Q9NP84	12
O00463	Q12933	13
O00463	Q9NP84	14
P63000	Q01201	15
P63000	Q9NP84	16
P63000	Q04206	17
Q13077	Q12933	18
Q13077	Q9NP84	19
Q13077	Q00653	20
Q00653	Q01201	21
Q00653	Q13077	22
Q00653	Q04206	23
Q00653	Q13547	24
Q00653	SNK	25
Q01201	P63000	26
Q01201	Q04206	27
Q01201	Q00653	28
Q01201	SNK	29
Q04206	Q13547	30
Q04206	Q12933	31
Q04206	Q01201	32
Q04206	Q00653	33
Q04206	SNK	34
Q13547	Q04206	35
Q13547	Q00653	36
Q13547	SNK	37
