#tail	head	KSP index
SRC	P00533	1
SRC	P29323	2
SRC	P04626	3
SRC	P23229	4
SRC	P16144	5
SRC	P08581	6
SRC	Q04912	7
P00533	Q13882	8
P00533	P20936	9
P00533	P42684	10
P00533	Q99933	11
P00533	P62258	12
P00533	Q92918	13
P00533	P46109	14
P00533	P10275	15
P00533	P16885	16
P00533	Q07912	17
P00533	Q38SD2	18
P00533	P0DP23	19
P00533	P27986	20
P00533	P11142	21
P00533	Q14192	22
P00533	P23229	23
P00533	P18074	24
P00533	Q15185	25
P00533	Q07890	26
P00533	P19174	27
P00533	Q92529	28
P00533	P04049	29
P00533	O75791	30
P00533	O94992	31
P00533	P04626	32
P00533	P54760	33
P00533	P05107	34
P00533	P26641	35
P00533	Q96RL7	36
P00533	Q6S5L8	37
P00533	Q9UKW4	38
P00533	P40763	39
P00533	P24385	40
P00533	P27797	41
P00533	P15498	42
P00533	P09769	43
P00533	P78527	44
P00533	P42566	45
P00533	O15524	46
P00533	P08581	47
P00533	Q92569	48
P00533	Q9NP31	49
P00533	Q99704	50
P00533	O14544	51
P00533	O14543	52
P00533	O43639	53
P00533	P63104	54
P00533	Q02790	55
P00533	P08631	56
P00533	P07332	57
P00533	P04406	58
P00533	P62979	59
P00533	Q06830	60
P00533	Q13671	61
P00533	P35222	62
P00533	P38646	63
P00533	Q07065	64
P00533	P45983	65
P00533	P52735	66
P00533	P12931	67
P00533	P31947	68
P00533	P31946	69
P00533	Q16543	70
P00533	P06396	71
P00533	P62987	72
P00533	Q9UNE7	73
P00533	P42224	74
P00533	Q8IZW8	75
P00533	P04792	76
P00533	P04150	77
P00533	P23246	78
P00533	P27348	79
P00533	P14625	80
P00533	P46937	81
P00533	Q06124	82
P00533	P07947	83
P00533	P07948	84
P00533	P43405	85
P00533	Q13315	86
P00533	P11387	87
P00533	P29466	88
P00533	Q96AG4	89
P00533	P08238	90
P00533	P34932	91
P00533	P07900	92
P00533	Q15303	93
P00533	P29317	94
P00533	Q05655	95
P00533	P62993	96
P00533	Q8WUI4	97
P00533	Q8N5H7	98
P00533	P49023	99
P00533	P03372	100
P00533	P46108	101
P00533	Q03135	102
P00533	P51451	103
P00533	O60496	104
P00533	O60880	105
P00533	Q14451	106
P00533	P30304	107
P00533	P11309	108
P00533	P29353	109
P00533	Q12906	110
P00533	O14965	111
P00533	P16144	112
P00533	P09874	113
P00533	P16591	114
P00533	P21860	115
P00533	O15357	116
