#tail	head	KSP index
SRC	P00533	1
SRC	P40189	2
P00533	Q13882	3
P00533	P20936	4
P00533	P42684	5
P00533	P18031	6
P00533	P61978	7
P00533	Q05397	8
P00533	Q01973	9
P00533	P06748	10
P00533	P26232	11
P00533	P53675	12
P00533	Q12933	13
P00533	P02545	14
P00533	P10275	15
P00533	P16885	16
P00533	Q07912	17
P00533	P42858	18
P00533	P56945	19
P00533	P0DP23	20
P00533	P58107	21
P00533	P27986	22
P00533	P68104	23
P00533	P42685	24
P00533	P11142	25
P00533	Q13153	26
P00533	Q14192	27
P00533	P35568	28
P00533	Q14204	29
P00533	P18074	30
P00533	Q96QV6	31
P00533	P19174	32
P00533	Q9NRF2	33
P00533	Q14247	34
P00533	Q92529	35
P00533	P23458	36
P00533	P04049	37
P00533	O75791	38
P00533	O94992	39
P00533	P52333	40
P00533	P16152	41
P00533	Q71U36	42
P00533	P04626	43
P00533	P31689	44
P00533	P05107	45
P00533	P26641	46
P00533	Q6S5L8	47
P00533	Q9UKW4	48
P00533	P40763	49
P00533	P09619	50
P00533	Q9NXR7	51
P00533	P46940	52
P00533	P07437	53
P00533	O15162	54
P00533	P24385	55
P00533	P39748	56
P00533	P15498	57
P00533	P16333	58
P00533	P15941	59
P00533	P09769	60
P00533	P78527	61
P00533	P25205	62
P00533	O15524	63
P00533	P16234	64
P00533	P08581	65
P00533	P31151	66
P00533	Q92569	67
P00533	Q9NP31	68
P00533	P10644	69
P00533	P55060	70
P00533	P37231	71
P00533	P05067	72
P00533	P41240	73
P00533	P19438	74
P00533	O14544	75
P00533	O14543	76
P00533	Q96CW1	77
P00533	Q8IUR7	78
P00533	P63104	79
P00533	Q99558	80
P00533	Q13263	81
P00533	Q02790	82
P00533	P29350	83
P00533	P42229	84
P00533	P08631	85
P00533	P29597	86
P00533	P29590	87
P00533	P07332	88
P00533	P04406	89
P00533	P02751	90
P00533	P62979	91
P00533	Q06830	92
P00533	P35222	93
P00533	P35221	94
P00533	O60674	95
P00533	P27695	96
P00533	P45984	97
P00533	P45983	98
P00533	P52630	99
P00533	Q9UKG1	100
P00533	P52735	101
P00533	P12931	102
P00533	Q99759	103
P00533	P0DMV9	104
P00533	P0DMV8	105
P00533	P18621	106
P00533	P52597	107
P00533	Q15149	108
P00533	P31943	109
P00533	P49407	110
P00533	P31947	111
P00533	Q16543	112
P00533	P31948	113
P00533	P00403	114
P00533	O15530	115
P00533	Q9UNE7	116
