#tail	head	KSP index
SRC	P34998	1
SRC	Q13324	2
P34998	O95467	3
P34998	P04899	4
P34998	Q5JWF2	5
P34998	P09471	6
P34998	P08754	7
P34998	P29992	8
P34998	P63096	9
P34998	P63092	10
P34998	P84996	11
P34998	Q96SB4	12
P34998	P43250	13
P34998	P32121	14
O95467	P50151	15
O95467	P63092	16
O95467	Q9Y265	17
O95467	Q02818	18
O95467	P62879	19
O95467	P62873	20
O95467	P22234	21
O95467	Q16658	22
O95467	O96017	23
O95467	P41220	24
O95467	P34897	25
O95467	P84996	26
O95467	P00533	27
O95467	P29992	28
O95467	O43306	29
O95467	P04629	30
O95467	Q00987	31
O95467	Q5JWF2	32
O95467	P12931	33
O95467	Q99614	34
O95467	P35637	35
O95467	O15169	36
P04899	P50151	37
P04899	P14598	38
P04899	P63096	39
P04899	P53778	40
P04899	P53779	41
P04899	Q02818	42
P04899	P62879	43
P04899	Q13576	44
P04899	P62873	45
P04899	Q16539	46
P04899	P03372	47
P04899	P49798	48
P04899	P42336	49
P04899	P81274	50
P04899	P27986	51
P04899	P29474	52
P04899	O43566	53
P04899	P16473	54
P04899	P07948	55
P04899	P13569	56
P04899	P28482	57
P04899	P08238	58
P04899	P06748	59
P04899	Q99496	60
P04899	P08754	61
P04899	O43306	62
P04899	P45984	63
P04899	P45983	64
P04899	P19878	65
P04899	P60709	66
P04899	P09471	67
P04899	P12931	68
P04899	Q99614	69
P04899	Q99759	70
P04899	Q99750	71
P04899	O15162	72
Q5JWF2	Q02818	73
Q5JWF2	O96017	74
Q5JWF2	P62879	75
Q5JWF2	P50151	76
Q5JWF2	P34998	77
Q5JWF2	P34897	78
Q5JWF2	P19838	79
Q5JWF2	P16473	80
Q5JWF2	P22234	81
Q5JWF2	P84996	82
Q5JWF2	P04629	83
Q5JWF2	P41220	84
Q5JWF2	Q99614	85
Q5JWF2	P00533	86
Q5JWF2	Q00987	87
Q5JWF2	Q16658	88
Q5JWF2	P62873	89
Q5JWF2	P63092	90
Q5JWF2	O95467	91
Q5JWF2	P29992	92
Q5JWF2	P35637	93
Q5JWF2	Q9Y265	94
Q5JWF2	O15169	95
P09471	P50151	96
P09471	P63096	97
P09471	P53778	98
P09471	P53779	99
P09471	P62879	100
P09471	P62873	101
P09471	P49798	102
P09471	O43566	103
P09471	P16473	104
P09471	P04899	105
P09471	P28482	106
P09471	O14640	107
P09471	Q16539	108
P09471	P08754	109
P09471	O43306	110
P09471	P45984	111
P09471	P04629	112
P09471	P45983	113
P08754	P50151	114
P08754	Q9Y4K3	115
P08754	P03372	116
P08754	P63096	117
P08754	P53778	118
P08754	P53779	119
P08754	P09471	120
P08754	Q02818	121
P08754	P62879	122
P08754	Q16539	123
P08754	P62873	124
P08754	P27348	125
P08754	P42336	126
P08754	P27986	127
P08754	P29474	128
P08754	P41220	129
P08754	O43566	130
P08754	P16473	131
P08754	P07948	132
P08754	Q04917	133
P08754	P04899	134
P08754	P28482	135
P08754	O43306	136
P08754	P45984	137
P08754	P04629	138
P08754	P45983	139
P08754	P19878	140
P08754	P81274	141
P08754	P12931	142
P08754	Q99759	143
P29992	P62879	144
P29992	P34998	145
P29992	P62873	146
P29992	O43566	147
P29992	P16473	148
P29992	Q5JWF2	149
P29992	P13569	150
P29992	O95467	151
P29992	P42336	152
P29992	O14745	153
P29992	P84996	154
P29992	P63092	155
P63096	P50151	156
P63096	P14598	157
P63096	P53778	158
P63096	P53779	159
P63096	P09471	160
P63096	Q02818	161
P63096	P62879	162
P63096	P62873	163
P63096	P03372	164
P63096	P07948	165
P63096	P49798	166
P63096	P42336	167
P63096	P08151	168
P63096	P27986	169
P63096	P29474	170
P63096	O43566	171
P63096	P16473	172
P63096	P04899	173
P63096	P28482	174
P63096	Q16539	175
P63096	P08754	176
P63096	O43306	177
P63096	P45984	178
P63096	P45983	179
P63096	P19878	180
P63096	P81274	181
P63096	P12931	182
P63092	P50151	183
P63092	Q9Y265	184
P63092	Q02818	185
P63092	P62879	186
P63092	P62873	187
P63092	P22234	188
P63092	Q16658	189
P63092	O96017	190
P63092	P11142	191
P63092	P41220	192
P63092	P34897	193
P63092	P84996	194
P63092	P00533	195
P63092	O95467	196
P63092	P08238	197
P63092	P29992	198
P63092	O43306	199
P63092	P04629	200
P63092	Q00987	201
P63092	Q5JWF2	202
P63092	P12931	203
P63092	Q99614	204
P63092	P35637	205
P63092	O15169	206
P84996	Q02818	207
P84996	O96017	208
P84996	P62879	209
P84996	P50151	210
P84996	P34998	211
P84996	P34897	212
P84996	P16473	213
P84996	P22234	214
P84996	P04629	215
P84996	P41220	216
P84996	Q99614	217
P84996	P00533	218
P84996	Q00987	219
P84996	Q16658	220
P84996	P62873	221
P84996	P63092	222
P84996	O95467	223
P84996	Q5JWF2	224
P84996	P29992	225
P84996	P35637	226
P84996	Q15796	227
P84996	Q9Y265	228
P84996	O15169	229
Q96SB4	P34998	230
Q96SB4	P52292	231
Q96SB4	P17948	232
Q96SB4	P53778	233
Q96SB4	P45973	234
Q96SB4	Q9Y6K9	235
Q96SB4	P52272	236
Q96SB4	P03372	237
Q96SB4	O96017	238
Q96SB4	O96013	239
Q96SB4	Q9Y3C6	240
Q96SB4	P11473	241
Q96SB4	Q15637	242
