#tail	head	KSP index
SRC	P00533	1
SRC	P23945	2
P00533	P20936	3
P00533	P42684	4
P00533	P18031	5
P00533	P61978	6
P00533	Q99933	7
P00533	Q05397	8
P00533	Q01973	9
P00533	P06748	10
P00533	P53675	11
P00533	Q12933	12
P00533	P62258	13
P00533	P46109	14
P00533	P10275	15
P00533	Q07912	16
P00533	P42858	17
P00533	P0DP23	18
P00533	P58107	19
P00533	P27986	20
P00533	P68104	21
P00533	P36542	22
P00533	P11142	23
P00533	Q13153	24
P00533	P18074	25
P00533	Q07890	26
P00533	Q07889	27
P00533	P23458	28
P00533	P04049	29
P00533	O94992	30
P00533	Q02750	31
P00533	P52333	32
P00533	P16152	33
P00533	P04626	34
P00533	P37840	35
P00533	P26641	36
P00533	P25098	37
P00533	P40763	38
P00533	P09619	39
P00533	P46940	40
P00533	O15162	41
P00533	P24385	42
P00533	P39748	43
P00533	P15498	44
P00533	P16333	45
P00533	P15941	46
P00533	P78527	47
P00533	P25205	48
P00533	O15524	49
P00533	P16234	50
P00533	P43403	51
P00533	P08581	52
P00533	P31151	53
P00533	P10644	54
P00533	P02533	55
P00533	P55060	56
P00533	P37231	57
P00533	P05067	58
P00533	P41240	59
P00533	P19438	60
P00533	O14544	61
P00533	O14543	62
P00533	P63104	63
P00533	Q13263	64
P00533	P29350	65
P00533	P42229	66
P00533	P29590	67
P00533	P04406	68
P00533	P62979	69
P00533	Q06830	70
P00533	P55036	71
P00533	P35222	72
P00533	O60674	73
P00533	P27695	74
P00533	P45984	75
P00533	P45983	76
P00533	P52630	77
P00533	Q06190	78
P00533	P12931	79
P00533	O94875	80
P00533	P0DMV8	81
P00533	P52597	82
P00533	P09211	83
P00533	P49407	84
P00533	P31947	85
P00533	P31946	86
P00533	P04083	87
P00533	P32121	88
P00533	O15530	89
P00533	P09936	90
P00533	P42224	91
P00533	P04792	92
P00533	P04150	93
P00533	P27348	94
P00533	Q13387	95
P00533	P14625	96
P00533	Q12913	97
P00533	Q06124	98
P00533	P26447	99
P00533	P17612	100
P00533	P07949	101
P00533	P60174	102
P00533	P43405	103
P00533	P11387	104
P00533	P08238	105
P00533	P33991	106
P00533	P10636	107
P00533	P30530	108
P00533	P49757	109
P00533	Q02156	110
P00533	P53041	111
P00533	P22681	112
P00533	P98172	113
P00533	P01100	114
P00533	P31321	115
P00533	Q01094	116
P00533	O43707	117
P00533	P34932	118
P00533	O95433	119
P00533	P07900	120
P00533	Q05655	121
P00533	P19338	122
P00533	P62993	123
P00533	Q08211	124
P00533	P49023	125
P00533	P03372	126
P00533	P46108	127
P00533	P42338	128
P00533	P15311	129
P00533	Q03135	130
P00533	P51451	131
P00533	P10599	132
P00533	P30307	133
P00533	P12830	134
P00533	P11309	135
P00533	P51692	136
P00533	P29353	137
P00533	Q12906	138
P00533	Q12905	139
P00533	O14965	140
P00533	O14964	141
P00533	P14923	142
P00533	P05141	143
P00533	Q13322	144
P00533	P09874	145
P00533	O00459	146
P00533	P21860	147
P00533	P35637	148
P00533	P11021	149
P00533	P12004	150
P23945	P32121	151
P23945	P27348	152
P23945	Q05516	153
P23945	P49407	154
P23945	P11387	155
P23945	P25098	156
P32121	P31749	157
P32121	P61978	158
P32121	P62979	159
P32121	P0DP23	160
P32121	P68104	161
P32121	P11142	162
P32121	P23945	163
P32121	P06748	164
P32121	P04049	165
P32121	Q02750	166
P32121	Q00987	167
P32121	P25098	168
P32121	P25205	169
P32121	P11021	170
P32121	P41240	171
P32121	P00533	172
P32121	Q13263	173
P32121	P04406	174
P32121	P45984	175
P32121	P12931	176
P32121	Q96EB6	177
P32121	P0DMV8	178
P32121	P52597	179
P32121	P49407	180
P32121	P31946	181
P32121	P53779	182
P32121	P42224	183
P32121	Q06190	184
P32121	P27348	185
P32121	P08238	186
P32121	P19338	187
P32121	Q92769	188
P32121	P50613	189
P32121	P29350	190
P32121	Q12906	191
P32121	O14964	192
P32121	P62258	193
P27348	P61978	194
P27348	P10275	195
P27348	P0DP23	196
P27348	P68104	197
P27348	P11142	198
P27348	P23945	199
P27348	P06748	200
P27348	P04049	201
P27348	P04626	202
P27348	P37840	203
P27348	Q00987	204
P27348	P46940	205
P27348	Q15648	206
P27348	P78527	207
P27348	P25205	208
P27348	P62993	209
P27348	P48552	210
P27348	P55060	211
P27348	O14543	212
P27348	P63104	213
P27348	Q13263	214
P27348	P00533	215
P27348	P04406	216
P27348	Q06830	217
P27348	Q15788	218
P27348	P98172	219
P27348	Q9Y6Q9	220
P27348	P0DMV8	221
P27348	P52597	222
P27348	P49407	223
P27348	P31947	224
P27348	P31946	225
P27348	O15379	226
P27348	P04083	227
P27348	O15530	228
P27348	P04792	229
P27348	P56524	230
P27348	P10636	231
P27348	P53041	232
P27348	P22681	233
P27348	Q01094	234
P27348	P19338	235
P27348	Q08211	236
P27348	P03372	237
P27348	P46108	238
P27348	P42338	239
P27348	P60174	240
P27348	P30307	241
P27348	Q12905	242
P27348	O00459	243
P27348	P32121	244
P27348	P35637	245
P27348	P62258	246
Q05516	O15379	247
Q05516	Q12933	248
Q05516	P68104	249
Q05516	P10275	250
Q05516	P10276	251
Q05516	Q07912	252
Q05516	P04150	253
Q05516	P42858	254
Q05516	P49715	255
Q05516	P03372	256
Q05516	Q92769	257
Q05516	P56524	258
Q05516	P23945	259
Q05516	Q02156	260
Q05516	Q9Y618	261
Q05516	P29590	262
Q05516	Q15910	263
Q05516	P09874	264
Q05516	P63165	265
Q05516	P31321	266
Q05516	Q9NPJ4	267
Q05516	O75376	268
Q05516	O15162	269
P49407	P31749	270
P49407	P61978	271
P49407	Q99933	272
P49407	P62979	273
P49407	P04049	274
P49407	P0DP23	275
P49407	P11142	276
P49407	P23945	277
P49407	P06748	278
P49407	P23458	279
P49407	P37840	280
P49407	Q00987	281
P49407	P25098	282
P49407	P32121	283
P49407	P41240	284
P49407	P63104	285
P49407	P00533	286
P49407	P45984	287
P49407	P12931	288
P49407	P0DMV8	289
P49407	P31946	290
P49407	P53779	291
P49407	P27348	292
P49407	P07900	293
P49407	P19338	294
P49407	P29350	295
P49407	O14964	296
P49407	O00459	297
P49407	P11021	298
P49407	P62258	299
P11387	P07900	300
P11387	P61978	301
P11387	P19338	302
P11387	P05067	303
P11387	Q08211	304
P11387	P10275	305
P11387	P03372	306
P11387	P14625	307
P11387	P14866	308
P11387	Q02880	309
P11387	P23945	310
P11387	P11142	311
P11387	P00533	312
P11387	P09874	313
P11387	P06748	314
P11387	Q00987	315
P11387	P11021	316
P11387	P12004	317
P25098	Q00987	318
P25098	P37840	319
P25098	P09619	320
P25098	P28702	321
P25098	P00533	322
P25098	P49407	323
P25098	P08238	324
P25098	P07900	325
P25098	P23945	326
P25098	P15311	327
P25098	Q03135	328
P25098	P32121	329
Q00987	P31749	330
Q00987	P61978	331
Q00987	Q05397	332
Q00987	P62979	333
Q00987	P10275	334
Q00987	P10276	335
Q00987	P23771	336
Q00987	Q92831	337
Q00987	P68104	338
Q00987	P62195	339
Q00987	P11142	340
Q00987	Q15910	341
Q00987	P06748	342
Q00987	P23458	343
Q00987	Q96EB6	344
Q00987	P26641	345
Q00987	P25098	346
Q00987	P02533	347
Q00987	Q15648	348
Q00987	P16234	349
Q00987	P32121	350
Q00987	Q15466	351
Q00987	P37231	352
Q00987	P05067	353
Q00987	Q93009	354
Q00987	P29590	355
Q00987	P00533	356
Q00987	Q09472	357
Q00987	P04406	358
Q00987	P55036	359
Q00987	P27695	360
Q00987	P24385	361
Q00987	O94875	362
Q00987	P09211	363
Q00987	P49407	364
Q00987	P31947	365
Q00987	P09936	366
Q00987	P04150	367
Q00987	P27348	368
Q00987	P14625	369
Q00987	O94992	370
Q00987	P26447	371
Q00987	P11387	372
Q00987	P08238	373
Q00987	P63165	374
Q00987	P08047	375
Q00987	P49757	376
Q00987	Q01094	377
Q00987	Q05086	378
Q00987	P34932	379
Q00987	P07900	380
Q00987	P19338	381
Q00987	Q08211	382
Q00987	P03372	383
Q00987	Q92769	384
Q00987	P15311	385
Q00987	P12830	386
Q00987	Q12906	387
Q00987	O14965	388
Q00987	P21860	389
Q00987	P12004	390
P37840	P0DMV8	391
P37840	P31749	392
P37840	P07900	393
