#tail	head	KSP index
SRC	P31785	1
SRC	P16871	2
P31785	P42229	3
P31785	P52333	4
P31785	P42224	5
P31785	P42226	6
P31785	P29597	7
P31785	P51692	8
P31785	P29353	9
P31785	P40763	10
P31785	P23458	11
P31785	P04632	12
P31785	P14784	13
P31785	O00459	14
P31785	P10721	15
P31785	P01589	16
P31785	P27986	17
P31785	O60674	18
P31785	P16871	19
P16871	Q9HC73	20
P16871	P42224	21
P16871	Q14289	22
P16871	P27986	23
P16871	P42229	24
P16871	P29597	25
P16871	P31785	26
P16871	P51692	27
P16871	Q04206	28
P16871	P10721	29
P16871	P23458	30
P16871	O60674	31
P16871	P52333	32
P16871	P40763	33
P16871	P04632	34
P16871	P06241	35
Q9HC73	P52333	36
Q9HC73	P16871	37
Q9HC73	O60674	38
Q9HC73	P23458	39
Q9HC73	P29597	40
P42224	Q05397	41
P42224	P22301	42
P42224	P63244	43
P42224	P40189	44
P42224	P42229	45
P42224	P42226	46
P42224	Q99873	47
P42224	P03372	48
P42224	P42336	49
P42224	Q14765	50
P42224	P05412	51
P42224	Q13263	52
P42224	Q06124	53
P42224	Q6IA86	54
P42224	Q13547	55
P42224	P14784	56
P42224	P29590	57
P42224	P31785	58
P42224	P19793	59
P42224	P38398	60
P42224	Q04206	61
P42224	P04626	62
P42224	P52630	63
P42224	P01106	64
P42224	P01100	65
P42224	P10914	66
P42224	Q01628	67
P42224	P40763	68
P42224	P51692	69
P42224	P16871	70
P42224	P18847	71
Q14289	P07900	72
Q14289	Q05655	73
Q14289	P43405	74
Q14289	Q05397	75
Q14289	P63000	76
Q14289	O14543	77
Q14289	P46109	78
Q14289	P46108	79
Q14289	P12931	80
Q14289	P27986	81
Q14289	P00533	82
Q14289	P29353	83
Q14289	P29350	84
Q14289	P23458	85
Q14289	O60674	86
Q14289	P52333	87
Q14289	O14508	88
Q14289	P04626	89
Q14289	P22681	90
Q14289	P06239	91
Q14289	P40763	92
Q14289	P16871	93
Q14289	P06241	94
P27986	O15524	95
P27986	Q05397	96
P27986	P19235	97
P27986	P63000	98
P27986	P42229	99
P27986	P17181	100
P27986	O14544	101
P27986	P48357	102
P27986	Q06124	103
P27986	P03372	104
P27986	Q99490	105
P27986	Q14289	106
P27986	P42336	107
P27986	P14784	108
P27986	Q02763	109
P27986	Q05655	110
P27986	P32927	111
P27986	P16471	112
P27986	P16473	113
P27986	P19793	114
P27986	P07332	115
P27986	P29353	116
P27986	P29350	117
P27986	P38398	118
P27986	P20963	119
P27986	Q07666	120
P27986	O00459	121
P27986	P45983	122
P27986	P00519	123
P27986	P16410	124
P27986	P10912	125
P27986	P40763	126
P27986	P12931	127
P27986	P16871	128
P42229	P18031	129
P42229	P19235	130
P42229	Q06187	131
P42229	P42224	132
P42229	P42226	133
P42229	Q99873	134
P42229	P04150	135
P42229	P03372	136
P42229	P46109	137
P42229	P46108	138
P42229	Q14765	139
P42229	P51692	140
P42229	Q86X55	141
P42229	Q99490	142
P42229	Q02763	143
P42229	Q13469	144
P42229	P27986	145
P42229	P29353	146
P42229	P32927	147
P42229	P16471	148
P42229	P14859	149
P42229	P19793	150
P42229	P38398	151
P42229	P20963	152
P42229	Q9HC77	153
P42229	O00459	154
P42229	Q04206	155
P42229	P22681	156
P42229	P16410	157
P42229	Q13547	158
P42229	P01106	159
P42229	P10914	160
P42229	P10912	161
P42229	P40763	162
P42229	P67775	163
P42229	P52630	164
P42229	P16871	165
P42229	SNK	166
P29597	P07900	167
P29597	P18031	168
P29597	O00459	169
P29597	P46109	170
P29597	P63244	171
P29597	P42229	172
P29597	P17181	173
P29597	P42224	174
P29597	P42226	175
P29597	P48357	176
P29597	P42336	177
P29597	Q14765	178
P29597	P27986	179
P29597	Q13263	180
P29597	Q06124	181
P29597	Q6IA86	182
P29597	Q9HC73	183
P29597	P32927	184
P29597	P16471	185
P29597	P07948	186
P29597	P00533	187
P29597	P51692	188
P29597	P23458	189
P29597	O60674	190
P29597	P52333	191
P29597	P52630	192
P29597	P10912	193
P29597	P40763	194
P29597	P06241	195
P51692	P20963	196
P51692	Q9HC77	197
P51692	P42229	198
P51692	P42224	199
P51692	P42226	200
P51692	P32927	201
P51692	P14859	202
P51692	P04150	203
P51692	P16410	204
P51692	P29353	205
P51692	P01106	206
P51692	P46108	207
P51692	P10914	208
P51692	P16471	209
P51692	P10912	210
P51692	P40763	211
P51692	Q14765	212
P51692	P67775	213
P51692	P46109	214
P51692	Q02763	215
P51692	Q13469	216
P51692	P52630	217
P51692	P16871	218
P51692	Q6IA86	219
P51692	SNK	220
Q04206	Q9HC77	221
Q04206	O43318	222
Q04206	Q99873	223
Q04206	P22736	224
Q04206	Q8WTS6	225
Q04206	P10914	226
Q04206	P40763	227
Q04206	Q13547	228
Q04206	O15524	229
Q04206	O14544	230
Q04206	O14543	231
Q04206	Q86X55	232
Q04206	Q13469	233
Q04206	Q13263	234
Q04206	Q9Y6X2	235
Q04206	P29590	236
Q04206	P19793	237
Q04206	Q92793	238
Q04206	Q9UER7	239
Q04206	P22301	240
Q04206	P42229	241
Q04206	P42224	242
Q04206	P42226	243
Q04206	P04150	244
Q04206	P14859	245
Q04206	P38398	246
Q04206	P01589	247
Q04206	P08047	248
Q04206	P01106	249
Q04206	P50750	250
Q04206	P67775	251
Q04206	P07900	252
Q04206	Q05655	253
Q04206	P01100	254
Q04206	P03372	255
Q04206	Q92769	256
Q04206	P05412	257
Q04206	Q92993	258
Q04206	Q8N2W9	259
Q04206	P17676	260
Q04206	P18847	261
Q04206	P16871	262
P10721	Q13882	263
P10721	P09769	264
P10721	O15524	265
P10721	O00459	266
P10721	P43405	267
P10721	O75159	268
P10721	P19235	269
P10721	Q06187	270
P10721	P42229	271
P10721	P42224	272
P10721	O14544	273
P10721	O14543	274
P10721	P46109	275
P10721	P46108	276
P10721	P42336	277
P10721	P27986	278
P10721	Q06124	279
P10721	P32927	280
P10721	P31785	281
P10721	P07948	282
P10721	P51692	283
P10721	P07332	284
P10721	P29353	285
P10721	Q8WXH5	286
P10721	O60674	287
P10721	P52333	288
P10721	O14508	289
P10721	P00519	290
P10721	P06239	291
P10721	P40763	292
P10721	P22681	293
P10721	P16871	294
P23458	P07900	295
P23458	Q9HC73	296
P23458	P43405	297
P23458	Q06187	298
P23458	P63244	299
P23458	P42229	300
P23458	P42224	301
P23458	P42226	302
P23458	O14543	303
P23458	P48357	304
P23458	Q14289	305
P23458	P42336	306
P23458	Q14765	307
P23458	P14784	308
P23458	P27986	309
P23458	Q06124	310
P23458	Q6IA86	311
P23458	P29597	312
P23458	P29590	313
P23458	P16471	314
P23458	P16473	315
P23458	P51692	316
P23458	P07332	317
P23458	P29353	318
P23458	P38398	319
P23458	O00459	320
P23458	O60674	321
P23458	P00519	322
P23458	P52630	323
P23458	P10912	324
P23458	P40763	325
O60674	P07900	326
O60674	Q15303	327
O60674	P18031	328
O60674	Q05397	329
O60674	P10721	330
O60674	Q14469	331
O60674	P42229	332
O60674	P42224	333
O60674	P42226	334
O60674	O14543	335
O60674	P48357	336
O60674	P03372	337
O60674	Q5TA89	338
O60674	Q14289	339
O60674	P42336	340
O60674	Q14765	341
O60674	Q9HC73	342
O60674	P27986	343
O60674	Q06124	344
O60674	Q6IA86	345
O60674	P29597	346
O60674	P16471	347
O60674	P16473	348
O60674	P07948	349
O60674	P51692	350
O60674	P29353	351
O60674	P38398	352
O60674	Q9NRF2	353
O60674	P40189	354
O60674	O00459	355
O60674	P23458	356
O60674	P52333	357
O60674	P16410	358
O60674	P11362	359
O60674	P40763	360
O60674	P67775	361
O60674	P12931	362
O60674	P52630	363
O60674	P06241	364
P52333	P16471	365
P52333	P42229	366
P52333	P42224	367
P52333	P42226	368
P52333	O14543	369
P52333	P48357	370
P52333	P31785	371
P52333	Q14289	372
P52333	P42336	373
P52333	Q14765	374
P52333	P27986	375
P52333	Q9HC73	376
P52333	P29597	377
P52333	P51692	378
P52333	P07332	379
P52333	P10721	380
P52333	P20963	381
P52333	Q07666	382
P52333	O00459	383
P52333	P23458	384
P52333	O60674	385
P52333	Q06124	386
P52333	P52630	387
P52333	P06239	388
P52333	P10912	389
P52333	P40763	390
P40763	P09769	391
P40763	P07900	392
P40763	P18031	393
P40763	P43405	394
P40763	O43318	395
P40763	P22301	396
P40763	P50750	397
P40763	Q8WTS6	398
P40763	Q06187	399
P40763	Q5TA89	400
P40763	P63244	401
P40763	P63000	402
P40763	P42229	403
P40763	P17181	404
P40763	P16473	405
P40763	P42224	406
P40763	P42226	407
P40763	Q14289	408
P40763	P48357	409
P40763	P04150	410
P40763	P22736	411
P40763	P03372	412
P40763	Q14765	413
P40763	Q05397	414
P40763	P14784	415
P40763	P27986	416
P40763	P05412	417
P40763	Q13263	418
P40763	Q06124	419
P40763	P29590	420
P40763	P07948	421
P40763	P51692	422
P40763	P07332	423
P40763	P29350	424
P40763	P38398	425
P40763	Q07666	426
P40763	Q9UER7	427
P40763	P07384	428
P40763	O00459	429
P40763	Q92993	430
P40763	P08047	431
P40763	Q14469	432
P40763	Q04206	433
P40763	P04626	434
P40763	P22681	435
P40763	P52630	436
P40763	P17676	437
P40763	Q13547	438
P40763	P01106	439
P40763	Q6IA86	440
P40763	P01100	441
P40763	P06239	442
P40763	P11362	443
P40763	P10914	444
P40763	Q01628	445
P40763	P10912	446
P40763	P04632	447
P40763	P16871	448
P40763	Q9NRF2	449
P40763	P18847	450
P40763	SNK	451
P04632	P31785	452
P04632	P40763	453
P04632	P07384	454
P04632	P16871	455
P06241	P10721	456
P06241	P63000	457
P06241	P27986	458
P06241	P16471	459
P06241	P04626	460
P06241	Q01628	461
P06241	P40763	462
P06241	O15524	463
P06241	P43405	464
P06241	Q06187	465
P06241	P48357	466
P06241	P32927	467
P06241	P29597	468
P06241	P20963	469
P06241	O60674	470
P06241	P16410	471
P06241	P12931	472
P06241	P04150	473
P06241	P14784	474
P06241	Q06124	475
P06241	P40189	476
P06241	P08047	477
P06241	P22681	478
P06241	P06239	479
P06241	P07900	480
P06241	Q05655	481
P06241	P63244	482
P06241	Q14289	483
P06241	P42336	484
P06241	P29353	485
P06241	Q07666	486
P06241	O00459	487
P06241	P00519	488
P06241	P16871	489
P63000	P42336	490
P63000	Q99490	491
P63000	P27986	492
P63000	Q9Y6X2	493
P63000	P05412	494
P63000	O00459	495
P63000	Q04206	496
P63000	P45983	497
P63000	P40763	498
P63000	P67775	499
P16471	P42229	500
P16471	P52333	501
P16471	P29597	502
P16471	O14508	503
P16471	O14543	504
P16471	Q15303	505
P16471	P51692	506
P16471	P27986	507
P16471	P12931	508
P16471	Q99490	509
P16471	P23458	510
P16471	O60674	511
P16471	Q06124	512
P16471	P06241	513
P04626	Q13882	514
P04626	P09769	515
P04626	P07900	516
P04626	Q15303	517
P04626	O15524	518
P04626	O00459	519
P04626	P43405	520
P04626	P23458	521
P04626	P42224	522
P04626	Q14289	523
P04626	P48357	524
P04626	P03372	525
P04626	P46109	526
P04626	P46108	527
P04626	P00533	528
P04626	P42336	529
P04626	P27986	530
P04626	Q06124	531
P04626	P29353	532
P04626	P52333	533
P04626	Q05397	534
P04626	P40189	535
P04626	O60674	536
P04626	P00519	537
P04626	P40763	538
P04626	P67775	539
P04626	P12931	540
P04626	P22681	541
P04626	P06241	542
Q01628	P52630	543
Q01628	P40763	544
Q01628	P42224	545
O15524	P19235	546
O15524	P42229	547
O15524	P17181	548
O15524	P42224	549
O15524	P42226	550
O15524	P46109	551
O15524	P46108	552
O15524	Q14765	553
O15524	P14784	554
O15524	P27986	555
O15524	Q06124	556
O15524	P32927	557
O15524	P29597	558
O15524	P31785	559
O15524	P00533	560
O15524	P51692	561
O15524	P40189	562
O15524	P10721	563
O15524	P01589	564
O15524	P23458	565
O15524	O60674	566
O15524	P52333	567
O15524	Q04206	568
O15524	O14508	569
O15524	P04626	570
O15524	P00519	571
O15524	P52630	572
O15524	P06239	573
O15524	P10914	574
O15524	P10912	575
O15524	P40763	576
O15524	P16871	577
O15524	P06241	578
P43405	P09769	579
P43405	Q15303	580
P43405	P19235	581
P43405	Q06187	582
P43405	P42229	583
P43405	Q92769	584
P43405	P46109	585
P43405	Q14289	586
P43405	P42336	587
P43405	P14784	588
P43405	P27986	589
P43405	P32927	590
P43405	P00533	591
P43405	P29353	592
P43405	Q05397	593
P43405	O00459	594
P43405	O43318	595
P43405	P10721	596
P43405	P08047	597
P43405	P04626	598
P43405	P22681	599
P43405	Q13547	600
P43405	P40763	601
Q06187	P07900	602
Q06187	P42229	603
Q06187	Q07666	604
Q06187	P40189	605
Q06187	P10721	606
Q06187	P00519	607
Q06187	P40763	608
Q06187	P22681	609
Q06187	P06241	610
P48357	P52333	611
P48357	P29597	612
P48357	O14508	613
P48357	P04626	614
P48357	P40763	615
P48357	P27986	616
P48357	P12931	617
P48357	O00459	618
P48357	P23458	619
P48357	O60674	620
P48357	Q06124	621
P48357	P06241	622
P32927	P42229	623
P32927	P52333	624
P32927	P23458	625
P32927	P29597	626
P32927	O15524	627
P32927	P51692	628
P32927	P07332	629
P32927	P29353	630
P32927	P17676	631
P32927	P43405	632
P32927	P42336	633
P32927	P10721	634
P32927	P27986	635
P32927	P63244	636
P32927	O60674	637
P32927	P06241	638
P20963	P43405	639
P20963	P42229	640
P20963	P27986	641
P20963	P51692	642
P20963	P29353	643
P20963	P52333	644
P20963	P16410	645
P20963	P06239	646
P20963	P06241	647
P16410	P20963	648
P16410	P42229	649
P16410	P27986	650
P16410	P51692	651
P16410	O60674	652
P16410	P29350	653
P16410	O00459	654
P16410	P07948	655
P12931	P18031	656
P12931	Q05397	657
P12931	P10721	658
P12931	P63000	659
P12931	P27986	660
P12931	Q86X55	661
P12931	P16471	662
P12931	P23458	663
P12931	P04626	664
P12931	P11362	665
P12931	P40763	666
P12931	P43405	667
P12931	P01100	668
P12931	P48357	669
P12931	P00533	670
P12931	P19793	671
P12931	O60674	672
P12931	P42229	673
P12931	P42224	674
P12931	P42226	675
P12931	Q92793	676
P12931	P07948	677
P12931	P40189	678
P12931	P08047	679
P12931	P22681	680
P12931	P67775	681
P12931	P07900	682
P12931	Q05655	683
P12931	P19235	684
P12931	P63244	685
P12931	P03372	686
P12931	P46108	687
P12931	Q14289	688
P12931	P42336	689
P12931	P05412	690
P12931	P51692	691
P12931	P29353	692
P12931	P29350	693
P12931	Q07666	694
P12931	O00459	695
P12931	P00519	696
P12931	P06241	697
P04150	P07900	698
P04150	P63244	699
P04150	P42229	700
P04150	P14859	701
P04150	P22736	702
P04150	Q92769	703
P04150	P05412	704
P04150	Q13263	705
P04150	P22301	706
P04150	P29590	707
P04150	P00533	708
P04150	P51692	709
P04150	Q9UER7	710
P04150	Q04206	711
P04150	Q92993	712
P04150	Q92793	713
P04150	P17676	714
P04150	Q13547	715
P04150	P06239	716
P04150	P10914	717
P04150	P40763	718
P04150	P06241	719
P14784	P42229	720
P14784	P52333	721
P14784	P42224	722
P14784	P29597	723
P14784	O14543	724
P14784	P31785	725
P14784	P07948	726
P14784	O15524	727
P14784	P51692	728
P14784	P29353	729
P14784	P43405	730
P14784	P40763	731
P14784	Q14765	732
P14784	P23458	733
P14784	O00459	734
P14784	P01589	735
P14784	P27986	736
P14784	P63244	737
P14784	O60674	738
P14784	P06241	739
Q06124	Q15303	740
Q06124	O15524	741
Q06124	Q05397	742
Q06124	P19235	743
Q06124	P42229	744
Q06124	P17181	745
Q06124	P42224	746
Q06124	P48357	747
Q06124	P46109	748
Q06124	P46108	749
Q06124	Q14289	750
Q06124	P42336	751
Q06124	P27986	752
Q06124	P29353	753
Q06124	P32927	754
Q06124	P16471	755
Q06124	Q02763	756
Q06124	P51692	757
Q06124	P40189	758
Q06124	O00459	759
Q06124	O60674	760
Q06124	O14543	761
Q06124	P04626	762
Q06124	P22681	763
Q06124	P06239	764
Q06124	P10912	765
Q06124	P40763	766
Q06124	P12931	767
Q06124	P00533	768
P40189	P52333	769
P40189	P29597	770
P40189	O14543	771
P40189	P07948	772
P40189	P07332	773
P40189	P29353	774
P40189	P42336	775
P40189	P01100	776
P40189	P50750	777
P40189	P40763	778
P40189	P42224	779
P40189	P27986	780
P40189	P12931	781
P40189	O00459	782
P40189	P23458	783
P40189	Q06187	784
P40189	O60674	785
P40189	Q06124	786
P40189	P04626	787
P40189	P06241	788
P08047	P07900	789
P08047	P22301	790
P08047	P46108	791
P08047	P03372	792
P08047	Q86X55	793
P08047	P05412	794
P08047	Q05655	795
P08047	P29590	796
P08047	P14859	797
P08047	P19793	798
P08047	P29353	799
P08047	P43405	800
P08047	P38398	801
P08047	Q92793	802
P08047	Q04206	803
P08047	P00519	804
P08047	P17676	805
P08047	Q13547	806
P08047	P01106	807
P08047	P40763	808
P08047	Q92769	809
P08047	P06241	810
P22681	P09769	811
P22681	P40189	812
P22681	Q15303	813
P22681	P19235	814
P22681	Q06187	815
P22681	Q05397	816
P22681	P42229	817
P22681	P46109	818
P22681	P46108	819
P22681	Q14289	820
P22681	P42336	821
