#tail	head	KSP index
SRC	P01589	1
SRC	P14784	2
SRC	P31785	3
P01589	P42229	4
P01589	Q04206	5
P01589	P29597	6
P01589	P31785	7
P01589	P51692	8
P01589	P52333	9
P01589	P10914	10
P01589	O14964	11
P01589	P17096	12
P01589	Q14765	13
P01589	P14784	14
P01589	P23458	15
P01589	O60674	16
P14784	P42229	17
P14784	P52333	18
P14784	P42224	19
P14784	P29597	20
P14784	O14543	21
P14784	P31785	22
P14784	P07948	23
P14784	O15524	24
P14784	P51692	25
P14784	P29353	26
P14784	P43405	27
P14784	O14964	28
P14784	P40763	29
P14784	Q14765	30
P14784	P23458	31
P14784	O00459	32
P14784	P01589	33
P14784	P27986	34
P14784	P63244	35
P14784	O60674	36
P14784	P04049	37
P14784	Q9NSE2	38
P14784	P06241	39
P31785	P42229	40
P31785	P52333	41
P31785	P42224	42
P31785	P42226	43
P31785	P29597	44
P31785	P51692	45
P31785	P29353	46
P31785	P40763	47
P31785	P23458	48
P31785	P14784	49
P31785	O00459	50
P31785	P10721	51
P31785	P01589	52
P31785	P27986	53
P31785	O60674	54
P31785	P16871	55
P42229	P18031	56
P42229	Q13287	57
P42229	Q06187	58
P42229	P37231	59
P42229	P42224	60
P42229	P42226	61
P42229	P10276	62
P42229	Q99873	63
P42229	P04150	64
P42229	P03372	65
P42229	Q14765	66
P42229	P51692	67
P42229	Q86X55	68
P42229	Q02763	69
P42229	Q13469	70
P42229	P27986	71
P42229	P29353	72
P42229	P16471	73
P42229	P14859	74
P42229	P19793	75
P42229	P38398	76
P42229	P20963	77
P42229	Q9HC77	78
P42229	O00459	79
P42229	Q04206	80
P42229	P16410	81
P42229	Q13547	82
P42229	P01106	83
P42229	P10914	84
P42229	P10912	85
P42229	P40763	86
P42229	P67775	87
P42229	P52630	88
P42229	P16871	89
P42229	SNK	90
P52333	Q13287	91
P52333	P21675	92
P52333	P16471	93
P52333	P42229	94
P52333	P42224	95
P52333	P42226	96
P52333	O14543	97
P52333	P48357	98
P52333	P31785	99
P52333	Q14289	100
P52333	P42336	101
P52333	Q14765	102
P52333	P27986	103
P52333	P29597	104
P52333	P51692	105
P52333	P07332	106
P52333	P10721	107
P52333	P20963	108
P52333	Q07666	109
P52333	O00459	110
P52333	P23458	111
P52333	O60674	112
P52333	Q06124	113
P52333	P52630	114
P52333	Q6UWB1	115
P52333	P10912	116
P52333	P40763	117
P52333	O95644	118
P42224	O43524	119
P42224	Q05397	120
P42224	P22301	121
P42224	P63244	122
P42224	P40189	123
P42224	P42229	124
P42224	P19438	125
P42224	P42226	126
P42224	P10276	127
P42224	Q99873	128
P42224	P13500	129
P42224	P03372	130
P42224	P37231	131
P42224	P42336	132
P42224	Q14765	133
P42224	P05412	134
P42224	Q13263	135
P42224	P25791	136
P42224	Q06124	137
P42224	Q6IA86	138
P42224	Q13547	139
P42224	P14784	140
P42224	P29590	141
P42224	P31785	142
P42224	P19793	143
P42224	P38398	144
