negatives
"('Q93045', 'Q9UBT2')"
"('Q15797', 'Q9UIF7')"
"('A8MQ03', 'O43257')"
"('Q96JA3', 'Q9Y2M0')"
"('Q49A88', 'Q96NL6')"
"('P60673', 'P63261')"
"('P14784', 'Q8IX06')"
"('P42858', 'Q92882')"
"('O95718', 'Q9P035')"
"('Q13489', 'Q15025')"
"('Q99728', 'Q9Y3Z3')"
"('P54727', 'P23760')"
"('Q14683', 'Q9P0K8')"
"('P23497', 'Q9BRG1')"
"('P08621', 'Q12906')"
"('Q9UJU6', 'P22681')"
"('P30443', 'P63092')"
"('Q9NVC6', 'P36956')"
"('Q96AE7', 'P51148')"
"('Q6E0U4', 'Q96EQ0')"
"('Q13557', 'P38484')"
"('P01112', 'P45984')"
"('O43482', 'Q8N6U2')"
"('P15313', 'Q5VT66')"
"('P30050', 'P61513')"
"('B2RUY7', 'Q5T7P2')"
"('P05388', 'Q01844')"
"('P07195', 'Q01844')"
"('Q9BSW7', 'Q7Z2E3')"
"('Q13501', 'Q9H6Z9')"
"('P50416', 'P04629')"
"('Q14191', 'P04629')"
"('P12004', 'Q04206')"
"('Q92569', 'O75604')"
"('Q8WUA7', 'Q15768')"
"('P23368', 'Q14197')"
"('O75695', 'Q7Z7A3')"
"('Q8NCT1', 'Q96J02')"
"('P17028', 'Q5TD97')"
"('P78371', 'P50991')"
"('P35568', 'Q8N3Y1')"
"('Q03405', 'Q16635')"
"('P20648', 'P08133')"
"('Q8TAD8', 'Q9BXP5')"
"('Q99816', 'Q9HCE1')"
"('P35241', 'Q99714')"
"('O75360', 'Q96NU1')"
"('P15311', 'Q15293')"
"('Q7Z3K3', 'Q5SWW7')"
"('Q86X19', 'P50851')"
"('Q9UKV8', 'Q13541')"
"('Q8IWZ5', 'Q5T752')"
"('Q13451', 'Q8N1E6')"
"('Q9BV86', 'P58753')"
"('Q99572', 'P60410')"
"('Q14814', 'Q92905')"
"('O95071', 'Q92784')"
"('Q99784', 'Q9NRI5')"
"('P62316', 'P14678')"
"('Q96RL1', 'P08709')"
"('Q9UL62', 'Q9H169')"
"('Q9HAT0', 'O75382')"
"('Q9UL41', 'P52732')"
"('Q15019', 'O43684')"
"('P19838', 'Q93034')"
"('P98170', 'Q9UHV2')"
"('Q9HC24', 'P04745')"
"('P45973', 'Q9BS31')"
