#tail	head	KSP index
SRC	P32927	1
SRC	P19235	2
SRC	P16871	3
SRC	P10721	4
SRC	Q92729	5
SRC	O00220	6
P32927	P42229	7
P32927	P31749	8
P32927	P52333	9
P32927	P08631	10
P32927	P23458	11
P32927	P29597	12
P32927	P05771	13
P32927	P63104	14
P32927	O15524	15
P32927	P51692	16
P32927	P29353	17
P32927	O14920	18
P32927	P43405	19
P32927	P50570	20
P32927	P42336	21
P32927	P10721	22
P32927	P27986	23
P32927	P63244	24
P32927	O60674	25
P32927	Q9NSE2	26
P32927	P06241	27
P19235	P42229	28
P19235	P52333	29
P19235	P29597	30
P19235	O14508	31
P19235	Q9Y297	32
P19235	P07948	33
P19235	Q9NSE2	34
P19235	P62993	35
P19235	P29353	36
P19235	P29350	37
P19235	P43405	38
P19235	P46109	39
P19235	P27986	40
P19235	P12931	41
P19235	P10721	42
P19235	P23458	43
P19235	P63244	44
P19235	O60674	45
P19235	Q06124	46
P16871	P62993	47
P16871	P31946	48
P16871	P42224	49
P16871	P19838	50
P16871	P63104	51
P16871	P27986	52
P16871	P11142	53
P16871	P42229	54
P16871	P29597	55
P16871	P31785	56
P16871	P51692	57
P16871	P28482	58
P16871	Q04206	59
P16871	P10721	60
P16871	P23458	61
P16871	O60674	62
P16871	P52333	63
P16871	P27361	64
P16871	P40763	65
P16871	P06241	66
P10721	Q14653	67
P10721	Q13882	68
P10721	O15524	69
P10721	O00459	70
P10721	P43405	71
P10721	O75159	72
P10721	P19235	73
P10721	Q15464	74
P10721	Q06187	75
P10721	P42229	76
P10721	P42224	77
P10721	Q99704	78
P10721	O14544	79
P10721	O14543	80
P10721	P46109	81
P10721	P46108	82
P10721	Q00610	83
P10721	P42336	84
P10721	P62993	85
P10721	P27986	86
P10721	Q06124	87
P10721	P08631	88
P10721	P32927	89
P10721	P31785	90
P10721	P07948	91
P10721	P51692	92
P10721	P29353	93
P10721	Q8WXH5	94
P10721	P11274	95
P10721	O60674	96
P10721	P52333	97
P10721	Q07890	98
P10721	O14508	99
P10721	P00519	100
P10721	P06239	101
P10721	Q92729	102
P10721	O43639	103
P10721	P40763	104
P10721	P22681	105
P10721	P16871	106
Q92729	P00533	107
Q92729	P22681	108
Q92729	P04626	109
Q92729	P27361	110
Q92729	Q02763	111
Q92729	P35222	112
Q92729	P10721	113
O00220	Q13158	114
O00220	P19438	115
O00220	Q13546	116
O00220	Q13501	117
O00220	P22681	118
O00220	Q15628	119
O00220	Q14790	120
O00220	Q96P48	121
O00220	Q13618	122
O00220	Q12933	123
O00220	Q06187	124
O00220	O15519	125
O00220	O14763	126
Q13158	Q7Z434	127
Q13158	Q13546	128
Q13158	O15111	129
Q13158	Q8N488	130
Q13158	P19838	131
Q13158	P42224	132
Q13158	O14920	133
Q13158	Q13618	134
Q13158	O15519	135
Q13158	P01375	136
Q13158	P11142	137
Q13158	Q14790	138
P19438	P78527	139
P19438	P62993	140
P19438	P43405	141
P19438	Q05397	142
P19438	O14920	143
P19438	Q12933	144
P19438	P63244	145
P19438	Q14790	146
P19438	P42224	147
P19438	P19838	148
P19438	Q00610	149
P19438	P42336	150
P19438	P27986	151
P19438	Q99683	152
P19438	O15519	153
P19438	Q02156	154
P19438	Q06124	155
P19438	P11142	156
P19438	Q13158	157
P19438	P05771	158
P19438	Q13501	159
P19438	P00533	160
P19438	P29350	161
P19438	P20333	162
P19438	P28482	163
P19438	Q15628	164
P19438	O00459	165
P19438	P23458	166
P19438	O60674	167
P19438	O14763	168
P19438	P55209	169
P19438	Q9Y297	170
P19438	Q07890	171
P19438	Q04206	172
P19438	O15111	173
P19438	P22681	174
P19438	Q13546	175
P19438	O00220	176
