#tail	head	KSP index
SRC	P04626	1
SRC	P08069	2
SRC	P48357	3
P04626	P08069	4
P04626	P15498	5
P04626	P35354	6
P04626	Q13882	7
P04626	P20936	8
P04626	P15941	9
P04626	P09769	10
P04626	P07900	11
P04626	Q15303	12
P04626	O15524	13
P04626	O00459	14
P04626	P43405	15
P04626	P42680	16
P04626	P23458	17
P04626	P51813	18
P04626	P02786	19
P04626	Q9UNE7	20
P04626	P62993	21
P04626	O14492	22
P04626	P41240	23
P04626	P42224	24
P04626	P16070	25
P04626	Q14289	26
P04626	P07355	27
P04626	P48357	28
P04626	P03372	29
P04626	P46109	30
P04626	P46108	31
P04626	P27348	32
P04626	P35241	33
P04626	P00533	34
P04626	P42336	35
P04626	P14625	36
P04626	P27986	37
P04626	Q06124	38
P04626	Q13526	39
P04626	Q96SB4	40
P04626	Q13153	41
P04626	P29353	42
P04626	O00213	43
P04626	Q08881	44
P04626	Q16543	45
P04626	P04406	46
P04626	P51451	47
P04626	P52333	48
P04626	P37173	49
P04626	Q05397	50
P04626	P06493	51
P04626	P14923	52
P04626	P08238	53
P04626	P19174	54
P04626	P35222	55
P04626	P40189	56
P04626	P16591	57
P04626	O60674	58
P04626	O00750	59
P04626	P46940	60
P04626	O00443	61
P04626	O14654	62
P04626	P00519	63
P04626	P60709	64
P04626	O43639	65
P04626	P40763	66
P04626	Q9NSE2	67
P04626	P12931	68
P04626	P22681	69
P04626	P06241	70
P08069	P20936	71
P08069	P07900	72
P08069	O15524	73
P08069	P62993	74
P08069	P18031	75
P08069	P63096	76
P08069	Q05397	77
P08069	Q9UJU2	78
P08069	P63244	79
P08069	P61981	80
P08069	P41240	81
P08069	O14543	82
P08069	P07355	83
P08069	P48357	84
P08069	P03372	85
P08069	P46109	86
P08069	P46108	87
P08069	P42336	88
P08069	P63104	89
P08069	P27986	90
P08069	Q06124	91
P08069	P16473	92
P08069	P00533	93
P08069	P29353	94
P08069	P08238	95
P08069	P19174	96
P08069	P35222	97
P08069	O00459	98
P08069	P23458	99
P08069	O60674	100
P08069	O14508	101
P08069	P04626	102
P08069	O14654	103
P08069	P10912	104
P08069	P40763	105
P08069	P12931	106
P08069	P04637	107
P48357	P08069	108
P48357	P52333	109
P48357	P29597	110
P48357	O14508	111
P48357	P04626	112
P48357	O14654	113
P48357	P62993	114
P48357	P40763	115
P48357	P27986	116
P48357	P12931	117
P48357	O00459	118
P48357	Q9NSE2	119
P48357	P23458	120
P48357	O60674	121
P48357	Q06124	122
P48357	Q13526	123
P48357	P06241	124
P52333	Q9Y6K9	125
P52333	Q9UNE7	126
P52333	P42229	127
P52333	P42224	128
P52333	O14543	129
P52333	P48357	130
P52333	Q14289	131
P52333	P42336	132
P52333	P27986	133
P52333	P29597	134
P52333	P51692	135
P52333	P07332	136
P52333	P10721	137
P52333	P06493	138
P52333	Q07666	139
P52333	O00459	140
P52333	P23458	141
P52333	O60674	142
P52333	Q06124	143
P52333	P10912	144
P52333	P40763	145
P52333	P09619	146
P29597	P15498	147
P29597	P07900	148
P29597	P18031	149
P29597	O00459	150
P29597	P46109	151
P29597	P63244	152
P29597	P42229	153
P29597	P42224	154
P29597	P48357	155
P29597	P42336	156
P29597	P27986	157
P29597	Q06124	158
P29597	P61978	159
P29597	P00533	160
P29597	P51692	161
P29597	P37173	162
P29597	P23458	163
P29597	O60674	164
P29597	P52333	165
P29597	P08238	166
P29597	P10912	167
P29597	P40763	168
P29597	P09619	169
P29597	P06241	170
O14508	P08069	171
O14508	P42229	172
O14508	P52333	173
O14508	P42224	174
O14508	P29597	175
O14508	O14543	176
O14508	O14654	177
O14508	P48357	178
O14508	O15524	179
O14508	Q05397	180
O14508	Q14289	181
O14508	P10912	182
O14508	P40763	183
O14508	P51692	184
O14508	P14784	185
O14508	P40189	186
O14508	P10721	187
O14508	P23458	188
O14508	O60674	189
O14654	P07900	190
O14654	P62993	191
O14654	P61981	192
O14654	P48357	193
O14654	Q9UM73	194
O14654	P46109	195
O14654	P46108	196
O14654	P27348	197
O14654	P42336	198
O14654	P27986	199
O14654	Q13617	200
O14654	P00533	201
O14654	P29353	202
O14654	Q15185	203
O14654	P20333	204
O14654	P63104	205
O14654	P19174	206
O14654	O00459	207
O14654	Q04206	208
O14654	Q71U36	209
O14654	P04626	210
O14654	P53041	211
O14654	Q13233	212
O14654	P04637	213
P62993	P20936	214
P62993	P18031	215
P62993	P46108	216
P62993	P07355	217
P62993	P42680	218
P62993	P27986	219
