negatives
"('P48730', 'P35222')"
"('Q05519', 'P39656')"
"('Q15436', 'Q9NRC8')"
"('Q92831', 'Q99801')"
"('Q8NC56', 'P62079')"
"('Q92731', 'P48552')"
"('O00400', 'P00846')"
"('Q14584', 'O43597')"
"('P04629', 'Q9UHX1')"
"('Q8WW24', 'Q9BUY5')"
"('Q9Y4A5', 'Q9UPT9')"
"('O95786', 'P21580')"
"('Q8NEZ3', 'Q86VG3')"
"('Q9BQA5', 'Q6KC79')"
"('Q8N122', 'Q9BST9')"
"('P46109', 'Q63HR2')"
"('Q9NNW5', 'Q9Y463')"
"('Q9H492', 'P35658')"
"('Q96A08', 'P0C5Y9')"
"('P41218', 'O15234')"
"('P07864', 'O60885')"
"('Q92543', 'Q01094')"
"('Q13489', 'Q04864')"
"('P31942', 'Q16659')"
"('P62873', 'Q9NQ66')"
"('P23771', 'P0C0L4')"
"('P25789', 'P00519')"
"('P28749', 'Q9NY61')"
"('Q8WVD3', 'Q15717')"
"('Q86WV6', 'Q70EL3')"
"('P10321', 'P67809')"
"('P17948', 'Q05397')"
"('Q8WWY8', 'O14531')"
"('Q96T76', 'O94822')"
"('P38919', 'Q96GN5')"
"('Q96B97', 'P08631')"
"('O00459', 'Q06124')"
"('O43303', 'Q9Y2I6')"
"('Q8NFW5', 'P47897')"
"('P34897', 'Q13617')"
"('O15446', 'P49407')"
"('A7MD48', 'Q8TAD8')"
"('Q9UJV9', 'Q15366')"
"('Q969R5', 'P48643')"
"('P11171', 'P49720')"
"('P27986', 'P13521')"
"('Q6ZW49', 'Q6PKG0')"
"('Q13227', 'Q15466')"
"('P33176', 'Q9H3S7')"
"('Q8N205', 'Q9H0B6')"
"('Q2TBE0', 'Q13625')"
"('P30450', 'Q5JWF2')"
"('P61019', 'Q05084')"
"('P45974', 'P98170')"
"('Q96R06', 'O43295')"
"('O60307', 'P61927')"
"('Q9Y546', 'Q9C0C7')"
"('P07550', 'P50213')"
"('P32121', 'Q96R47')"
"('Q9BWW4', 'Q9UBH0')"
"('P01566', 'Q9HC73')"
"('P04264', 'P37198')"
"('P62899', 'Q9UHQ7')"
"('P27105', 'Q9Y5L0')"
"('Q9UBE0', 'P26367')"
"('P19793', 'P20749')"
"('P46063', 'P05412')"
"('Q8IVH8', 'Q99962')"
"('Q14457', 'P48736')"
"('Q9H3N1', 'Q9H1C7')"
"('Q86VE0', 'A0PJX0')"
"('O95433', 'Q9UN72')"
"('Q9P032', 'O00425')"
"('Q9BYS1', 'P17482')"
"('Q5T751', 'Q12805')"
"('P63241', 'Q8IU60')"
"('P17568', 'Q9P0J0')"
"('Q9BX67', 'P50222')"
"('Q14145', 'Q66GS9')"
"('Q9UBU9', 'Q99733')"
"('Q16665', 'P19367')"
"('P41594', 'Q86UK5')"
"('O60299', 'Q66GS9')"
"('O95071', 'P35998')"
"('Q3SY00', 'Q4V328')"
"('P78508', 'Q15049')"
"('Q96CB8', 'Q9NYW3')"
"('Q7L9L4', 'Q5H9R7')"
"('Q86UE4', 'Q8IXJ6')"
"('Q9Y2I6', 'Q9P2K3')"
"('Q9H1C3', 'Q9BTN0')"
"('P43220', 'Q9BY50')"
"('P05362', 'P42766')"
"('Q8N6Y0', 'Q6ZUS5')"
"('Q9UJA5', 'Q05397')"
"('P51991', 'P62820')"
"('O43175', 'Q9Y4K3')"
"('Q9UQL6', 'P19484')"
"('Q13724', 'Q9BV73')"
"('P18615', 'P28066')"
"('Q4VXU2', 'P78543')"
"('Q13315', 'P05814')"
"('O00422', 'O60264')"
"('O15479', 'P51858')"
"('Q9NZN4', 'P50991')"
"('P62857', 'P05141')"
"('Q9UQC2', 'Q8TC76')"
"('P50406', 'Q96Q15')"
"('O95835', 'Q9BRK4')"
"('Q9Y2F5', 'Q9Y463')"
"('O75367', 'O43791')"
"('P11142', 'Q9UBN7')"
"('Q9BPZ7', 'O15075')"
"('P67870', 'Q9BSB4')"
"('Q13616', 'Q6YP21')"
"('Q9NRD1', 'P52789')"
"('Q15717', 'Q9HC35')"
"('P42858', 'O00165')"
"('P55957', 'Q5RL73')"
"('Q2M1K9', 'P38398')"
"('Q01130', 'Q92993')"
"('P49747', 'P01137')"
"('P63241', 'P03372')"
"('P31947', 'Q13177')"
"('O14639', 'P05067')"
"('O75116', 'O75716')"
"('O00165', 'O95425')"
"('Q15904', 'Q5HYA8')"
"('Q9UNL4', 'O95251')"
"('Q96KN7', 'Q7L190')"
"('Q99614', 'Q9UQ16')"
"('P46779', 'Q86VP6')"
"('P60903', 'Q7L5N1')"
"('Q13263', 'Q14166')"
"('P17987', 'Q9H7D0')"
"('P21399', 'Q96C86')"
"('Q9UN37', 'Q96CF2')"
"('Q9BUL9', 'P19012')"
"('Q13285', 'P58012')"
"('Q9Y2L1', 'P04629')"
"('Q99549', 'Q96IR2')"
"('Q8NHP8', 'Q8IWL3')"
"('P04406', 'P62807')"
"('Q13616', 'P46783')"
"('Q8IZD2', 'O00311')"
"('P17098', 'Q9UBU9')"
"('Q16594', 'P22314')"
"('O43815', 'Q99832')"
"('P62826', 'P18124')"
"('Q8NFZ5', 'P38936')"
"('P62750', 'P12830')"
"('P55072', 'O43251')"
"('Q9BSH5', 'Q2WGJ6')"
"('P63279', 'Q9H422')"
"('P11940', 'Q12906')"
"('Q8IYE0', 'P23508')"
"('Q13501', 'P42345')"
"('Q06323', 'Q16186')"
"('P09211', 'Q9H492')"
"('Q08050', 'P11388')"
"('P05129', 'P02545')"
"('O14980', 'Q9P270')"
"('P01100', 'P21675')"
"('P28702', 'Q96ST3')"
"('Q15700', 'P10153')"
"('O00625', 'P31483')"
"('O60674', 'P68431')"
"('O75190', 'P0DMV8')"
"('P52306', 'Q13564')"
"('Q8TAQ2', 'Q9UGL1')"
"('P22492', 'P05114')"
"('P31751', 'Q9H0K1')"
"('Q15041', 'P51116')"
"('Q13620', 'P55209')"
"('P28482', 'Q00613')"
"('Q9UPQ9', 'Q9NWT6')"
"('O43633', 'P40818')"
"('P04637', 'O00411')"
"('A8MQ03', 'Q5T0L3')"
"('P20839', 'Q9Y466')"
"('Q3T906', 'Q8NI27')"
"('Q5T749', 'P27658')"
"('P0CAP1', 'P19388')"
"('Q6ZN18', 'P02788')"
"('P20226', 'Q9UBB5')"
"('P16050', 'Q9UMR2')"
"('P26599', 'Q15366')"
"('P18084', 'P43146')"
"('P19793', 'O95257')"
"('Q14814', 'Q9UQL6')"
"('Q92918', 'P60510')"
"('P42858', 'Q13011')"
"('Q9UHD2', 'Q14142')"
"('O00151', 'Q14999')"
"('P84098', 'P63244')"
"('P35998', 'P01106')"
"('Q16539', 'P04818')"
"('P22694', 'P51828')"
"('Q92604', 'A5A3E0')"
"('Q96CW5', 'Q99590')"
"('Q5PSV4', 'Q8NHQ1')"
"('P01106', 'Q08426')"
"('P68400', 'P56270')"
"('P13693', 'P01889')"
"('P24941', 'P47929')"
"('Q9BQE3', 'Q04837')"
"('P51149', 'Q96QK1')"
"('O43889', 'P11169')"
"('Q9UJY5', 'Q92783')"
"('P18124', 'O00567')"
"('O14656', 'O95295')"
"('O14936', 'P04629')"
"('P62851', 'O60260')"
"('A6NEM1', 'P17482')"
"('Q04323', 'Q9UBU9')"
"('Q9UHD1', 'Q15785')"
"('Q9ULK4', 'Q96PU8')"
"('P56750', 'O14493')"
"('Q8IVD9', 'Q9NR64')"
"('Q9Y2Z4', 'Q13618')"
"('P05412', 'P62318')"
"('Q86VP1', 'P37058')"
"('P27708', 'P63261')"
"('Q9NZC7', 'P61962')"
"('Q6PD74', 'O14980')"
"('P08581', 'P26045')"
"('P35244', 'O75934')"
"('Q8IWA4', 'Q9NX47')"
"('Q2PPJ7', 'Q86X10')"
"('Q8N7C3', 'Q7Z6J9')"
"('P78362', 'Q15691')"
"('Q8NBS9', 'P21980')"
"('O75385', 'P42345')"
"('Q00610', 'Q9UEU0')"
"('O43143', 'Q8N5A5')"
"('Q70EL4', 'O94782')"
"('Q6P1W5', 'O60763')"
"('Q9GZL7', 'Q9NUU7')"
"('O43390', 'O75400')"
"('Q99750', 'P33992')"
"('Q92876', 'Q99816')"
"('P21980', 'Q3B726')"
"('P17275', 'P38398')"
"('Q9H668', 'Q9NWQ9')"
"('P00533', 'O75604')"
"('O95425', 'P63096')"
"('Q00839', 'O75400')"
"('P42566', 'P61077')"
"('O95817', 'P15311')"
"('P17948', 'Q92529')"
"('P47869', 'P54257')"
"('P31930', 'P09622')"
"('P52655', 'P38646')"
"('P19447', 'P14373')"
"('Q99523', 'Q08378')"
"('Q5TCQ9', 'Q9H204')"
"('O43463', 'O95243')"
"('Q9Y4B6', 'Q9BT78')"
"('Q16611', 'Q15751')"
"('Q04917', 'Q8TBZ3')"
"('Q8IWI9', 'P61964')"
"('P04637', 'Q9BRJ7')"
"('Q16777', 'O94972')"
"('Q8NI22', 'O43707')"
"('Q93009', 'O96017')"
"('Q9ULK6', 'Q5VVX9')"
"('Q9BV73', 'Q9UBL6')"
"('P38432', 'Q9Y3D8')"
"('Q8WVE6', 'Q9NUT2')"
"('O43493', 'Q9H0H0')"
"('Q96AE4', 'Q9NQG5')"
"('Q8NG06', 'O14576')"
"('Q16514', 'P63279')"
"('Q15369', 'P27695')"
"('O00233', 'Q8IWZ5')"
"('O14656', 'P28845')"
"('Q96E40', 'Q8IUF8')"
"('P10599', 'Q86SX6')"
"('Q8WXS3', 'P18146')"
"('Q9NRZ9', 'Q8WVE6')"
"('Q8IUH5', 'Q02297')"
"('P04629', 'Q96JB2')"
"('O60664', 'Q9UK76')"
"('P09001', 'Q07021')"
"('O75128', 'O00159')"
"('O00560', 'Q8NCK3')"
"('P25205', 'P13500')"
"('O43301', 'Q99459')"
"('Q96B02', 'Q8WVD3')"
"('Q99933', 'Q9Y618')"
