#tail	head	KSP index
SRC	Q9Y6Q6	1
SRC	Q9NZC2	2
Q9Y6Q6	Q9BYM8	3
Q9Y6Q6	Q13114	4
Q9Y6Q6	P08047	5
Q9Y6Q6	Q15750	6
Q9Y6Q6	Q9Y4K3	7
Q9Y6Q6	Q14192	8
Q9Y6Q6	Q96EP0	9
Q9Y6Q6	Q13546	10
Q9Y6Q6	Q9Y6K9	11
Q9Y6Q6	P07948	12
Q9Y6Q6	Q13077	13
Q9Y6Q6	O15111	14
Q9Y6Q6	Q15025	15
Q9Y6Q6	O00463	16
Q9Y6Q6	Q9NYJ8	17
Q9Y6Q6	O00459	18
Q9Y6Q6	Q15628	19
Q9Y6Q6	Q12933	20
Q9Y6Q6	P12931	21
Q9Y6Q6	Q13489	22
Q9Y6Q6	O14920	23
Q9Y6Q6	O43318	24
Q9Y6Q6	P27986	25
Q9Y6Q6	P63244	26
Q9BYM8	Q9Y4K3	27
Q9BYM8	Q9Y6K9	28
Q9BYM8	P07900	29
Q9BYM8	Q15025	30
Q9BYM8	O43353	31
Q9BYM8	O14920	32
Q9BYM8	Q12933	33
Q9BYM8	P01375	34
Q9BYM8	P19438	35
Q9BYM8	Q15750	36
Q9BYM8	Q9UDY8	37
Q9BYM8	P31273	38
Q9BYM8	Q13077	39
Q9BYM8	Q9NYJ8	40
Q9BYM8	P03372	41
Q9BYM8	Q13490	42
Q9BYM8	Q93009	43
Q9BYM8	P46934	44
Q9BYM8	P05771	45
Q9BYM8	Q9H0F6	46
Q9BYM8	Q15628	47
Q9BYM8	P17252	48
Q9BYM8	Q13489	49
Q9BYM8	O43318	50
Q9BYM8	Q8N5C8	51
Q9BYM8	O15111	52
Q9BYM8	Q13546	53
Q9BYM8	Q9Y6Q6	54
Q13114	Q9Y4K3	55
Q13114	Q15025	56
Q13114	Q12933	57
Q13114	Q06187	58
Q13114	P19438	59
Q13114	Q9Y6K9	60
Q13114	Q13077	61
Q13114	P03372	62
Q13114	Q93009	63
Q13114	Q99558	64
Q13114	Q16543	65
Q13114	O00463	66
Q13114	Q15628	67
Q13114	O43318	68
Q13114	Q13546	69
Q13114	Q9UHD2	70
Q13114	P12931	71
Q13114	Q00653	72
Q13114	Q9Y6Q6	73
P08047	P19838	74
P08047	P07900	75
P08047	P78527	76
P08047	O15379	77
P08047	P46108	78
P08047	P19105	79
P08047	P01375	80
P08047	P10275	81
P08047	P10276	82
P08047	P03372	83
P08047	P35579	84
P08047	P05412	85
P08047	Q01196	86
P08047	Q02156	87
P08047	Q05655	88
P08047	P84022	89
P08047	Q14192	90
P08047	Q09472	91
P08047	P38646	92
P08047	P14921	93
P08047	Q92793	94
P08047	Q04206	95
