#tail	head	KSP index
SRC	Q9Y6Q6	1
SRC	P20333	2
SRC	P28908	3
SRC	Q8IV45	4
Q9Y6Q6	Q9BYM8	5
Q9Y6Q6	Q13114	6
Q9Y6Q6	Q15750	7
Q9Y6Q6	Q9Y4K3	8
Q9Y6Q6	Q14192	9
Q9Y6Q6	Q96EP0	10
Q9Y6Q6	Q13546	11
Q9Y6Q6	Q9Y6K9	12
Q9Y6Q6	P07948	13
Q9Y6Q6	Q13077	14
Q9Y6Q6	O15111	15
Q9Y6Q6	Q15025	16
Q9Y6Q6	Q9NYJ8	17
Q9Y6Q6	Q15628	18
Q9Y6Q6	Q12933	19
Q9Y6Q6	P12931	20
Q9Y6Q6	Q13489	21
Q9Y6Q6	O14920	22
Q9Y6Q6	O43318	23
Q9Y6Q6	P27986	24
P20333	Q13114	25
P20333	Q9Y4K3	26
P20333	P78527	27
P20333	Q9UM54	28
P20333	P27708	29
P20333	P43405	30
P20333	P23396	31
P20333	P07910	32
P20333	Q12933	33
P20333	P48729	34
P20333	P08670	35
P20333	P55060	36
P20333	P35580	37
P20333	P19438	38
P20333	P38646	39
P20333	P42224	40
P20333	P05141	41
P20333	Q9Y297	42
P20333	Q13748	43
P20333	P21333	44
P20333	Q05639	45
P20333	P17066	46
P20333	O95816	47
P20333	Q00610	48
P20333	P41182	49
P20333	P14625	50
P20333	P58107	51
P20333	P35579	52
P20333	O14980	53
P20333	Q71UM5	54
P20333	Q07021	55
P20333	P11142	56
P20333	Q13490	57
P20333	P04406	58
P20333	Q3ZCQ8	59
P20333	P42677	60
P20333	P62263	61
P20333	O95831	62
P20333	P62269	63
P20333	Q15628	64
P20333	Q9UER7	65
P20333	P62829	66
P20333	Q00839	67
P20333	Q16531	68
P20333	Q92616	69
P20333	Q9UKB1	70
P20333	P31689	71
P20333	Q9HAV4	72
P20333	P04350	73
P20333	O15111	74
P20333	Q13233	75
P20333	Q13546	76
P20333	P17987	77
P20333	P62249	78
P20333	Q13077	79
P20333	Q96EY1	80
P20333	P12236	81
P20333	P12235	82
P20333	Q9UHD2	83
