#tail	head	KSP index
SRC	Q9UP38	1
SRC	Q9ULW2	2
SRC	Q14332	3
SRC	Q9NPG1	4
SRC	Q13467	5
SRC	O75084	6
SRC	Q9H461	7
SRC	O00144	8
SRC	Q07954	9
SRC	O75197	10
SRC	O75581	11
SRC	Q01973	12
SRC	Q01974	13
SRC	P34925	14
Q9UP38	Q07954	15
Q9UP38	O75581	16
Q9UP38	Q08379	17
Q9UP38	P78352	18
Q9UP38	O14641	19
Q9UP38	O14640	20
Q9UP38	O75197	21
Q9UP38	Q92997	22
Q9UP38	P49841	23
Q9ULW2	O75581	24
Q9ULW2	Q13467	25
Q9ULW2	O14641	26
Q9ULW2	O14640	27
Q9ULW2	O75197	28
Q9ULW2	Q92997	29
Q14332	O75581	30
Q14332	P78352	31
Q14332	O14641	32
Q14332	O14640	33
Q14332	O75197	34
Q14332	Q92997	35
Q14332	Q01974	36
Q9NPG1	P27986	37
Q9NPG1	Q92997	38
Q9NPG1	P42336	39
Q9NPG1	O75581	40
Q9NPG1	O14641	41
Q9NPG1	O14640	42
Q9NPG1	O75197	43
Q9NPG1	P34925	44
Q13467	Q9ULW2	45
Q13467	Q68DV7	46
Q13467	Q5S007	47
Q13467	O75581	48
Q13467	O14641	49
Q13467	O14640	50
Q13467	O75197	51
Q13467	Q92997	52
Q13467	P49841	53
Q13467	Q01974	54
O75084	O75581	55
O75084	Q9UMX0	56
O75084	P78352	57
O75084	O14641	58
O75084	O14640	59
O75084	O75197	60
O75084	Q92997	61
O75084	Q9NRR5	62
Q9H461	Q92997	63
Q9H461	O75581	64
Q9H461	O14641	65
Q9H461	Q2MKA7	66
Q9H461	O14640	67
Q9H461	O75197	68
Q9H461	P34925	69
O00144	O75581	70
O00144	Q99750	71
O00144	O14641	72
O00144	O14640	73
O00144	O75197	74
O00144	Q92997	75
Q07954	P00533	76
Q07954	Q99853	77
Q07954	Q9UP38	78
Q07954	P78352	79
Q07954	P08621	80
Q07954	Q96S59	81
Q07954	P98082	82
O75197	Q9NPG1	83
O75197	O75084	84
O75197	Q9ULV1	85
O75197	Q9H461	86
O75197	P19022	87
O75197	O15198	88
O75197	O00144	89
O75197	Q9ULW2	90
O75197	Q13467	91
O75197	O14641	92
O75197	Q92837	93
O75197	Q92997	94
O75197	Q9UP38	95
O75197	Q14332	96
O75197	P05412	97
O75197	P49841	98
O75197	O14640	99
O75197	O60353	100
O75197	O15169	101
O75581	Q9NPG1	102
O75581	O75084	103
O75581	Q9ULV1	104
O75581	P62979	105
O75581	P19022	106
O75581	O00144	107
O75581	Q13467	108
O75581	Q14332	109
O75581	Q9H461	110
O75581	Q9ULW2	111
O75581	Q5S007	112
O75581	P09619	113
O75581	O14640	114
O75581	O14641	115
O75581	Q2MKA7	116
O75581	Q92997	117
O75581	Q9UP38	118
O75581	P58335	119
O75581	P62987	120
O75581	P98082	121
O75581	P49841	122
O75581	P35222	123
O75581	Q03135	124
O75581	O60353	125
O75581	O15169	126
Q01973	P05067	127
Q01973	P00533	128
Q01973	P12931	129
Q01973	P19474	130
Q01974	O43318	131
Q01974	O14640	132
Q01974	O14641	133
Q01974	Q92997	134
Q01974	Q14332	135
Q01974	Q15038	136
Q01974	Q13467	137
P34925	Q15717	138
P34925	P19022	139
P34925	P13569	140
P34925	Q9NPG1	141
P34925	Q9H461	142
P34925	P35222	143
P34925	P04637	144
P34925	P35221	145
P34925	O14640	146
Q15717	Q9NYG2	147
Q15717	P04626	148
Q15717	P68400	149
Q15717	Q9Y297	150
Q15717	P78352	151
Q15717	P04637	152
Q15717	P01106	153
Q15717	Q13363	154
Q15717	P17676	155
Q15717	Q05397	156
Q15717	Q00987	157
Q15717	Q15038	158
Q15717	P36897	159
Q15717	P34925	160
Q15717	P49841	161
Q15717	Q92796	162
Q15717	P27348	163
Q15717	Q15796	164
Q15717	Q9NQB0	165
Q15717	P05412	166
Q15717	Q13887	167
Q15717	Q8NEV8	168
Q15717	O60315	169
Q15717	Q13526	170
Q15717	P49674	171
Q15717	P35222	172
Q15717	P48729	173
Q15717	P56524	174
Q15717	P15923	175
Q15717	Q9UKB1	176
Q15717	Q96EB6	177
Q15717	O60353	178
Q15717	O14641	179
Q15717	Q5JTC6	180
Q15717	P46937	181
Q15717	P62993	182
P19022	P35221	183
P19022	P08575	184
P19022	P00533	185
P19022	Q01082	186
P19022	P18031	187
P19022	O75581	188
P19022	P34925	189
P19022	P14923	190
P19022	Q15262	191
P19022	P35222	192
P19022	O75197	193
P19022	Q16827	194
P19022	Q16620	195
P19022	P04626	196
P19022	O15169	197
P13569	P62979	198
P13569	P98082	199
P13569	P25054	200
P13569	P46934	201
P13569	O14745	202
P13569	P62987	203
P13569	P12830	204
P13569	P34925	205
P13569	P11021	206
P35222	Q13887	207
P35222	O75581	208
P35222	P62979	209
P35222	P10275	210
P35222	P42858	211
P35222	O60341	212
P35222	P27986	213
P35222	Q9HCE7	214
P35222	O00570	215
P35222	P17844	216
P35222	O94907	217
P35222	Q96EB6	218
P35222	Q04206	219
P35222	P15923	220
P35222	Q96CW1	221
P35222	P15884	222
P35222	P67870	223
P35222	Q15038	224
P35222	O15169	225
P35222	P49674	226
P35222	Q15262	227
P35222	P37231	228
P35222	P05067	229
P35222	P46531	230
P35222	Q9Y297	231
P35222	Q9UBL3	232
P35222	P24864	233
P35222	Q9Y2T1	234
P35222	P20749	235
P35222	P63104	236
P35222	P29590	237
P35222	P19793	238
P35222	Q99853	239
P35222	O14640	240
P35222	O14641	241
P35222	P35221	242
P35222	P34925	243
P35222	Q5JTC6	244
P35222	Q9UJU2	245
P35222	O14686	246
P35222	P62987	247
P35222	Q13526	248
P35222	P15941	249
P35222	P25054	250
P35222	P56524	251
P35222	P46937	252
P35222	P11388	253
P35222	Q15796	254
P35222	P01106	255
P35222	P68400	256
P35222	P19022	257
P35222	Q9NQB0	258
P35222	Q13363	259
P35222	P42336	260
P35222	O14745	261
P35222	Q03135	262
P35222	P84022	263
P35222	P12830	264
P35222	Q9UKB1	265
P35222	P14923	266
P35222	Q13485	267
P35222	Q92997	268
P35222	O15105	269
P35222	Q15717	270
P35222	P98164	271
P35222	P17252	272
P35222	P49841	273
P35222	P49768	274
P35222	SNK	275
P04637	Q13887	276
P04637	Q9HCE7	277
P04637	O15105	278
P04637	Q05397	279
P04637	P62979	280
P04637	P10275	281
P04637	P17844	282
P04637	O94907	283
P04637	Q68DV7	284
P04637	Q04206	285
P04637	Q00987	286
P04637	Q96S59	287
P04637	P15884	288
P04637	P67870	289
P04637	P84022	290
P04637	O15169	291
P04637	P49674	292
P04637	P15941	293
P04637	Q9Y297	294
P04637	Q9UBL3	295
P04637	P63104	296
P04637	P29590	297
P04637	P00533	298
P04637	Q99853	299
P04637	P55036	300
P04637	O14641	301
P04637	P34925	302
P04637	P12931	303
P04637	P42858	304
P04637	P49841	305
P04637	O75925	306
P04637	Q13526	307
P04637	P42224	308
P04637	P25054	309
P04637	P27348	310
P04637	P62993	311
P04637	P11388	312
P04637	Q5VWQ8	313
P04637	Q15797	314
P04637	Q15796	315
P04637	P01106	316
P04637	Q13363	317
P04637	P05412	318
P04637	Q9UKB1	319
P04637	P17676	320
P04637	P11021	321
P35221	P31749	322
P35221	P19022	323
P35221	Q13363	324
P35221	P05067	325
P35221	P25054	326
P35221	P27348	327
P35221	P46937	328
P35221	P63104	329
P35221	P27986	330
P35221	P05412	331
P35221	P12830	332
P35221	P00533	333
