#tail	head	KSP index	path cost
P00533	P10644	1	5.62500e-01
P10644	P10276	1	5.62500e-01
P00533	P42229	2	5.62500e-01
P42229	P10276	2	5.62500e-01
P10644	P17612	3	4.21875e-01
P17612	P10276	3	4.21875e-01
P00533	P27361	4	4.21875e-01
P27361	P19793	4	4.21875e-01
P19793	P10276	4	4.21875e-01
P00533	P27986	5	4.21875e-01
P27986	P19793	5	4.21875e-01
P00533	O00459	6	4.21875e-01
O00459	P42229	6	4.21875e-01
P00533	O14543	7	4.21875e-01
O14543	P42229	7	4.21875e-01
O15524	P42229	8	4.21875e-01
P00533	O15524	8	4.21875e-01
P00533	O60674	9	4.21875e-01
O60674	P42229	9	4.21875e-01
P00533	P00519	10	4.21875e-01
P00519	P42229	10	4.21875e-01
P00519	Q71SY5	11	4.21875e-01
Q71SY5	P10276	11	4.21875e-01
P00533	P03372	12	4.21875e-01
P03372	P42229	12	4.21875e-01
P03372	Q15788	13	4.21875e-01
Q15788	P10276	13	4.21875e-01
P00533	P12931	14	4.21875e-01
P12931	P42229	14	4.21875e-01
P00533	P17706	15	4.21875e-01
P17706	P42229	15	4.21875e-01
P00533	P18031	16	4.21875e-01
P18031	P42229	16	4.21875e-01
P00533	P23458	17	4.21875e-01
P23458	P42229	17	4.21875e-01
P27986	P42229	18	4.21875e-01
P40763	P42229	19	4.21875e-01
P00533	P40763	19	4.21875e-01
P40763	Q15788	20	4.21875e-01
P00533	P42224	21	4.21875e-01
P42224	P42229	21	4.21875e-01
P00533	P35222	22	4.21875e-01
P45983	P10276	22	4.21875e-01
P35222	P45983	22	4.21875e-01
P35222	Q15596	23	4.21875e-01
Q15596	P10276	23	4.21875e-01
P42229	P19793	24	4.21875e-01
P00533	P46108	25	4.21875e-01
P46108	P42229	25	4.21875e-01
P46108	P45983	26	4.21875e-01
P00533	P46109	27	4.21875e-01
P46109	P42229	27	4.21875e-01
P46109	P45983	28	4.21875e-01
P00533	P51692	29	4.21875e-01
P51692	P42229	29	4.21875e-01
P00533	P62993	30	4.21875e-01
P62993	P10644	30	4.21875e-01
P00533	P63104	31	4.21875e-01
P63104	P14866	31	4.21875e-01
P14866	P10276	31	4.21875e-01
P63104	P17612	32	4.21875e-01
P00533	Q02750	33	4.21875e-01
Q02750	P45983	33	4.21875e-01
P10275	Q05086	34	4.21875e-01
P00533	P10275	34	4.21875e-01
Q05086	P10276	34	4.21875e-01
P10275	Q15596	35	4.21875e-01
P10275	Q15788	36	4.21875e-01
P10275	Q9Y6Q9	37	4.21875e-01
Q9Y6Q9	P10276	37	4.21875e-01
P45984	P10276	38	4.21875e-01
Q02750	P45984	38	4.21875e-01
P53779	P10276	39	4.21875e-01
Q02750	P53779	39	4.21875e-01
P00533	Q06124	40	4.21875e-01
Q06124	P42229	40	4.21875e-01
P00533	Q13387	41	4.21875e-01
Q13387	P45983	41	4.21875e-01
Q13387	P45984	42	4.21875e-01
Q13387	P53779	43	4.21875e-01
P00533	Q15303	44	4.21875e-01
Q15303	P42229	44	4.21875e-01
P00533	P0CG47	45	4.21875e-01
Q16236	P10276	45	4.21875e-01
P0CG47	Q16236	45	4.21875e-01
P00533	Q9NSE2	46	4.21875e-01
Q9NSE2	P42229	46	4.21875e-01
P00533	Q9UQF2	47	4.21875e-01
Q9UQF2	P45983	47	4.21875e-01
P00533	Q05397	48	4.21875e-01
Q05397	Q9Y6Q9	48	4.21875e-01
P00533	Q13153	49	4.21875e-01
Q13153	Q9Y6Q9	49	4.21875e-01
Q9UQF2	P45984	50	4.21875e-01
Q9UQF2	P53779	51	4.21875e-01
P23945	P32121	52	4.21875e-01
P32121	P53779	52	4.21875e-01
P49407	P53779	53	4.21875e-01
P23945	P49407	53	4.21875e-01
P00519	Q09472	54	4.03483e-01
Q09472	P10276	54	4.03483e-01
P03372	Q09472	55	4.03483e-01
P03372	Q9NPJ4	56	4.03483e-01
Q9NPJ4	P10276	56	4.03483e-01
P10275	O75376	57	4.03483e-01
O75376	P10276	57	4.03483e-01
P10275	P48552	58	4.03483e-01
P48552	P10276	58	4.03483e-01
P10275	P50613	59	4.03483e-01
P50613	P10276	59	4.03483e-01
P10275	Q12796	60	4.03483e-01
Q12796	P10276	60	4.03483e-01
P31749	Q09472	61	4.03483e-01
P00533	P31749	61	4.03483e-01
P35222	Q09472	62	4.03483e-01
P35222	P45984	63	3.89508e-01
P00533	Q8WXH5	64	3.89226e-01
