#tail	head	KSP index	path cost
P27930	Q04206	1	7.50000e-01
P14778	Q04206	2	7.50000e-01
O43187	O14920	3	5.62500e-01
P14778	O43187	3	5.62500e-01
P19838	P25963	4	5.62500e-01
P14778	P19838	4	5.62500e-01
P19838	Q04206	5	5.62500e-01
P19838	Q15653	6	5.62500e-01
P27986	P25963	7	5.62500e-01
P14778	P27986	7	5.62500e-01
P51617	O14920	8	5.62500e-01
P14778	P51617	8	5.62500e-01
P51617	Q9Y6K9	9	5.62500e-01
Q12933	O14920	10	5.62500e-01
P14778	Q12933	10	5.62500e-01
Q12933	P25963	11	5.62500e-01
Q12933	Q9Y6K9	12	5.62500e-01
Q15628	O14920	13	5.62500e-01
P14778	Q15628	13	5.62500e-01
Q15628	P25963	14	5.62500e-01
Q15628	Q9Y6K9	15	5.62500e-01
Q99759	O14920	16	5.62500e-01
P14778	Q99759	16	5.62500e-01
Q99759	P25963	17	5.62500e-01
Q99759	Q04206	18	5.62500e-01
Q99759	Q15653	19	5.62500e-01
Q99759	Q9Y6K9	20	5.62500e-01
P14778	Q99836	21	5.62500e-01
Q99836	Q04206	21	5.62500e-01
Q9NWZ3	O14920	22	5.62500e-01
P14778	Q9NWZ3	22	5.62500e-01
Q9Y4K3	O14920	23	5.62500e-01
P14778	Q9Y4K3	23	5.62500e-01
Q9Y4K3	Q04206	24	5.62500e-01
Q9Y4K3	Q9Y6K9	25	5.62500e-01
Q9Y616	O14920	26	5.62500e-01
P14778	Q9Y616	26	5.62500e-01
P27930	P19838	27	5.62500e-01
P27930	Q99759	30	5.62500e-01
Q9NPH3	O43187	35	5.62500e-01
Q9NPH3	P51617	36	5.62500e-01
Q9NPH3	Q15628	38	5.62500e-01
Q9NPH3	Q99836	41	5.62500e-01
Q9NPH3	Q9NWZ3	42	5.62500e-01
Q15750	O14920	43	4.92560e-01
P14778	Q15750	43	4.92560e-01
Q15750	P25963	44	4.92560e-01
Q15750	Q15653	45	4.92560e-01
Q15750	Q9Y6K9	46	4.92560e-01
P27930	Q15750	47	4.92560e-01
P27930	Q9Y4K3	51	4.92560e-01
P14778	O14920	54	4.26525e-01
O00459	O15530	55	4.21875e-01
O15530	O14920	55	4.21875e-01
P14778	O00459	55	4.21875e-01
O00459	P0CG47	56	4.21875e-01
P0CG47	P25963	56	4.21875e-01
P0CG47	Q9Y6K9	57	4.21875e-01
O00459	P27986	58	4.21875e-01
P31749	O14920	59	4.21875e-01
O00459	P31749	59	4.21875e-01
P31749	P25963	60	4.21875e-01
P31749	Q04206	61	4.21875e-01
P31749	Q15653	62	4.21875e-01
P31749	Q9Y6K9	63	4.21875e-01
O00459	P31751	64	4.21875e-01
P31751	O14920	64	4.21875e-01
P31751	P25963	65	4.21875e-01
P31751	Q04206	66	4.21875e-01
P31751	Q15653	67	4.21875e-01
P31751	Q9Y6K9	68	4.21875e-01
P31946	O14920	69	4.21875e-01
O00459	P31946	69	4.21875e-01
P40763	Q04206	70	4.21875e-01
O00459	P40763	70	4.21875e-01
O00459	Q05513	71	4.21875e-01
Q05513	Q04206	71	4.21875e-01
Q9Y243	O14920	72	4.21875e-01
O00459	Q9Y243	72	4.21875e-01
Q9Y243	P25963	73	4.21875e-01
Q9Y243	Q04206	74	4.21875e-01
Q9Y243	Q15653	75	4.21875e-01
Q9Y243	Q9Y6K9	76	4.21875e-01
O00459	Q9Y4K3	77	4.21875e-01
P63104	Q9Y6K9	78	4.21875e-01
O00459	P63104	78	4.21875e-01
O00459	Q9Y6Q6	81	4.21875e-01
Q9Y6Q6	Q04206	81	4.21875e-01
O43187	Q99836	82	4.21875e-01
O43187	Q9Y4K3	83	4.21875e-01
O43187	Q9Y616	86	4.21875e-01
P19838	P04350	87	4.21875e-01
P04350	O14920	87	4.21875e-01
P04350	Q9Y6K9	88	4.21875e-01
P04637	O14920	89	4.21875e-01
P19838	P04637	89	4.21875e-01
P07437	O14920	90	4.21875e-01
P19838	P07437	90	4.21875e-01
P07437	P25963	91	4.21875e-01
P07437	Q15653	92	4.21875e-01
P07437	Q9Y6K9	93	4.21875e-01
P19838	P07900	94	4.21875e-01
P07900	O14920	94	4.21875e-01
P07900	Q15653	95	4.21875e-01
P07900	Q9Y6K9	96	4.21875e-01
P08107	O14920	97	4.21875e-01
P19838	P08107	97	4.21875e-01
P08107	Q04206	98	4.21875e-01
P08107	Q9Y6K9	99	4.21875e-01
