negatives
"('P09211', 'Q9NRX1')"
"('Q99459', 'Q13263')"
"('Q5QNW6', 'P63104')"
"('P17676', 'Q16548')"
"('Q9P0K7', 'Q9Y572')"
"('P20042', 'P04637')"
"('P15880', 'P46781')"
"('O75400', 'Q9NPH3')"
"('Q9NZN5', 'Q7L0Q8')"
"('Q8NAF0', 'O95257')"
"('P49321', 'Q05397')"
"('P05019', 'P51812')"
"('P06239', 'P28907')"
"('Q9Y605', 'Q9Y3D7')"
"('Q9BVP2', 'Q9UL18')"
"('Q9UHI6', 'Q9UKV8')"
"('P12830', 'Q13905')"
"('A6NHA9', 'P38405')"
"('Q92793', 'Q96JK9')"
"('P13674', 'Q92985')"
"('O60825', 'P63104')"
"('Q8NHZ8', 'P06493')"
"('Q13347', 'P23508')"
"('O60684', 'P42224')"
"('P61604', 'P30480')"
"('P15880', 'P62081')"
"('P24534', 'P01241')"
"('Q8N163', 'Q99759')"
"('Q96ST3', 'Q00653')"
"('P14316', 'O15524')"
"('P03989', 'P61769')"
"('Q13535', 'Q9UER7')"
"('Q5T5U3', 'Q07889')"
"('Q07869', 'Q9Y618')"
"('P16333', 'O43516')"
"('Q8NEM7', 'O94864')"
"('Q13573', 'P28340')"
"('Q8WZ42', 'P12814')"
"('P04626', 'P35221')"
"('P09382', 'P07766')"
"('P54253', 'Q96RK0')"
"('P23945', 'P84996')"
"('P62873', 'O00329')"
"('Q01658', 'Q96ES7')"
"('Q8WUI4', 'Q03181')"
"('P98082', 'P41236')"
"('Q9C0E2', 'P84022')"
"('P50150', 'P51828')"
"('Q13155', 'Q13643')"
"('Q12996', 'P33240')"
"('Q96AG4', 'Q9H1Y0')"
"('P01889', 'Q9UGP8')"
"('Q99567', 'P12270')"
"('P01106', 'P62987')"
"('P27361', 'O43623')"
"('Q15393', 'Q10586')"
"('P06730', 'P78344')"
"('P98171', 'Q07890')"
"('P62993', 'Q96GM5')"
"('Q09028', 'P01106')"
"('P61981', 'Q86W92')"
"('O75486', 'P38398')"
"('P50591', 'P42224')"
"('Q9Y5Z7', 'P61964')"
"('O95376', 'Q16851')"
"('P03905', 'P62993')"
"('Q9NRR5', 'Q92519')"
"('P18077', 'P62424')"
"('Q9NYS0', 'Q9HAU4')"
"('P05015', 'P26951')"
"('Q14197', 'Q9BU61')"
"('P80098', 'P32248')"
"('O75925', 'Q13426')"
"('P48039', 'O95292')"
"('P41182', 'O15519')"
"('P31749', 'P22736')"
"('P13805', 'P13725')"
"('P61962', 'Q13627')"
"('P35227', 'Q99496')"
"('P01137', 'O75030')"
"('P24941', 'O75365')"
"('Q01814', 'Q96RT1')"
"('P30153', 'P27361')"
"('Q01094', 'O14727')"
"('Q96CS2', 'Q99871')"
"('P09341', 'P49682')"
"('P30305', 'P31946')"
"('P07910', 'Q9Y4K3')"
"('O75376', 'Q9UKV0')"
"('Q16543', 'Q9Y243')"
"('Q86TJ2', 'O75528')"
"('Q9BVA1', 'Q9HD67')"
"('P37231', 'Q9BX66')"
"('O75530', 'Q96RS0')"
"('P08865', 'P45973')"
"('P12270', 'Q9Y6R4')"
"('P49321', 'P23508')"
"('P13501', 'Q92985')"
"('P30153', 'Q13136')"
"('P51817', 'Q9UGJ0')"
"('P62993', 'P78527')"
"('O95996', 'P35222')"
"('Q6WCQ1', 'P80723')"
"('O60684', 'Q02252')"
"('P62158', 'Q9H2S1')"
"('Q9UBD5', 'P25205')"
"('P32242', 'Q9BQ66')"
"('P17858', 'P08237')"
"('O75038', 'P14314')"
"('P62899', 'Q13573')"
"('Q92734', 'Q8N8V2')"
"('406952', 'Q01094')"
"('P52630', 'Q01628')"
"('P22061', 'O43353')"
"('P22694', 'P54619')"
"('P98082', 'P37173')"
"('Q9H9A7', 'Q13472')"
"('Q9Y2Q3', 'Q7Z4Q2')"
"('Q9UBU8', 'Q9Y605')"
"('Q13023', 'P00519')"
"('P35222', 'P20823')"
"('Q96JH8', 'P51946')"
"('Q86YH6', 'P19174')"
"('Q9BSJ2', 'Q99996')"
"('P51610', 'Q92560')"
"('P11142', 'Q96EY1')"
"('Q8NCM8', 'Q9BQE3')"
"('Q99459', 'O43683')"
"('P25054', 'Q01082')"
"('Q8NC51', 'O15264')"
"('Q5VTY9', 'P10275')"
"('Q96DB2', 'Q9BTM1')"
"('P17535', 'P35354')"
"('Q01094', 'P01106')"
"('Q969T4', 'Q96G75')"
"('P28340', 'Q9H2G2')"
"('P60953', 'Q8N264')"
"('Q15262', 'P22681')"
"('P24592', 'P01344')"
"('Q155Q3', 'Q92997')"
"('Q04206', 'Q8N6T7')"
"('P06729', 'P09326')"
"('Q96SN8', 'Q9HC62')"
"('Q02413', 'Q9Y265')"
"('P35268', 'P49207')"
"('494324', 'P63104')"
"('P39023', 'P62993')"
"('P50613', 'P20248')"
"('Q99829', 'Q6W2J9')"
"('P01308', 'Q92569')"
"('O00762', 'Q86Y01')"
"('Q15642', 'P23528')"
"('P62330', 'P33176')"
"('P56750', 'O95471')"
"('P01574', 'P48357')"
