#tail	head	KSP index	path cost
P46531	Q86Y01	1	7.50000e-01
P46531	P19838	2	7.50000e-01
P46531	P25490	3	7.50000e-01
P46531	P84022	4	7.50000e-01
P46531	Q06330	5	7.50000e-01
P46531	Q06413	6	7.50000e-01
P46531	Q09472	7	7.50000e-01
P46531	Q13573	8	7.50000e-01
P46531	Q15797	9	7.50000e-01
P46531	Q92585	10	7.50000e-01
P46531	Q96JK9	11	7.50000e-01
P46531	Q9UJU2	12	7.50000e-01
Q04721	Q06330	13	7.50000e-01
Q04721	Q92585	14	7.50000e-01
Q04721	Q96JK9	15	7.50000e-01
Q99466	Q06330	16	7.50000e-01
Q99466	Q92585	17	7.50000e-01
Q99466	Q96JK9	18	7.50000e-01
Q9UM47	Q06330	19	7.50000e-01
Q9UM47	Q13573	20	7.50000e-01
Q9UM47	Q92585	21	7.50000e-01
Q9UM47	Q96JK9	22	7.50000e-01
Q04721	Q15797	23	7.17303e-01
P46531	O00459	24	5.62500e-01
O00459	P40763	24	5.62500e-01
P46531	P27986	25	5.62500e-01
P27986	P40763	25	5.62500e-01
P27986	Q96T58	26	5.62500e-01
P46531	Q04864	27	5.62500e-01
Q04864	P19838	27	5.62500e-01
P46531	Q8IZL2	28	5.62500e-01
Q8IZL2	Q06330	28	5.62500e-01
Q92831	P84022	29	5.62500e-01
P46531	Q92831	29	5.62500e-01
Q92831	Q09472	30	5.62500e-01
Q92831	Q15797	31	5.62500e-01
P46531	Q96J02	32	5.62500e-01
Q96J02	Q86Y01	32	5.62500e-01
Q04721	P49841	33	5.62500e-01
P49841	P19838	33	5.62500e-01
Q04721	Q8IZL2	34	5.62500e-01
Q99466	Q8IZL2	35	5.62500e-01
Q9UM47	P00519	36	5.62500e-01
P00519	Q09472	36	5.62500e-01
Q9UM47	Q8IZL2	37	5.62500e-01
Q9UM47	Q92831	38	5.62500e-01
Q9UM47	P16333	39	5.62500e-01
P16333	Q96T58	39	5.62500e-01
Q99466	P84022	42	5.43131e-01
Q04721	Q86Y01	43	5.36564e-01
Q99466	Q86Y01	44	5.36564e-01
Q9UM47	Q86Y01	45	5.36564e-01
P46531	P12956	46	5.14524e-01
P12956	P84022	46	5.14524e-01
P46531	Q14469	47	4.26525e-01
P46531	Q5TA89	48	4.26525e-01
Q04721	Q06413	49	4.26525e-01
O00459	P14778	50	4.21875e-01
P14778	P19838	50	4.21875e-01
P31749	P19838	51	4.21875e-01
O00459	P31749	51	4.21875e-01
P31749	Q09472	52	4.21875e-01
O00459	P31751	53	4.21875e-01
P31751	P19838	53	4.21875e-01
O00459	O00329	54	4.21875e-01
O00329	P40763	54	4.21875e-01
P00533	P40763	55	4.21875e-01
O00459	P00533	55	4.21875e-01
O00459	P27986	56	4.21875e-01
O00459	P42229	58	4.21875e-01
P42229	P40763	58	4.21875e-01
O00459	P42336	59	4.21875e-01
P42336	P40763	59	4.21875e-01
O00459	P42338	60	4.21875e-01
P42338	P40763	60	4.21875e-01
O00459	P42345	61	4.21875e-01
P42345	P40763	61	4.21875e-01
P48357	P40763	62	4.21875e-01
O00459	P48357	62	4.21875e-01
P48736	P40763	63	4.21875e-01
O00459	P48736	63	4.21875e-01
O00459	P49841	64	4.21875e-01
P63000	P40763	65	4.21875e-01
O00459	P63000	65	4.21875e-01
O00459	O15530	66	4.21875e-01
O15530	P84022	66	4.21875e-01
P36897	P84022	67	4.21875e-01
O00459	P36897	67	4.21875e-01
O00459	P37173	68	4.21875e-01
P37173	P84022	68	4.21875e-01
P62993	P84022	69	4.21875e-01
O00459	P62993	69	4.21875e-01
P62993	Q96T58	70	4.21875e-01
O00459	Q06124	71	4.21875e-01
Q06124	P40763	71	4.21875e-01
Q92569	P40763	72	4.21875e-01
O00459	Q92569	72	4.21875e-01
P19174	Q96T58	73	4.21875e-01
O00459	P19174	73	4.21875e-01
Q9Y243	P19838	74	4.21875e-01
O00459	Q9Y243	74	4.21875e-01
Q9Y4K3	P19838	75	4.21875e-01
O00459	Q9Y4K3	75	4.21875e-01
Q9Y6Q6	P19838	76	4.21875e-01
O00459	Q9Y6Q6	76	4.21875e-01
P46531	P06239	77	4.21875e-01
P06239	P07900	77	4.21875e-01
P07900	P19838	77	4.21875e-01
P07900	P40763	78	4.21875e-01
P20749	P19838	79	4.21875e-01
P06239	P20749	79	4.21875e-01
P28482	P15923	80	4.21875e-01
P06239	P28482	80	4.21875e-01
P06239	O00329	81	4.21875e-01
P06239	O00459	82	4.21875e-01
P14784	P40763	83	4.21875e-01
P06239	P14784	83	4.21875e-01
P06239	P27986	84	4.21875e-01
P28482	P19838	86	4.21875e-01
P28482	P40763	87	4.21875e-01
P28482	P84022	88	4.21875e-01
P28482	Q15797	89	4.21875e-01
P06239	P42336	90	4.21875e-01
P06239	P42338	91	4.21875e-01
P06239	P48736	92	4.21875e-01
P06239	Q07666	93	4.21875e-01
Q07666	P40763	93	4.21875e-01
P06239	Q13501	94	4.21875e-01
Q13501	P84022	94	4.21875e-01
Q13501	Q15797	95	4.21875e-01
P06239	Q14289	96	4.21875e-01
Q14289	P40763	96	4.21875e-01
P06239	P0CG48	97	4.21875e-01
P0CG48	Q86Y01	97	4.21875e-01
P06239	Q92569	98	4.21875e-01
P27986	P03372	99	4.21875e-01
P03372	P19838	99	4.21875e-01
P03372	P40763	100	4.21875e-01
P03372	P84022	101	4.21875e-01
P03372	Q09472	102	4.21875e-01
P03372	Q13547	103	4.21875e-01
P27986	P14778	104	4.21875e-01
P25963	P19838	105	4.21875e-01
P27986	P25963	105	4.21875e-01
P25963	Q13547	106	4.21875e-01
P25963	Q9Y618	107	4.21875e-01
P27986	P31749	108	4.21875e-01
P27986	P31751	110	4.21875e-01
P27986	O00329	111	4.21875e-01
P27986	O00459	112	4.21875e-01
P27986	P00533	113	4.21875e-01
P16473	P40763	114	4.21875e-01
P27986	P16473	114	4.21875e-01
P27986	P16871	115	4.21875e-01
P16871	P40763	115	4.21875e-01
P27986	P42229	116	4.21875e-01
P27986	P42336	117	4.21875e-01
P27986	P42338	118	4.21875e-01
P27986	P42345	119	4.21875e-01
P27986	P48357	120	4.21875e-01
P27986	P48736	121	4.21875e-01
P27986	P49841	122	4.21875e-01
P27986	P63000	123	4.21875e-01
P27986	O15530	124	4.21875e-01
O75593	P84022	125	4.21875e-01
P27986	O75593	125	4.21875e-01
P30260	P84022	126	4.21875e-01
P27986	P30260	126	4.21875e-01
P27986	P36897	127	4.21875e-01
P27986	P37173	128	4.21875e-01
P38398	P84022	129	4.21875e-01
P27986	P38398	129	4.21875e-01
P38398	Q09472	130	4.21875e-01
P27986	P62993	131	4.21875e-01
P27986	P98082	133	4.21875e-01
P98082	P84022	133	4.21875e-01
P27986	Q06124	134	4.21875e-01
P27986	Q07666	135	4.21875e-01
P27986	P00519	136	4.21875e-01
P27986	P47928	137	4.21875e-01
P47928	Q14469	137	4.21875e-01
P27986	Q92569	138	4.21875e-01
P27986	P19174	139	4.21875e-01
P27986	Q9Y243	140	4.21875e-01
P27986	Q9Y4K3	141	4.21875e-01
P27986	Q9Y6Q6	142	4.21875e-01
P46531	P98170	143	4.21875e-01
P98170	O43353	143	4.21875e-01
O43353	P19838	143	4.21875e-01
P98170	P04049	144	4.21875e-01
P04049	P19838	144	4.21875e-01
P98170	P61077	145	4.21875e-01
P61077	P19838	145	4.21875e-01
