#tail	head	KSP index	path cost
Q9Y6Q6	Q14192	1	7.50000e-01
O43318	O14920	2	5.62500e-01
Q9Y6Q6	O43318	2	5.62500e-01
O43318	P25963	3	5.62500e-01
O43318	Q9Y6K9	4	5.62500e-01
P12931	O14920	5	5.62500e-01
Q9Y6Q6	P12931	5	5.62500e-01
P12931	P00519	6	5.62500e-01
P12931	P25963	7	5.62500e-01
P19838	P05412	8	5.62500e-01
Q9Y6Q6	P19838	8	5.62500e-01
P19838	P15336	9	5.62500e-01
P19838	P25963	10	5.62500e-01
P27986	P00519	11	5.62500e-01
Q9Y6Q6	P27986	11	5.62500e-01
P27986	P25963	12	5.62500e-01
Q04206	O95644	13	5.62500e-01
Q9Y6Q6	Q04206	13	5.62500e-01
Q04206	P15336	14	5.62500e-01
Q04206	P25963	15	5.62500e-01
Q12933	O14920	16	5.62500e-01
Q9Y6Q6	Q12933	16	5.62500e-01
Q12933	P25963	17	5.62500e-01
Q12933	Q9Y6K9	18	5.62500e-01
Q13077	O14920	19	5.62500e-01
Q9Y6Q6	Q13077	19	5.62500e-01
Q13077	Q9Y6K9	20	5.62500e-01
Q15750	O14920	21	5.62500e-01
Q9Y6Q6	Q15750	21	5.62500e-01
Q15750	P25963	22	5.62500e-01
Q15750	Q9Y6K9	23	5.62500e-01
Q9NYJ8	O14920	24	5.62500e-01
Q9Y6Q6	Q9NYJ8	24	5.62500e-01
Q9NYJ8	P25963	25	5.62500e-01
Q9NYJ8	Q9Y6K9	26	5.62500e-01
Q9Y4K3	O14920	27	5.62500e-01
Q9Y6Q6	Q9Y4K3	27	5.62500e-01
O00463	Q9Y6K9	28	5.62500e-01
Q9Y6Q6	O00463	28	5.62500e-01
Q13114	Q9Y6K9	29	5.62500e-01
Q9Y6Q6	Q13114	29	5.62500e-01
Q9Y4K3	Q01196	30	5.62500e-01
Q9Y4K3	Q9Y6K9	31	5.62500e-01
O15530	O14920	32	4.21875e-01
Q9Y6Q6	O00459	32	4.21875e-01
O00459	O15530	32	4.21875e-01
P00533	P00519	33	4.21875e-01
O00459	P00533	33	4.21875e-01
P19174	P00519	34	4.21875e-01
O00459	P19174	34	4.21875e-01
P0CG47	P25963	35	4.21875e-01
O00459	P0CG47	35	4.21875e-01
P0CG47	Q9Y6K9	36	4.21875e-01
O00459	P27986	37	4.21875e-01
P31749	O14920	39	4.21875e-01
O00459	P31749	39	4.21875e-01
P31749	P05412	40	4.21875e-01
P31749	P15336	41	4.21875e-01
P31749	P25963	42	4.21875e-01
P31749	Q9Y6K9	43	4.21875e-01
P31751	O14920	44	4.21875e-01
O00459	P31751	44	4.21875e-01
P31751	P05412	45	4.21875e-01
P31751	P15336	46	4.21875e-01
P31751	P25963	47	4.21875e-01
P31751	Q9Y6K9	48	4.21875e-01
P31946	O14920	49	4.21875e-01
O00459	P31946	49	4.21875e-01
P31946	P00519	50	4.21875e-01
P40763	P05412	51	4.21875e-01
O00459	P40763	51	4.21875e-01
P49841	O95644	52	4.21875e-01
O00459	P49841	52	4.21875e-01
P50570	P00519	53	4.21875e-01
O00459	P50570	53	4.21875e-01
P63104	O95644	54	4.21875e-01
O00459	P63104	54	4.21875e-01
P63104	P00519	55	4.21875e-01
P63104	Q9Y6K9	56	4.21875e-01
Q07890	P00519	57	4.21875e-01
O00459	Q07890	57	4.21875e-01
Q99704	P00519	58	4.21875e-01
O00459	Q99704	58	4.21875e-01
Q9Y243	O14920	59	4.21875e-01
O00459	Q9Y243	59	4.21875e-01
Q9Y243	P05412	60	4.21875e-01
Q9Y243	P15336	61	4.21875e-01
Q9Y243	P25963	62	4.21875e-01
Q9Y243	Q9Y6K9	63	4.21875e-01
O00459	Q9Y4K3	64	4.21875e-01
O00463	O43318	67	4.21875e-01
O00463	P27986	70	4.21875e-01
P45983	O95644	72	4.21875e-01
O00463	P45983	72	4.21875e-01
P45983	P05412	73	4.21875e-01
P45983	P15336	74	4.21875e-01
P45984	O95644	75	4.21875e-01
O00463	P45984	75	4.21875e-01
P45984	P05412	76	4.21875e-01
P45984	P15336	77	4.21875e-01
P53779	O95644	78	4.21875e-01
O00463	P53779	78	4.21875e-01
P53779	P05412	79	4.21875e-01
P53779	P15336	80	4.21875e-01
O00463	Q12933	81	4.21875e-01
Q7Z434	O14920	84	4.21875e-01
O00463	Q7Z434	84	4.21875e-01
Q7Z434	P00519	85	4.21875e-01
Q7Z434	Q9Y6K9	86	4.21875e-01
Q99558	O14920	87	4.21875e-01
O00463	Q99558	87	4.21875e-01
O00463	Q13114	88	4.21875e-01
Q99558	Q9Y6K9	89	4.21875e-01
O15111	O14920	90	4.21875e-01
O43318	O15111	90	4.21875e-01
O15111	P25963	91	4.21875e-01
O15111	Q9Y6K9	92	4.21875e-01
O95163	O14920	93	4.21875e-01
O43318	O95163	93	4.21875e-01
O43318	O15264	94	4.21875e-01
O15264	O95644	94	4.21875e-01
O15264	P05412	95	4.21875e-01
O15264	P15336	96	4.21875e-01
O95163	P25963	97	4.21875e-01
O43318	P07900	98	4.21875e-01
P07900	O14920	98	4.21875e-01
P07900	Q9Y6K9	99	4.21875e-01
P08238	O14920	100	4.21875e-01
O43318	P08238	100	4.21875e-01
P08238	Q9Y6K9	101	4.21875e-01
O43318	P0CG48	102	4.21875e-01
P0CG48	P05412	102	4.21875e-01
P0CG48	P25963	103	4.21875e-01
P0CG48	Q9Y6K9	104	4.21875e-01
O43318	P19838	105	4.21875e-01
P27361	O75030	108	4.21875e-01
O43318	P27361	108	4.21875e-01
P27361	P05412	109	4.21875e-01
P27361	P15336	110	4.21875e-01
P28482	O75030	111	4.21875e-01
O43318	P28482	111	4.21875e-01
P28482	P05412	112	4.21875e-01
P28482	P15336	113	4.21875e-01
O43318	P40763	114	4.21875e-01
O43318	P45983	115	4.21875e-01
O43318	P45984	118	4.21875e-01
P53778	O95644	121	4.21875e-01
O43318	P53778	121	4.21875e-01
P53778	P05412	122	4.21875e-01
P53778	P15336	123	4.21875e-01
O43318	P53779	124	4.21875e-01
O43318	Q04206	127	4.21875e-01
O43318	Q15653	130	4.21875e-01
Q15653	P25963	130	4.21875e-01
O43318	Q15750	131	4.21875e-01
Q15759	O95644	134	4.21875e-01
O43318	Q15759	134	4.21875e-01
Q15759	P05412	135	4.21875e-01
Q15759	P15336	136	4.21875e-01
O43318	Q16539	137	4.21875e-01
Q16539	O75030	137	4.21875e-01
Q16539	O95644	138	4.21875e-01
Q16539	P05412	139	4.21875e-01
Q16539	P15336	140	4.21875e-01
Q16543	O14920	141	4.21875e-01
O43318	Q16543	141	4.21875e-01
Q16543	Q9Y6K9	142	4.21875e-01
O43318	Q92918	143	4.21875e-01
Q92918	O14920	143	4.21875e-01
Q92918	P00519	144	4.21875e-01
O43318	Q99558	145	4.21875e-01
Q99759	O14920	147	4.21875e-01
O43318	Q99759	147	4.21875e-01
Q99759	P25963	148	4.21875e-01
Q99759	Q9Y6K9	149	4.21875e-01
O43318	Q9NYJ8	150	4.21875e-01
O43318	O95999	151	4.21875e-01
O95999	Q9Y6K9	151	4.21875e-01
O43318	Q9BXL7	152	4.21875e-01
Q9BXL7	Q9Y6K9	152	4.21875e-01
O43318	Q9UDY8	155	4.21875e-01
Q9UDY8	Q9Y6K9	155	4.21875e-01
Q9Y6Q6	O75015	156	4.21875e-01
O75015	O15264	156	4.21875e-01
P05771	O14920	159	4.21875e-01
O75015	P05771	159	4.21875e-01
O75015	P53778	160	4.21875e-01
O75015	Q15759	163	4.21875e-01
O75015	Q16539	166	4.21875e-01
P07948	P00533	170	4.21875e-01
Q9Y6Q6	P07948	170	4.21875e-01
P07948	P19174	171	4.21875e-01
P07948	P27361	172	4.21875e-01
P07948	P27986	175	4.21875e-01
P07948	P50570	177	4.21875e-01
Q13444	P00519	178	4.21875e-01
P07948	Q13444	178	4.21875e-01
P05556	Q14192	179	4.21875e-01
P07948	P05556	179	4.21875e-01
P07948	Q99704	180	4.21875e-01
P07948	Q99759	181	4.21875e-01
P08637	O15264	184	4.21875e-01
Q9Y6Q6	P08637	184	4.21875e-01
P08637	P05771	187	4.21875e-01
P08637	P46108	188	4.21875e-01
P46108	P00519	188	4.21875e-01
P46109	P00519	189	4.21875e-01
P08637	P46109	189	4.21875e-01
P08637	P53778	190	4.21875e-01
P08637	Q15759	193	4.21875e-01
P08637	Q16539	196	4.21875e-01
Q9Y6Q6	P12314	200	4.21875e-01
P12314	O15264	200	4.21875e-01
P12314	P05771	203	4.21875e-01
P12314	P46108	204	4.21875e-01
P12314	P46109	205	4.21875e-01
P12314	P53778	206	4.21875e-01
P12314	Q15759	209	4.21875e-01
P12314	Q16539	212	4.21875e-01
P12318	O15264	216	4.21875e-01
Q9Y6Q6	P12318	216	4.21875e-01
P12318	P05771	219	4.21875e-01
P12318	P27986	220	4.21875e-01
P12318	P46108	222	4.21875e-01
P12318	P46109	223	4.21875e-01
P12318	P53778	224	4.21875e-01
P12318	Q15759	227	4.21875e-01
P12318	Q16539	230	4.21875e-01
P12931	O15111	234	4.21875e-01
O15360	O14920	237	4.21875e-01
P12931	O15360	237	4.21875e-01
P12931	O00254	238	4.21875e-01
O00254	P00519	238	4.21875e-01
P12931	O14490	239	4.21875e-01
O14490	P00519	239	4.21875e-01
O15360	P51532	240	4.21875e-01
O43281	P00519	241	4.21875e-01
P12931	O43281	241	4.21875e-01
P12931	O43900	242	4.21875e-01
O43900	P00519	242	4.21875e-01
P12931	O43918	243	4.21875e-01
O43918	P00519	243	4.21875e-01
P12931	O60493	244	4.21875e-01
O60493	P00519	244	4.21875e-01
O95157	P00519	245	4.21875e-01
P12931	O95157	245	4.21875e-01
P12931	O95886	246	4.21875e-01
O95886	P00519	246	4.21875e-01
P12931	P00533	247	4.21875e-01
P12931	P06241	248	4.21875e-01
P06241	P00519	248	4.21875e-01
P12931	P07900	249	4.21875e-01
P12931	P08047	251	4.21875e-01
P08047	P00519	251	4.21875e-01
P08047	P05412	252	4.21875e-01
P12931	P0CG48	253	4.21875e-01
P10275	P05412	256	4.21875e-01
P12931	P10275	256	4.21875e-01
P10275	P15336	257	4.21875e-01
P10275	Q01196	258	4.21875e-01
P10275	Q14192	259	4.21875e-01
P12931	P15586	260	4.21875e-01
P15586	P00519	260	4.21875e-01
P15941	P00519	261	4.21875e-01
P12931	P15941	261	4.21875e-01
P15941	Q9Y6K9	262	4.21875e-01
P18031	P00519	263	4.21875e-01
P12931	P18031	263	4.21875e-01
P18031	P25963	264	4.21875e-01
P12931	P19174	265	4.21875e-01
P12931	P20774	266	4.21875e-01
P20774	P00519	266	4.21875e-01
P20810	P00519	267	4.21875e-01
P12931	P20810	267	4.21875e-01
