#tail	head	KSP index	path cost
P16473	Q9Y2W7	1	7.50000e-01
P16473	P40763	2	7.50000e-01
P18031	P25963	3	5.62500e-01
P08069	P18031	3	5.62500e-01
P18031	P40763	4	5.62500e-01
P27361	P15336	5	5.62500e-01
P08069	P27361	5	5.62500e-01
P27361	P40763	6	5.62500e-01
P27986	P25963	7	5.62500e-01
P08069	P27986	7	5.62500e-01
P27986	P40763	8	5.62500e-01
P08069	P28482	9	5.62500e-01
P28482	P15336	9	5.62500e-01
P08069	O00329	10	5.62500e-01
O00329	P40763	10	5.62500e-01
P08069	O00459	11	5.62500e-01
O00459	P40763	11	5.62500e-01
P08069	O14508	12	5.62500e-01
O14508	P40763	12	5.62500e-01
P08069	O14543	13	5.62500e-01
O14543	P40763	13	5.62500e-01
P28482	P40763	14	5.62500e-01
P08069	P42336	15	5.62500e-01
P42336	P40763	15	5.62500e-01
P08069	P42338	16	5.62500e-01
P42338	P40763	16	5.62500e-01
P08069	P48357	17	5.62500e-01
P48357	P40763	17	5.62500e-01
P08069	P48736	18	5.62500e-01
P48736	P40763	18	5.62500e-01
P08069	P63244	19	5.62500e-01
P63244	P40763	19	5.62500e-01
P08069	Q06124	20	5.62500e-01
Q06124	P40763	20	5.62500e-01
P08069	Q92569	21	5.62500e-01
Q92569	P40763	21	5.62500e-01
P16473	P11021	22	5.62500e-01
P11021	P25963	22	5.62500e-01
P11021	Q15653	23	5.62500e-01
P16473	P27986	24	5.62500e-01
P16473	O60674	25	5.62500e-01
O60674	P40763	25	5.62500e-01
P16473	P23458	26	5.62500e-01
P23458	P40763	26	5.62500e-01
P08069	P40763	28	5.43131e-01
P08069	Q05655	29	4.93812e-01
Q05655	P40763	29	4.93812e-01
O00329	P27986	30	4.21875e-01
P31749	P15336	32	4.21875e-01
O00329	P31749	32	4.21875e-01
P31749	P25963	33	4.21875e-01
P31749	Q15653	34	4.21875e-01
O00329	P31751	35	4.21875e-01
P31751	P15336	35	4.21875e-01
O00329	O00459	36	4.21875e-01
P00533	P40763	37	4.21875e-01
O00329	P00533	37	4.21875e-01
P31751	P25963	38	4.21875e-01
P31751	Q15653	39	4.21875e-01
O00329	P42336	40	4.21875e-01
O00329	P42338	41	4.21875e-01
P42345	P40763	42	4.21875e-01
O00329	P42345	42	4.21875e-01
O00329	P48736	43	4.21875e-01
P63000	P40763	44	4.21875e-01
O00329	P63000	44	4.21875e-01
O00329	Q92569	45	4.21875e-01
Q9Y243	P15336	46	4.21875e-01
O00329	Q9Y243	46	4.21875e-01
Q9Y243	P25963	47	4.21875e-01
Q9Y243	Q15653	48	4.21875e-01
P0CG47	P25963	49	4.21875e-01
O00459	P0CG47	49	4.21875e-01
O00459	P27986	50	4.21875e-01
O00459	P31749	52	4.21875e-01
O00459	P31751	55	4.21875e-01
O00459	O00329	56	4.21875e-01
O00459	P00533	57	4.21875e-01
O00459	P42229	60	4.21875e-01
P42229	P40763	60	4.21875e-01
O00459	P42336	61	4.21875e-01
O00459	P42338	62	4.21875e-01
O00459	P42345	63	4.21875e-01
O00459	P48357	64	4.21875e-01
O00459	P48736	65	4.21875e-01
O00459	P63000	66	4.21875e-01
O00459	Q06124	67	4.21875e-01
O00459	Q92569	68	4.21875e-01
O00459	Q9Y243	69	4.21875e-01
O14508	O14543	72	4.21875e-01
O14508	O60674	73	4.21875e-01
P08887	P40763	74	4.21875e-01
O14508	P08887	74	4.21875e-01
O14508	P14784	75	4.21875e-01
P14784	P40763	75	4.21875e-01
O14508	P16871	76	4.21875e-01
P16871	P40763	76	4.21875e-01
O14508	P17181	77	4.21875e-01
P17181	P40763	77	4.21875e-01
O14508	P23458	78	4.21875e-01
P29597	P40763	79	4.21875e-01
O14508	P29597	79	4.21875e-01
O14508	P40189	80	4.21875e-01
P40189	P40763	80	4.21875e-01
O14508	P42224	81	4.21875e-01
P42224	P40763	81	4.21875e-01
O14508	P42229	82	4.21875e-01
O14508	P48357	83	4.21875e-01
O14508	P51692	84	4.21875e-01
P51692	P40763	84	4.21875e-01
P52333	P40763	85	4.21875e-01
O14508	P52333	85	4.21875e-01
O14508	Q99062	86	4.21875e-01
Q99062	P40763	86	4.21875e-01
O14543	O14508	87	4.21875e-01
O14543	O60674	88	4.21875e-01
O14543	P00533	89	4.21875e-01
O14543	P08887	90	4.21875e-01
O14543	P14784	91	4.21875e-01
O14543	P16871	92	4.21875e-01
O14543	P17181	93	4.21875e-01
O14543	P23458	94	4.21875e-01
O14543	P29597	95	4.21875e-01
O14543	P40189	96	4.21875e-01
O14543	P42224	97	4.21875e-01
O14543	P42229	98	4.21875e-01
O14543	P48357	99	4.21875e-01
O14543	P51692	100	4.21875e-01
O14543	P52333	101	4.21875e-01
O14543	Q06124	102	4.21875e-01
O14543	Q14186	103	4.21875e-01
Q14186	P06400	103	4.21875e-01
O14543	Q99062	104	4.21875e-01
P04049	P06400	105	4.21875e-01
P08069	P01116	105	4.21875e-01
P01116	P04049	105	4.21875e-01
P01116	P15056	106	4.21875e-01
P15056	P06400	106	4.21875e-01
O15264	P15336	107	4.21875e-01
P01116	O15264	107	4.21875e-01
P01116	P27361	108	4.21875e-01
