#tail	head	KSP index	path cost
O43508	Q9NP84	1	3.16406e-01
Q9NP84	Q13077	1	3.16406e-01
Q13077	Q00653	1	3.16406e-01
Q93038	O43508	1	3.16406e-01
P11142	Q00653	2	2.37305e-01
O43508	Q8N302	2	2.37305e-01
Q15428	P11142	2	2.37305e-01
Q8N302	Q15428	2	2.37305e-01
P11142	Q01201	3	2.37305e-01
Q15428	Q08211	4	2.37305e-01
Q08211	Q00653	4	2.37305e-01
Q15428	Q12905	5	2.37305e-01
Q12905	Q00653	5	2.37305e-01
Q15428	Q15029	6	2.37305e-01
Q15029	Q00653	6	2.37305e-01
Q6P2Q9	Q00653	7	2.37305e-01
Q15428	Q6P2Q9	7	2.37305e-01
Q8N163	Q00653	8	2.37305e-01
Q15428	Q8N163	8	2.37305e-01
Q8N163	Q01201	9	2.37305e-01
P63000	P46940	10	2.37305e-01
P46940	Q00653	10	2.37305e-01
Q9NP84	P63000	10	2.37305e-01
Q9NP84	O00463	11	2.37305e-01
O00463	O43318	11	2.37305e-01
O43318	Q04206	11	2.37305e-01
P45983	Q04206	12	2.37305e-01
O00463	P45983	12	2.37305e-01
P45984	Q04206	13	2.37305e-01
O00463	P45984	13	2.37305e-01
P53779	Q04206	14	2.37305e-01
O00463	P53779	14	2.37305e-01
Q7Z434	Q04206	15	2.37305e-01
O00463	Q7Z434	15	2.37305e-01
Q99558	Q00653	16	2.37305e-01
O00463	Q99558	16	2.37305e-01
Q99558	Q04206	17	2.37305e-01
Q9Y6K9	Q00653	18	2.37305e-01
O00463	Q9Y6K9	18	2.37305e-01
Q9Y6K9	Q04206	19	2.37305e-01
Q9Y6Q6	Q04206	20	2.37305e-01
O00463	Q9Y6Q6	20	2.37305e-01
P63000	P63261	21	2.37305e-01
P63261	Q01201	21	2.37305e-01
P63000	O15264	22	2.37305e-01
O15264	Q04206	22	2.37305e-01
P63000	P27361	23	2.37305e-01
P27361	Q04206	23	2.37305e-01
P63000	P28482	24	2.37305e-01
P28482	Q04206	24	2.37305e-01
P63000	P40763	25	2.37305e-01
P40763	Q04206	25	2.37305e-01
P40763	Q13547	26	2.37305e-01
P63000	P45983	27	2.37305e-01
P63000	P45984	28	2.37305e-01
P63000	P53778	29	2.37305e-01
P53778	Q04206	29	2.37305e-01
P63000	P53779	30	2.37305e-01
P63000	Q05513	31	2.37305e-01
Q05513	Q04206	31	2.37305e-01
P63000	Q13233	32	2.37305e-01
Q13233	Q04206	32	2.37305e-01
P63000	Q13576	33	2.37305e-01
