negatives
"('Q8IZE3', 'Q86X19')"
"('Q9UPQ8', 'Q16322')"
"('Q9H0R8', 'Q13618')"
"('Q9BQY4', 'P54259')"
"('O14654', 'Q9ULX6')"
"('Q8IYD8', 'Q9H8V3')"
"('O00567', 'P67809')"
"('Q5T3J3', 'Q99689')"
"('P07306', 'Q86TM6')"
"('P25440', 'P68400')"
"('P25098', 'P20941')"
"('Q9H0W5', 'Q6Y7W6')"
"('Q9BRA2', 'P45974')"
"('Q9UPN9', 'P35249')"
"('Q04759', 'P11234')"
"('Q8N7H5', 'Q14676')"
"('A4D161', 'Q9Y5X3')"
"('P60409', 'Q6P158')"
"('P56537', 'O00291')"
"('Q15399', 'P10809')"
"('P61254', 'P18124')"
"('P17844', 'Q13618')"
"('O15111', 'P34932')"
"('Q15468', 'Q9H3U1')"
"('Q15612', 'P62873')"
"('P62258', 'Q5U5Q3')"
"('P46087', 'Q86VP6')"
"('Q8TBB1', 'P21580')"
"('P26371', 'P60370')"
"('P18124', 'P60484')"
"('P68431', 'P05783')"
"('P61604', 'P37837')"
"('Q92905', 'Q9UKB1')"
"('Q9Y6I7', 'Q92813')"
"('O14980', 'Q96RF0')"
"('O95486', 'O00429')"
"('P35221', 'P05062')"
"('Q9BVJ6', 'O60832')"
"('Q13185', 'Q14839')"
"('Q9BZZ5', 'Q15717')"
"('P68431', 'P60033')"
"('Q09472', 'P63279')"
"('P61160', 'O15145')"
"('Q15910', 'Q8WUM4')"
"('O14602', 'P55884')"
"('Q8N6D5', 'P35612')"
"('Q13247', 'P27348')"
"('Q8TF50', 'O75379')"
"('Q15427', 'P42765')"
"('Q9NRM7', 'Q6ZU80')"
"('P03372', 'P62875')"
"('O14879', 'P05161')"
"('Q96GE6', 'P40145')"
"('P30041', 'P30044')"
"('P30153', 'Q16537')"
"('O60341', 'Q5R372')"
"('Q05639', 'Q13043')"
"('P56134', 'O95159')"
"('O75175', 'Q8NDV7')"
"('P39210', 'Q9H9J2')"
"('Q99759', 'Q92600')"
"('Q92665', 'P05412')"
"('P61086', 'Q15631')"
"('P56975', 'Q8IUQ4')"
"('P30536', 'Q9NZ45')"
"('O96019', 'Q92785')"
"('O96028', 'P12004')"
"('P50542', 'P35579')"
"('Q96HU8', 'P01106')"
"('P00533', 'Q9UG63')"
"('P35637', 'Q15022')"
"('Q9BTZ2', 'Q08426')"
"('P12004', 'O43143')"
"('Q14160', 'Q8IY92')"
"('P62333', 'Q92560')"
"('Q00005', 'Q8IZS8')"
"('P08887', 'P10070')"
"('O60885', 'Q9NPF5')"
"('P48443', 'P10276')"
"('Q96H55', 'P19105')"
"('P35232', 'Q15022')"
"('O95166', 'P62316')"
"('Q9H5V9', 'Q9BWF3')"
"('Q96CS2', 'P08727')"
"('P07602', 'Q9UBQ0')"
"('Q92905', 'O76021')"
"('O43815', 'Q5VSL9')"
"('P11142', 'Q9NZ01')"
"('Q96HS1', 'Q13620')"
