#tail	head	KSP index	path cost
P00533	P68104	1	7.50000e-01
P00533	P01100	2	7.50000e-01
P00533	P40763	3	7.50000e-01
P00533	P42224	4	7.50000e-01
P00533	P42229	5	7.50000e-01
P00533	P51692	6	7.50000e-01
P00533	Q92625	7	7.50000e-01
P04626	P40763	8	7.50000e-01
P04626	P42224	9	7.50000e-01
P04626	Q92625	10	7.50000e-01
P03372	O94776	11	5.62500e-01
P00533	P03372	11	5.62500e-01
P03372	P01100	12	5.62500e-01
P03372	P01106	13	5.62500e-01
P03372	P05412	14	5.62500e-01
P03372	P08047	15	5.62500e-01
P03372	P17676	16	5.62500e-01
P03372	P19838	17	5.62500e-01
P03372	P40763	18	5.62500e-01
P03372	P42229	19	5.62500e-01
P03372	P84022	20	5.62500e-01
P03372	P98177	21	5.62500e-01
P03372	Q04206	22	5.62500e-01
P03372	Q07666	23	5.62500e-01
P03372	Q12778	24	5.62500e-01
P03372	Q13547	25	5.62500e-01
P03372	Q15796	26	5.62500e-01
P03372	Q16576	27	5.62500e-01
P03372	Q9Y6Q9	28	5.62500e-01
P00533	P04049	29	5.62500e-01
P04049	O14593	29	5.62500e-01
P04049	P01106	30	5.62500e-01
P04049	P68104	31	5.62500e-01
P05067	P01100	32	5.62500e-01
P00533	P05067	32	5.62500e-01
P04150	P05412	33	5.62500e-01
P00533	P04150	33	5.62500e-01
P04150	P16220	34	5.62500e-01
P04150	P17676	35	5.62500e-01
P04150	P19838	36	5.62500e-01
P04150	P40763	37	5.62500e-01
P04150	P51692	38	5.62500e-01
P04150	P84022	39	5.62500e-01
P04150	Q04206	40	5.62500e-01
P04150	Q13547	41	5.62500e-01
P04150	Q9Y6Q9	42	5.62500e-01
P05067	P05412	43	5.62500e-01
P05067	P19419	44	5.62500e-01
P05067	P84022	45	5.62500e-01
P07900	P05412	46	5.62500e-01
P00533	P07900	46	5.62500e-01
P07900	P08047	47	5.62500e-01
P07900	P40763	48	5.62500e-01
P00533	P09874	49	5.62500e-01
P09874	P05412	49	5.62500e-01
P09874	P08047	50	5.62500e-01
P09874	P19838	51	5.62500e-01
P09874	P49715	52	5.62500e-01
P09874	Q04206	53	5.62500e-01
P09874	Q12778	54	5.62500e-01
P09874	Q13547	55	5.62500e-01
P0DMV8	P01100	56	5.62500e-01
P00533	P0DMV8	56	5.62500e-01
P0DMV8	P19838	57	5.62500e-01
P10275	P05412	58	5.62500e-01
P00533	P10275	58	5.62500e-01
P10275	P08047	59	5.62500e-01
P10275	P16220	60	5.62500e-01
P10275	P17535	61	5.62500e-01
P10275	P40763	62	5.62500e-01
P10275	P49715	63	5.62500e-01
P10275	P84022	64	5.62500e-01
P10275	Q12778	65	5.62500e-01
P10275	Q9Y6Q9	66	5.62500e-01
P10275	Q9Y6X2	67	5.62500e-01
P11142	P05412	68	5.62500e-01
P00533	P11142	68	5.62500e-01
P11142	P19838	69	5.62500e-01
P11142	Q04206	70	5.62500e-01
P00533	P11387	71	5.62500e-01
P11387	P01106	71	5.62500e-01
P00533	P12931	72	5.62500e-01
P12931	P08047	72	5.62500e-01
P12931	P40763	73	5.62500e-01
P12931	P42224	74	5.62500e-01
P12931	P42229	75	5.62500e-01
P12931	Q07666	76	5.62500e-01
P12931	Q9Y6Q9	77	5.62500e-01
P16333	P08047	78	5.62500e-01
P00533	P16333	78	5.62500e-01
P16333	Q07666	79	5.62500e-01
P17612	P16220	80	5.62500e-01
P00533	P17612	80	5.62500e-01
P00533	O43707	81	5.62500e-01
O43707	P19838	81	5.62500e-01
