#tail	head	KSP index	path cost
P16871	P42229	1	7.50000e-01
P16871	P40763	2	7.50000e-01
P16871	P51692	3	7.50000e-01
P31785	P42229	4	7.50000e-01
P31785	P40763	5	6.25520e-01
P31785	P51692	6	6.25520e-01
O60674	P40763	7	5.62500e-01
P16871	O60674	7	5.62500e-01
O60674	P42229	8	5.62500e-01
O60674	P51692	9	5.62500e-01
P16871	P06241	10	5.62500e-01
P06241	P40763	10	5.62500e-01
P23458	P40763	11	5.62500e-01
P16871	P23458	11	5.62500e-01
P23458	P42229	12	5.62500e-01
P23458	P51692	13	5.62500e-01
P27986	P40763	14	5.62500e-01
P16871	P27986	14	5.62500e-01
P27986	P42229	15	5.62500e-01
P29597	P40763	16	5.62500e-01
P16871	P29597	16	5.62500e-01
P10721	P42229	17	5.62500e-01
P16871	P10721	17	5.62500e-01
P10721	P51692	18	5.62500e-01
P29597	P42229	19	5.62500e-01
P29597	P51692	20	5.62500e-01
P52333	P40763	21	5.62500e-01
P16871	P52333	21	5.62500e-01
P52333	P42229	22	5.62500e-01
P52333	P51692	23	5.62500e-01
Q04206	P40763	24	5.62500e-01
P16871	Q04206	24	5.62500e-01
Q14289	P40763	25	5.62500e-01
P16871	Q14289	25	5.62500e-01
P31785	O60674	26	5.62500e-01
P14784	P40763	29	5.62500e-01
P31785	P14784	29	5.62500e-01
P14784	P42229	30	5.62500e-01
P14784	P51692	31	5.62500e-01
P31785	P23458	32	5.62500e-01
P31785	P27986	35	5.62500e-01
P31785	P29597	37	5.62500e-01
P31785	P10721	38	5.62500e-01
P31785	P29353	40	5.62500e-01
P29353	P42229	40	5.62500e-01
P31785	P01589	41	5.62500e-01
P01589	P51692	41	5.62500e-01
P31785	P52333	44	5.62500e-01
P10721	P40763	47	4.69140e-01
P42226	P40763	49	4.69140e-01
P31785	P42226	49	4.69140e-01
O00459	P40763	50	4.21875e-01
O60674	O00459	50	4.21875e-01
O00459	P42229	51	4.21875e-01
O14543	P40763	52	4.21875e-01
O60674	O14543	52	4.21875e-01
O14543	P42229	53	4.21875e-01
O14543	P51692	54	4.21875e-01
P03372	P40763	55	4.21875e-01
O60674	P03372	55	4.21875e-01
P03372	P42229	56	4.21875e-01
O60674	P06241	57	4.21875e-01
O60674	P11362	58	4.21875e-01
P11362	P40763	58	4.21875e-01
O60674	P12931	59	4.21875e-01
P12931	P40763	59	4.21875e-01
P12931	P42229	60	4.21875e-01
P16473	P40763	61	4.21875e-01
O60674	P16473	61	4.21875e-01
P18031	P40763	62	4.21875e-01
O60674	P18031	62	4.21875e-01
P18031	P42229	63	4.21875e-01
P18031	P51692	64	4.21875e-01
O60674	P23458	65	4.21875e-01
O60674	P27986	68	4.21875e-01
O60674	P29597	70	4.21875e-01
P40189	P40763	73	4.21875e-01
O60674	P40189	73	4.21875e-01
P42224	P40763	74	4.21875e-01
O60674	P42224	74	4.21875e-01
P42224	P42229	75	4.21875e-01
P42224	P51692	76	4.21875e-01
O60674	P42226	77	4.21875e-01
O60674	P10721	78	4.21875e-01
P16471	P42229	80	4.21875e-01
O60674	P16471	80	4.21875e-01
O60674	P29353	81	4.21875e-01
P38398	P42229	82	4.21875e-01
O60674	P38398	82	4.21875e-01
P42336	P40763	83	4.21875e-01
O60674	P42336	83	4.21875e-01
P48357	P40763	84	4.21875e-01
O60674	P48357	84	4.21875e-01
O60674	P52630	85	4.21875e-01
P52630	P40763	85	4.21875e-01
O60674	P67775	86	4.21875e-01
P67775	P42229	86	4.21875e-01
P67775	P51692	87	4.21875e-01
Q06124	P40763	88	4.21875e-01
