#tail	head	KSP index	path cost
P32927	P42229	1	7.50000e-01
O60674	P40763	2	5.62500e-01
P26951	O60674	2	5.62500e-01
O60674	P42229	3	5.62500e-01
O60674	P51692	4	5.62500e-01
P26951	P06241	5	5.62500e-01
P06241	P40763	5	5.62500e-01
P23458	P40763	6	5.62500e-01
P26951	P23458	6	5.62500e-01
P23458	P42229	7	5.62500e-01
P23458	P51692	8	5.62500e-01
P29597	P40763	9	5.62500e-01
P26951	P29597	9	5.62500e-01
P29597	P42229	10	5.62500e-01
P29597	P51692	11	5.62500e-01
P52333	P40763	12	5.62500e-01
P26951	P52333	12	5.62500e-01
P52333	P42229	13	5.62500e-01
P52333	P51692	14	5.62500e-01
P27986	P19793	15	5.62500e-01
P32927	P27986	15	5.62500e-01
P27986	P40763	16	5.62500e-01
P27986	P42229	17	5.62500e-01
P32927	P29353	18	5.62500e-01
P29353	O43524	18	5.62500e-01
P32927	O60674	19	5.62500e-01
P32927	P06241	22	5.62500e-01
P32927	P07332	23	5.62500e-01
P07332	P40763	23	5.62500e-01
P32927	P23458	24	5.62500e-01
P32927	P10721	25	5.62500e-01
P10721	P42229	25	5.62500e-01
P10721	P51692	26	5.62500e-01
P29353	P42229	29	5.62500e-01
P43405	P40763	30	5.62500e-01
P32927	P43405	30	5.62500e-01
P43405	P42229	31	5.62500e-01
P32927	P52333	32	5.62500e-01
P63104	O43524	35	5.62500e-01
P32927	P63104	35	5.62500e-01
P63244	P40763	36	5.62500e-01
P32927	P63244	36	5.62500e-01
P32927	Q9NSE2	37	5.62500e-01
Q9NSE2	P40763	37	5.62500e-01
Q9NSE2	P42229	38	5.62500e-01
Q9NSE2	P51692	39	5.62500e-01
P08631	P42229	40	5.05781e-01
P32927	P08631	40	5.05781e-01
P08631	P51692	41	5.05781e-01
P32927	P51692	42	4.73922e-01
P32927	P05771	43	4.69140e-01
P05771	P16220	43	4.69140e-01
P10721	P40763	44	4.69140e-01
P03372	O43524	45	4.21875e-01
O60674	P03372	45	4.21875e-01
P03372	P10276	46	4.21875e-01
P03372	P40763	47	4.21875e-01
P03372	P42229	48	4.21875e-01
O60674	P12931	49	4.21875e-01
P12931	P10276	49	4.21875e-01
P12931	P40763	50	4.21875e-01
P12931	P42229	51	4.21875e-01
O60674	P27986	52	4.21875e-01
O60674	P29353	55	4.21875e-01
P38398	P16220	57	4.21875e-01
O60674	P38398	57	4.21875e-01
O00459	P40763	58	4.21875e-01
O60674	O00459	58	4.21875e-01
O00459	P42229	59	4.21875e-01
O14543	P40763	60	4.21875e-01
O60674	O14543	60	4.21875e-01
O14543	P42229	61	4.21875e-01
O14543	P51692	62	4.21875e-01
O60674	P06241	63	4.21875e-01
O60674	P11362	64	4.21875e-01
P11362	P40763	64	4.21875e-01
P16473	P40763	65	4.21875e-01
O60674	P16473	65	4.21875e-01
P18031	P40763	66	4.21875e-01
O60674	P18031	66	4.21875e-01
P18031	P42229	67	4.21875e-01
P18031	P51692	68	4.21875e-01
O60674	P23458	69	4.21875e-01
O60674	P29597	72	4.21875e-01
P38398	P42229	75	4.21875e-01
P40189	P40763	76	4.21875e-01
O60674	P40189	76	4.21875e-01
P42224	P10276	77	4.21875e-01
O60674	P42224	77	4.21875e-01
P42224	P19793	78	4.21875e-01
P42224	P40763	79	4.21875e-01
P42224	P42229	80	4.21875e-01
P42224	P51692	81	4.21875e-01
P42226	P40763	82	4.21875e-01
O60674	P42226	82	4.21875e-01
O60674	P10721	83	4.21875e-01
P16471	P42229	85	4.21875e-01
O60674	P16471	85	4.21875e-01
P42336	P40763	86	4.21875e-01
O60674	P42336	86	4.21875e-01
P48357	P40763	87	4.21875e-01
O60674	P48357	87	4.21875e-01
O60674	P52630	88	4.21875e-01
P52630	P40763	88	4.21875e-01
O60674	P67775	89	4.21875e-01
P67775	O43524	89	4.21875e-01
P67775	P16220	90	4.21875e-01
P67775	P42229	91	4.21875e-01
P67775	P51692	92	4.21875e-01
Q06124	P40763	93	4.21875e-01
O60674	Q06124	93	4.21875e-01
Q06124	P42229	94	4.21875e-01
Q06124	P51692	95	4.21875e-01
Q13309	O43524	96	4.21875e-01
O60674	Q13309	96	4.21875e-01
Q14469	P40763	97	4.21875e-01
O60674	Q14469	97	4.21875e-01
Q14765	P40763	98	4.21875e-01
O60674	Q14765	98	4.21875e-01
Q15303	P42229	99	4.21875e-01
O60674	Q15303	99	4.21875e-01
Q15303	P51692	100	4.21875e-01
Q15910	P10276	101	4.21875e-01
O60674	Q15910	101	4.21875e-01
Q5TA89	P40763	102	4.21875e-01
O60674	Q5TA89	102	4.21875e-01
Q9NRF2	P40763	103	4.21875e-01
O60674	Q9NRF2	103	4.21875e-01
P08047	P10276	104	4.21875e-01
P06241	P08047	104	4.21875e-01
P08047	P19793	105	4.21875e-01
P08047	P40763	106	4.21875e-01
P06241	P12931	107	4.21875e-01
O60244	P15976	108	4.21875e-01
P06241	O60244	108	4.21875e-01
P04150	P16220	109	4.21875e-01
P06241	P04150	109	4.21875e-01
P04150	P40763	110	4.21875e-01
P04150	P51692	111	4.21875e-01
P06493	P19793	112	4.21875e-01
