#tail	head	KSP index	path cost
P19235	P42229	1	7.50000e-01
P10721	P00519	2	7.50000e-01
P10721	P42224	3	7.50000e-01
P10721	P42229	4	7.50000e-01
P10721	P51692	5	7.50000e-01
P16871	P42229	6	7.50000e-01
P16871	P51692	7	7.50000e-01
P32927	P42229	8	7.50000e-01
Q06187	P00519	9	5.62500e-01
O00220	Q06187	9	5.62500e-01
Q06187	P42229	10	5.62500e-01
Q13158	P42224	11	5.62500e-01
O00220	Q13158	11	5.62500e-01
O00220	Q15628	12	5.62500e-01
Q15628	P42224	12	5.62500e-01
P10721	P07948	13	5.62500e-01
P07948	P00519	13	5.62500e-01
P10721	P08631	14	5.62500e-01
P08631	P00519	14	5.62500e-01
P10721	P27986	15	5.62500e-01
P27986	P00519	15	5.62500e-01
P27986	P42229	16	5.62500e-01
P10721	P29353	17	5.62500e-01
P29353	O43524	17	5.62500e-01
P10721	O14508	18	5.62500e-01
O14508	P42224	18	5.62500e-01
O14508	P42229	19	5.62500e-01
O14508	P51692	20	5.62500e-01
P10721	O14543	21	5.62500e-01
O14543	P42224	21	5.62500e-01
O14543	P42229	22	5.62500e-01
O14543	P51692	23	5.62500e-01
P10721	O14544	24	5.62500e-01
O14544	P42224	24	5.62500e-01
O14544	P42229	25	5.62500e-01
O14544	P51692	26	5.62500e-01
P10721	O15524	27	5.62500e-01
O15524	P42224	27	5.62500e-01
O15524	P42229	28	5.62500e-01
O15524	P51692	29	5.62500e-01
P10721	O60674	30	5.62500e-01
O60674	P42224	30	5.62500e-01
O60674	P42229	31	5.62500e-01
O60674	P51692	32	5.62500e-01
P10721	O75159	33	5.62500e-01
O75159	P42224	33	5.62500e-01
P10721	O00459	34	5.62500e-01
O00459	P42229	34	5.62500e-01
O75159	P42229	35	5.62500e-01
O75159	P51692	36	5.62500e-01
P10721	P22681	37	5.62500e-01
P22681	P42229	37	5.62500e-01
P29353	P42229	38	5.62500e-01
P10721	P31785	39	5.62500e-01
P31785	P42229	39	5.62500e-01
P10721	P43405	40	5.62500e-01
P43405	P42229	40	5.62500e-01
P10721	P46108	41	5.62500e-01
P46108	P00519	41	5.62500e-01
P46108	P42229	42	5.62500e-01
P46108	P51692	43	5.62500e-01
P10721	P46109	44	5.62500e-01
P46109	P00519	44	5.62500e-01
P46109	P42229	45	5.62500e-01
P46109	P51692	46	5.62500e-01
P10721	P52333	47	5.62500e-01
P52333	P42224	47	5.62500e-01
P52333	P42229	48	5.62500e-01
P52333	P51692	49	5.62500e-01
P10721	Q06124	50	5.62500e-01
Q06124	P42229	50	5.62500e-01
Q06124	P51692	51	5.62500e-01
P10721	Q06187	52	5.62500e-01
P10721	P62993	53	5.62500e-01
P62993	Q09472	53	5.62500e-01
Q13882	P51692	55	5.62500e-01
P10721	Q13882	55	5.62500e-01
P10721	Q15464	56	5.62500e-01
Q15464	P00519	56	5.62500e-01
P10721	Q8WXH5	57	5.62500e-01
Q8WXH5	P42224	57	5.62500e-01
Q8WXH5	P42229	58	5.62500e-01
Q8WXH5	P51692	59	5.62500e-01
P10721	Q99704	60	5.62500e-01
Q99704	P00519	60	5.62500e-01
P16871	P06241	61	5.62500e-01
P06241	P00519	61	5.62500e-01
P16871	P27986	62	5.62500e-01
P16871	O60674	63	5.62500e-01
P23458	P42224	66	5.62500e-01
P16871	P23458	66	5.62500e-01
P23458	P42229	67	5.62500e-01
P23458	P51692	68	5.62500e-01
P29597	P42224	70	5.62500e-01
P16871	P29597	70	5.62500e-01
P29597	P42229	71	5.62500e-01
