#tail	head	KSP index	path cost
P46531	Q92585	1	7.50000e-01
P46531	P19838	2	7.50000e-01
P46531	P25490	3	7.50000e-01
P46531	P84022	4	7.50000e-01
P46531	Q06330	5	7.50000e-01
P46531	Q06413	6	7.50000e-01
P46531	Q13547	7	7.50000e-01
P46531	Q13573	8	7.50000e-01
P46531	Q14469	9	7.50000e-01
P46531	Q15797	10	7.50000e-01
P46531	Q86Y01	11	7.50000e-01
P46531	Q96JK9	12	7.50000e-01
P46531	Q9UJU2	13	7.50000e-01
Q04721	Q06330	14	7.50000e-01
Q04721	Q15797	15	7.50000e-01
Q04721	Q92585	16	7.50000e-01
Q04721	Q96JK9	17	7.50000e-01
Q99466	Q06330	18	7.50000e-01
Q99466	Q92585	19	7.50000e-01
Q99466	Q96JK9	20	7.50000e-01
Q9UM47	Q06330	21	7.50000e-01
Q9UM47	Q13573	22	7.50000e-01
Q9UM47	Q92585	23	7.50000e-01
Q9UM47	Q96JK9	24	7.50000e-01
P46531	Q06587	25	7.45706e-01
Q99466	P84022	26	7.10749e-01
Q04721	Q86Y01	27	6.25520e-01
Q99466	Q86Y01	28	6.25520e-01
Q9UM47	P19838	29	6.25520e-01
Q9UM47	Q86Y01	30	6.25520e-01
P46531	P03372	31	5.62500e-01
P03372	O75376	31	5.62500e-01
P46531	O15111	32	5.62500e-01
O15111	P19838	32	5.62500e-01
O15111	P84022	33	5.62500e-01
O15111	Q09472	34	5.62500e-01
O15111	Q92585	35	5.62500e-01
O15111	Q9Y618	36	5.62500e-01
P03372	P19838	37	5.62500e-01
P03372	P40763	38	5.62500e-01
P03372	P84022	39	5.62500e-01
P03372	Q06330	40	5.62500e-01
P03372	Q09472	41	5.62500e-01
P03372	Q13547	42	5.62500e-01
P03372	Q92585	43	5.62500e-01
P03372	Q92769	44	5.62500e-01
P03372	Q9Y618	45	5.62500e-01
P05067	P25490	46	5.62500e-01
P46531	P05067	46	5.62500e-01
P05067	P84022	47	5.62500e-01
P05067	Q15797	48	5.62500e-01
P46531	P06733	49	5.62500e-01
P06733	P25490	49	5.62500e-01
P06733	Q13547	50	5.62500e-01
P46531	P28482	51	5.62500e-01
P28482	P15923	51	5.62500e-01
P28482	P40763	52	5.62500e-01
P28482	P84022	53	5.62500e-01
P28482	Q09472	54	5.62500e-01
P28482	Q15797	55	5.62500e-01
P46531	P35222	56	5.62500e-01
P35222	P15923	56	5.62500e-01
P46531	O00459	57	5.62500e-01
O00459	P40763	57	5.62500e-01
P46531	O60341	58	5.62500e-01
O60341	P40763	58	5.62500e-01
O60341	Q06330	59	5.62500e-01
O60341	Q13547	60	5.62500e-01
O60341	Q92769	61	5.62500e-01
P46531	P06239	62	5.62500e-01
P06239	P40763	62	5.62500e-01
P46531	P12931	63	5.62500e-01
P12931	P40763	63	5.62500e-01
P46531	P27986	64	5.62500e-01
P27986	P40763	64	5.62500e-01
P27986	Q96T58	65	5.62500e-01
P35222	P19838	66	5.62500e-01
P35222	P84022	67	5.62500e-01
P35222	Q13547	68	5.62500e-01
P35222	Q9UJU2	69	5.62500e-01
P46531	P51532	70	5.62500e-01
P51532	O75376	70	5.62500e-01
P51532	P40763	71	5.62500e-01
P51532	Q06330	72	5.62500e-01
P51532	Q13547	73	5.62500e-01
P51532	Q92769	74	5.62500e-01
P51532	Q96ST3	75	5.62500e-01
P78527	P19838	76	5.62500e-01
P46531	P78527	76	5.62500e-01
P46531	P12956	77	5.62500e-01
P12956	P84022	77	5.62500e-01
P12956	Q09472	78	5.62500e-01
P12956	Q13573	79	5.62500e-01
P46531	P30153	80	5.62500e-01
P30153	P84022	80	5.62500e-01
P30153	Q13573	81	5.62500e-01
P46531	P49841	82	5.62500e-01
P49841	P84022	82	5.62500e-01
P49841	Q15797	83	5.62500e-01
P78527	Q09472	84	5.62500e-01
P78527	Q13573	85	5.62500e-01
P46531	Q00987	86	5.62500e-01
Q00987	P25490	86	5.62500e-01
Q00987	Q09472	87	5.62500e-01
Q00987	Q13547	88	5.62500e-01
P46531	Q04206	89	5.62500e-01
Q04206	P40763	89	5.62500e-01
Q04206	Q13547	90	5.62500e-01
Q04206	Q92769	91	5.62500e-01
Q04206	Q9Y618	92	5.62500e-01
P46531	Q04864	93	5.62500e-01
Q04864	P19838	93	5.62500e-01
Q04864	Q09472	94	5.62500e-01
Q05655	P40763	95	5.62500e-01
P46531	Q05655	95	5.62500e-01
O95863	Q06587	96	5.62500e-01
P46531	O95863	96	5.62500e-01
O95863	Q13547	97	5.62500e-01
O95863	Q96ST3	98	5.62500e-01
Q05655	Q09472	99	5.62500e-01
P46531	Q09028	100	5.62500e-01
Q09028	O75446	100	5.62500e-01
Q09028	Q13547	101	5.62500e-01
Q09028	Q92769	102	5.62500e-01
Q09028	Q96ST3	103	5.62500e-01
P46531	Q13315	104	5.62500e-01
Q13315	Q09472	104	5.62500e-01
Q13315	Q13547	105	5.62500e-01
Q13315	Q13573	106	5.62500e-01
Q13526	P84022	107	5.62500e-01
P46531	Q13526	107	5.62500e-01
P46531	Q02880	108	5.62500e-01
Q02880	Q13547	108	5.62500e-01
Q02880	Q92769	109	5.62500e-01
P46531	Q13761	110	5.62500e-01
Q13761	P84022	110	5.62500e-01
P46531	O00303	111	5.62500e-01
O00303	Q86Y01	111	5.62500e-01
Q13761	Q09472	112	5.62500e-01
P46531	Q8IZL2	113	5.62500e-01
Q8IZL2	Q06330	113	5.62500e-01
P46531	Q5VTD9	114	5.62500e-01
Q5VTD9	Q92769	114	5.62500e-01
Q8IZL2	Q09472	115	5.62500e-01
P46531	Q92830	116	5.62500e-01
Q92830	Q06330	116	5.62500e-01
P46531	Q92831	117	5.62500e-01
Q92831	P15923	117	5.62500e-01
Q92831	P84022	118	5.62500e-01
Q92831	Q06330	119	5.62500e-01
Q92831	Q09472	120	5.62500e-01
Q92831	Q15797	121	5.62500e-01
P46531	Q93009	122	5.62500e-01
Q93009	P84022	122	5.62500e-01
Q93009	Q06587	123	5.62500e-01
P46531	Q96J02	124	5.62500e-01
Q96J02	Q86Y01	124	5.62500e-01
Q9C0K0	Q13547	125	5.62500e-01
P46531	Q9C0K0	125	5.62500e-01
Q9C0K0	Q92769	126	5.62500e-01
Q9H0M0	P84022	127	5.62500e-01
P46531	Q9H0M0	127	5.62500e-01
Q9ULJ6	P84022	128	5.62500e-01
P46531	Q9ULJ6	128	5.62500e-01
P46531	Q9UPP1	129	5.62500e-01
Q9UPP1	Q06330	129	5.62500e-01
Q04721	Q8IZL2	130	5.62500e-01
Q99466	Q8IZL2	132	5.62500e-01
O00308	P84022	134	5.62500e-01
Q9UM47	O00308	134	5.62500e-01
P00519	Q09472	135	5.62500e-01
Q9UM47	P00519	135	5.62500e-01
Q9UM47	Q8IZL2	136	5.62500e-01
Q9UM47	Q92831	138	5.62500e-01
P16333	Q96T58	139	5.62500e-01
Q9UM47	P16333	139	5.62500e-01
P46531	P09874	144	5.59280e-01
P09874	P15923	144	5.59280e-01
P46531	P06400	145	5.59280e-01
P06400	P25490	145	5.59280e-01
P06400	P40763	146	5.59280e-01
P06400	Q06587	147	5.59280e-01
P06400	Q09472	148	5.59280e-01
P06400	Q13547	149	5.59280e-01
P06400	Q92769	150	5.59280e-01
P09874	P19838	151	5.59280e-01
P09874	Q13547	152	5.59280e-01
P09874	Q92769	153	5.59280e-01
P46531	P51610	154	5.59280e-01
P51610	P25490	154	5.59280e-01
P46531	P30260	155	5.59280e-01
P30260	P84022	155	5.59280e-01
P30260	Q13573	156	5.59280e-01
P51610	Q13547	157	5.59280e-01
P51610	Q92769	158	5.59280e-01
P51610	Q96ST3	159	5.59280e-01
P46531	Q01196	160	5.59280e-01
Q01196	P84022	160	5.59280e-01
P51784	Q06587	161	5.59280e-01
P46531	P51784	161	5.59280e-01
P25205	Q09472	162	5.59280e-01
P46531	P25205	162	5.59280e-01
P46531	P33992	163	5.59280e-01
P33992	Q09472	163	5.59280e-01
Q01196	Q09472	164	5.59280e-01
Q01196	Q13547	165	5.59280e-01
Q01196	Q92769	166	5.59280e-01
P46531	Q13131	167	5.59280e-01
Q13131	Q09472	167	5.59280e-01
P46531	Q13263	168	5.59280e-01
Q13263	O75376	168	5.59280e-01
P22670	Q13547	169	5.59280e-01
P46531	P22670	169	5.59280e-01
P22670	Q15797	170	5.59280e-01
P46531	P35251	171	5.59280e-01
P35251	Q13547	171	5.59280e-01
Q13263	P40763	172	5.59280e-01
P46531	Q13422	173	5.59280e-01
Q13422	Q13547	173	5.59280e-01
P46531	A5YKK6	174	5.59280e-01
A5YKK6	Q13573	174	5.59280e-01
A6NHR9	Q13573	175	5.59280e-01
P46531	A6NHR9	175	5.59280e-01
P46531	O43290	176	5.59280e-01
O43290	Q13573	176	5.59280e-01
P46531	O60264	177	5.59280e-01
O60264	Q13573	177	5.59280e-01
O60264	Q92769	178	5.59280e-01
P46531	O94906	179	5.59280e-01
O94906	Q13573	179	5.59280e-01
P46531	O95785	180	5.59280e-01
O95785	Q13573	180	5.59280e-01
O95785	Q92769	181	5.59280e-01
P46531	P35249	182	5.59280e-01
P35249	Q13573	182	5.59280e-01
P40227	Q13573	183	5.59280e-01
P46531	P40227	183	5.59280e-01
P46531	P49368	184	5.59280e-01
P49368	Q13573	184	5.59280e-01
P46531	P50990	185	5.59280e-01
P50990	Q13573	185	5.59280e-01
P46531	P98175	186	5.59280e-01
P98175	Q13573	186	5.59280e-01
P46531	Q14527	187	5.59280e-01
Q14527	Q13573	187	5.59280e-01
P46531	Q14562	188	5.59280e-01
Q14562	Q13573	188	5.59280e-01
P46531	Q14683	189	5.59280e-01
Q14683	Q13573	189	5.59280e-01
P46531	Q14839	190	5.59280e-01
Q14839	Q09472	190	5.59280e-01
