#tail	head	KSP index	path cost
P04626	P42224	1	7.50000e-01
P16471	P05204	2	7.50000e-01
P16471	P42229	3	7.50000e-01
Q15303	P42229	4	7.50000e-01
Q15303	P51692	5	7.50000e-01
P04626	P12931	6	5.62500e-01
P12931	P10828	6	5.62500e-01
P04626	O15524	7	5.62500e-01
O15524	P42224	7	5.62500e-01
O15524	P42229	8	5.62500e-01
O15524	P51692	9	5.62500e-01
P04626	O60674	10	5.62500e-01
O60674	P42224	10	5.62500e-01
O60674	P42229	11	5.62500e-01
O60674	P51692	12	5.62500e-01
P04626	P00533	13	5.62500e-01
P00533	P42224	13	5.62500e-01
P00533	P42229	14	5.62500e-01
P00533	P51692	15	5.62500e-01
P04626	P08238	16	5.62500e-01
P08238	P42224	16	5.62500e-01
P12931	P42224	17	5.62500e-01
P12931	P42229	18	5.62500e-01
P12931	Q92793	19	5.62500e-01
P23458	P42224	20	5.62500e-01
P04626	P23458	20	5.62500e-01
P23458	P42229	21	5.62500e-01
P23458	P51692	22	5.62500e-01
P04626	P40189	23	5.62500e-01
P40189	P42224	23	5.62500e-01
P04626	P40763	24	5.62500e-01
P40763	P42224	24	5.62500e-01
P04626	O00459	25	5.62500e-01
O00459	P42229	25	5.62500e-01
P04626	P00519	26	5.62500e-01
P00519	P42229	26	5.62500e-01
P00519	P51692	27	5.62500e-01
P00519	Q09472	28	5.62500e-01
P04626	P22681	29	5.62500e-01
P22681	P42229	29	5.62500e-01
P27986	P42229	30	5.62500e-01
P04626	P27986	30	5.62500e-01
P04626	P29353	31	5.62500e-01
P29353	P42229	31	5.62500e-01
P40763	P42229	32	5.62500e-01
P40763	P51692	33	5.62500e-01
P04626	P43405	34	5.62500e-01
P43405	P42229	34	5.62500e-01
P04626	P46108	35	5.62500e-01
P46108	P42229	35	5.62500e-01
P46108	P51692	36	5.62500e-01
P04626	P46109	37	5.62500e-01
P46109	P42229	37	5.62500e-01
P46109	P51692	38	5.62500e-01
P04626	P62993	39	5.62500e-01
P62993	P05204	39	5.62500e-01
P62993	Q09472	40	5.62500e-01
Q05397	P42224	41	5.62500e-01
P04626	Q05397	41	5.62500e-01
P04626	Q06124	42	5.62500e-01
Q06124	P42229	42	5.62500e-01
P04626	P06493	43	5.62500e-01
P06493	Q09472	43	5.62500e-01
Q06124	P51692	44	5.62500e-01
Q13882	P51692	45	5.62500e-01
P04626	Q13882	45	5.62500e-01
P04626	P35222	46	5.62500e-01
P35222	Q92793	46	5.62500e-01
P04626	Q9NSE2	47	5.62500e-01
Q9NSE2	P42224	47	5.62500e-01
Q9NSE2	P42229	48	5.62500e-01
Q9NSE2	P51692	49	5.62500e-01
P05556	O43707	50	5.62500e-01
O43707	P42224	50	5.62500e-01
P05556	P46109	51	5.62500e-01
P05556	P63244	53	5.62500e-01
P63244	P42224	53	5.62500e-01
Q02763	P42229	54	5.62500e-01
P05556	Q02763	54	5.62500e-01
Q02763	P51692	55	5.62500e-01
P05556	Q05397	56	5.62500e-01
Q14192	Q09472	57	5.62500e-01
P05556	Q14192	57	5.62500e-01
P16471	P12931	58	5.62500e-01
P16471	O14508	59	5.62500e-01
O14508	P42224	59	5.62500e-01
O14508	P42229	60	5.62500e-01
O14508	P51692	61	5.62500e-01
P16471	O14543	62	5.62500e-01
O14543	P42224	62	5.62500e-01
O14543	P42229	63	5.62500e-01
O14543	P51692	64	5.62500e-01
P16471	O60674	65	5.62500e-01
P16471	P23458	71	5.62500e-01
P16471	P27986	74	5.62500e-01
P16471	P52333	75	5.62500e-01
P52333	P42224	75	5.62500e-01
P52333	P42229	76	5.62500e-01
P52333	P51692	77	5.62500e-01
P16471	Q06124	78	5.62500e-01
P16471	Q99490	80	5.62500e-01
Q99490	P42229	80	5.62500e-01
Q15303	P00533	81	5.62500e-01
Q15303	P08238	84	5.62500e-01
Q15303	O00459	85	5.62500e-01
Q15303	P00519	86	5.62500e-01
Q15303	P29353	89	5.62500e-01
Q15303	P43405	90	5.62500e-01
Q15303	P46109	91	5.62500e-01
Q15303	P62993	93	5.62500e-01
Q15303	Q06124	95	5.62500e-01
Q00987	Q09472	96	5.62500e-01
Q15303	Q00987	96	5.62500e-01
Q00987	Q92793	97	5.62500e-01
P19320	P51692	99	5.43137e-01
P05556	P19320	99	5.43137e-01
P04626	P35354	100	5.33062e-01
P35354	Q09472	100	5.33062e-01
P05556	P29353	101	5.33062e-01
Q15303	O75376	102	5.33062e-01
O75376	P10242	102	5.33062e-01
O75376	P10828	103	5.33062e-01
P12931	P51692	104	5.05781e-01
P46937	Q09472	106	4.99831e-01
Q15303	P46937	106	4.99831e-01
P04626	P04406	107	4.89351e-01
P04406	Q09472	107	4.89351e-01
Q15303	P04406	108	4.89351e-01
P04626	P52333	109	4.69140e-01
P05556	P12931	112	4.69140e-01
P05556	O00459	113	4.69140e-01
P05556	P27986	117	4.69140e-01
P05556	P46108	118	4.69140e-01
P05556	P29350	119	4.69140e-01
P29350	P51692	119	4.69140e-01
Q15303	P27986	121	4.69140e-01
P16471	P63104	122	4.26587e-01
P63104	Q09472	122	4.26587e-01
O00459	P12931	123	4.21875e-01
P14784	P42224	127	4.21875e-01
O00459	P14784	127	4.21875e-01
P14784	P42229	128	4.21875e-01
P14784	P51692	129	4.21875e-01
P19438	P42224	130	4.21875e-01
O00459	P19438	130	4.21875e-01
P31749	P42224	131	4.21875e-01
O00459	P31749	131	4.21875e-01
P31749	Q09472	132	4.21875e-01
P31749	Q92793	133	4.21875e-01
O00459	P40763	134	4.21875e-01
P16410	P42229	135	4.21875e-01
O00459	P16410	135	4.21875e-01
P16410	P51692	136	4.21875e-01
O00459	P27986	137	4.21875e-01
O00459	P29353	138	4.21875e-01
O00459	P29350	139	4.21875e-01
O00459	P62993	142	4.21875e-01
O00459	Q02763	144	4.21875e-01
O00459	Q05397	146	4.21875e-01
O00459	Q06124	147	4.21875e-01
P23443	Q09472	148	4.21875e-01
O00459	P23443	148	4.21875e-01
P27348	Q13469	149	4.21875e-01
O00459	P27348	149	4.21875e-01
Q05513	Q13469	150	4.21875e-01
O00459	Q05513	150	4.21875e-01
Q9Y4K3	P10242	152	4.21875e-01
O00459	Q9Y4K3	152	4.21875e-01
P63000	Q9Y6X2	153	4.21875e-01
O00459	P63000	153	4.21875e-01
O15524	P04637	154	4.21875e-01
P04637	P10828	154	4.21875e-01
O15524	O60674	155	4.21875e-01
O15524	P00533	158	4.21875e-01
P04637	P42224	161	4.21875e-01
P04637	Q09472	162	4.21875e-01
P10721	P42224	163	4.21875e-01
O15524	P10721	163	4.21875e-01
P10721	P42229	164	4.21875e-01
P10721	P51692	165	4.21875e-01
O15524	P14784	166	4.21875e-01
O15524	P23458	169	4.21875e-01
O15524	P29597	172	4.21875e-01
P29597	P42224	172	4.21875e-01
P29597	P42229	173	4.21875e-01
P29597	P51692	174	4.21875e-01
O15524	P40763	175	4.21875e-01
P10912	P42229	176	4.21875e-01
O15524	P10912	176	4.21875e-01
P10912	P51692	177	4.21875e-01
O15524	P46108	180	4.21875e-01
O15524	P52333	182	4.21875e-01
O15524	P62993	185	4.21875e-01
Q04206	P42224	187	4.21875e-01
O15524	Q04206	187	4.21875e-01
P10914	Q09472	188	4.21875e-01
O15524	P10914	188	4.21875e-01
