#tail	head	KSP index	path cost
P08069	P40763	1	7.50000e-01
P16473	P40763	2	7.50000e-01
P16473	Q9Y2W7	3	7.50000e-01
P08069	Q9Y2W7	4	6.08042e-01
P08069	P18031	5	5.62500e-01
P18031	P25963	5	5.62500e-01
P18031	P40763	6	5.62500e-01
P08069	P27986	7	5.62500e-01
P27986	P25963	7	5.62500e-01
P08069	O00459	8	5.62500e-01
O00459	P40763	8	5.62500e-01
P08069	O14508	9	5.62500e-01
O14508	P40763	9	5.62500e-01
P08069	O14543	10	5.62500e-01
O14543	P40763	10	5.62500e-01
P08069	O60674	11	5.62500e-01
O60674	P40763	11	5.62500e-01
P08069	P23458	12	5.62500e-01
P23458	P40763	12	5.62500e-01
P27986	P40763	13	5.62500e-01
P08069	P42336	14	5.62500e-01
P42336	P40763	14	5.62500e-01
P08069	P48357	15	5.62500e-01
P48357	P40763	15	5.62500e-01
P08069	P62993	16	5.62500e-01
P62993	P06400	16	5.62500e-01
P08069	P63244	17	5.62500e-01
P63244	P06400	17	5.62500e-01
P63244	P40763	18	5.62500e-01
P08069	Q05397	19	5.62500e-01
Q05397	P40763	19	5.62500e-01
P08069	Q06124	20	5.62500e-01
Q06124	P40763	20	5.62500e-01
P08069	Q92569	21	5.62500e-01
Q92569	P06400	21	5.62500e-01
P16473	P11021	22	5.62500e-01
P11021	P25963	22	5.62500e-01
P11021	Q15653	23	5.62500e-01
P16473	P27986	24	5.62500e-01
P16473	O60674	25	5.62500e-01
P16473	P23458	26	5.62500e-01
P07550	P40763	28	5.50366e-01
P16473	P07550	28	5.50366e-01
P08069	P63104	29	5.42834e-01
P63104	P15336	29	5.42834e-01
P18031	P15336	30	5.33062e-01
P08069	P31946	31	5.33062e-01
P31946	P15336	31	5.33062e-01
P08069	P35222	32	5.33062e-01
P35222	P15336	32	5.33062e-01
P08069	P03372	33	5.33062e-01
P03372	P40763	33	5.33062e-01
P08069	P61981	34	5.33062e-01
P61981	P15336	34	5.33062e-01
P16473	P05023	35	5.33062e-01
P05023	P15336	35	5.33062e-01
P27797	P15336	36	5.33062e-01
P16473	P27797	36	5.33062e-01
P27824	P15336	37	5.33062e-01
P16473	P27824	37	5.33062e-01
P08069	P12931	38	4.69140e-01
P12931	P25963	38	4.69140e-01
P12931	P40763	39	4.69140e-01
O00459	P12931	40	4.21875e-01
P19438	P25963	42	4.21875e-01
O00459	P19438	42	4.21875e-01
P27348	P25963	43	4.21875e-01
O00459	P27348	43	4.21875e-01
O00459	P27986	44	4.21875e-01
P07332	P40763	45	4.21875e-01
O00459	P07332	45	4.21875e-01
P14784	P40763	46	4.21875e-01
O00459	P14784	46	4.21875e-01
P42229	P40763	48	4.21875e-01
O00459	P42229	48	4.21875e-01
O00459	P42336	49	4.21875e-01
O00459	P48357	50	4.21875e-01
P49407	P25963	51	4.21875e-01
O00459	P49407	51	4.21875e-01
O00459	P62993	52	4.21875e-01
P63000	P40763	53	4.21875e-01
O00459	P63000	53	4.21875e-01
O00459	P63104	54	4.21875e-01
O00459	Q05397	55	4.21875e-01
O00459	Q06124	56	4.21875e-01
O00459	Q92569	57	4.21875e-01
O14508	O14543	58	4.21875e-01
O14508	O60674	59	4.21875e-01
O14508	P23458	60	4.21875e-01
P29597	P40763	61	4.21875e-01
O14508	P29597	61	4.21875e-01
P42224	P40763	62	4.21875e-01
O14508	P42224	62	4.21875e-01
O14508	P42229	63	4.21875e-01
O14508	P48357	64	4.21875e-01
P51692	P40763	65	4.21875e-01
O14508	P51692	65	4.21875e-01
P52333	P40763	66	4.21875e-01
O14508	P52333	66	4.21875e-01
O14508	Q05397	67	4.21875e-01
P10275	P06400	68	4.21875e-01
O14543	P10275	68	4.21875e-01
P05067	P15336	69	4.21875e-01
O14543	P05067	69	4.21875e-01
O14543	O14508	70	4.21875e-01
O14543	O60674	71	4.21875e-01
O14543	P00533	72	4.21875e-01
P00533	P40763	72	4.21875e-01
P05067	Q15653	73	4.21875e-01
P10275	P15336	74	4.21875e-01
P10275	P40763	75	4.21875e-01
O14543	P14784	76	4.21875e-01
O14543	P23458	77	4.21875e-01
O14543	P29597	78	4.21875e-01
O14543	P40189	79	4.21875e-01
P40189	P40763	79	4.21875e-01
O14543	P42224	80	4.21875e-01
O14543	P42229	81	4.21875e-01
O14543	P48357	82	4.21875e-01
O14543	P51692	83	4.21875e-01
O14543	P52333	84	4.21875e-01
O14543	Q06124	85	4.21875e-01
O14543	Q14186	86	4.21875e-01
Q14186	P06400	86	4.21875e-01
O14543	Q99062	87	4.21875e-01
Q99062	P40763	87	4.21875e-01
O14543	Q9UHD2	88	4.21875e-01
Q9UHD2	P25963	88	4.21875e-01
O60674	P12931	89	4.21875e-01
O60674	P18031	91	4.21875e-01
O60674	P19438	93	4.21875e-01
O60674	P27986	94	4.21875e-01
P38398	P06400	96	4.21875e-01
O60674	P38398	96	4.21875e-01
O60674	O00459	97	4.21875e-01
O60674	O14543	98	4.21875e-01
O60674	P03372	99	4.21875e-01
O60674	P06241	100	4.21875e-01
P06241	P40763	100	4.21875e-01
O60674	P11362	101	4.21875e-01
P11362	P40763	101	4.21875e-01
O60674	P23458	102	4.21875e-01
O60674	P29597	103	4.21875e-01
O60674	P40189	104	4.21875e-01
O60674	P42224	105	4.21875e-01
P42226	P40763	106	4.21875e-01
O60674	P42226	106	4.21875e-01
O60674	P42229	107	4.21875e-01
O60674	P42336	108	4.21875e-01
O60674	P48357	109	4.21875e-01
O60674	P51692	110	4.21875e-01
O60674	P52630	111	4.21875e-01
P52630	P40763	111	4.21875e-01
O60674	P62937	112	4.21875e-01
P62937	P06400	112	4.21875e-01
O60674	P62993	113	4.21875e-01
O60674	Q06124	114	4.21875e-01
Q13309	P06400	115	4.21875e-01
O60674	Q13309	115	4.21875e-01
Q14469	P40763	116	4.21875e-01
O60674	Q14469	116	4.21875e-01
Q14765	P40763	117	4.21875e-01
O60674	Q14765	117	4.21875e-01
Q5TA89	P40763	118	4.21875e-01
O60674	Q5TA89	118	4.21875e-01
O60674	Q92569	119	4.21875e-01
O60674	Q96EY1	120	4.21875e-01
Q96EY1	P25963	120	4.21875e-01
Q96EY1	Q15653	121	4.21875e-01
Q99683	P06400	122	4.21875e-01
O60674	Q99683	122	4.21875e-01
O60674	Q9NRF2	123	4.21875e-01
Q9NRF2	P40763	123	4.21875e-01
Q9Y6K9	P25963	124	4.21875e-01
O60674	Q9Y6K9	124	4.21875e-01
Q9Y6K9	Q15653	125	4.21875e-01
P08069	P16885	126	4.21875e-01
P16885	P10275	126	4.21875e-01
P05771	P15336	127	4.21875e-01
P16885	P05771	127	4.21875e-01
P17252	P15336	130	4.21875e-01
P16885	P17252	130	4.21875e-01
P07948	P40763	131	4.21875e-01
P16885	P07948	131	4.21875e-01
P16885	P62993	132	4.21875e-01
P18031	P12931	133	4.21875e-01
P18031	O60674	134	4.21875e-01
P18031	O75925	135	4.21875e-01
O75925	P40763	135	4.21875e-01
P18031	P09619	136	4.21875e-01
P09619	P40763	136	4.21875e-01
P18031	P29597	138	4.21875e-01
