#tail	head	KSP index	path cost
O75581	P98082	1	7.50000e-01
O00144	O14640	2	5.62500e-01
O14640	P25054	2	5.62500e-01
O14640	P35222	3	5.62500e-01
O14640	Q15797	4	5.62500e-01
O00144	O14641	5	5.62500e-01
O14641	P25054	5	5.62500e-01
O14641	P98082	6	5.62500e-01
O00144	Q92997	7	5.62500e-01
Q92997	P98082	7	5.62500e-01
O75084	O14640	8	5.62500e-01
O75084	O14641	11	5.62500e-01
O75084	Q92997	13	5.62500e-01
O75197	O15169	14	5.62500e-01
O15169	P25054	14	5.62500e-01
O15169	P35222	15	5.62500e-01
P19022	P35222	16	5.62500e-01
O75197	P19022	16	5.62500e-01
O75581	O15169	17	5.62500e-01
O75581	P19022	19	5.62500e-01
O75581	P49841	20	5.62500e-01
P49841	P25054	20	5.62500e-01
P49841	P35222	21	5.62500e-01
P49841	Q15797	22	5.62500e-01
P13569	P98082	23	5.62500e-01
P34925	P13569	23	5.62500e-01
Q01973	P19474	24	5.62500e-01
P19474	P25054	24	5.62500e-01
Q01973	P00533	25	5.62500e-01
P00533	P35222	25	5.62500e-01
P00533	P37231	26	5.62500e-01
Q01973	P12931	27	5.62500e-01
P12931	P35222	27	5.62500e-01
P12931	P98082	28	5.62500e-01
Q01974	O43318	29	5.62500e-01
O43318	P98082	29	5.62500e-01
Q01974	Q15038	30	5.62500e-01
Q15038	Q9NQB0	30	5.62500e-01
Q07954	P00533	31	5.62500e-01
Q13467	O14640	33	5.62500e-01
Q13467	O14641	36	5.62500e-01
Q13467	Q92997	38	5.62500e-01
Q14332	O14640	39	5.62500e-01
Q14332	O14641	42	5.62500e-01
Q14332	Q92997	44	5.62500e-01
Q9H461	O14640	45	5.62500e-01
Q9H461	O14641	48	5.62500e-01
Q9H461	Q92997	50	5.62500e-01
Q9NPG1	O14640	51	5.62500e-01
Q9NPG1	O14641	54	5.62500e-01
Q9NPG1	Q92997	56	5.62500e-01
Q9ULW2	O14640	57	5.62500e-01
Q9ULW2	O14641	60	5.62500e-01
Q9ULW2	Q92997	62	5.62500e-01
Q9UP38	O14640	63	5.62500e-01
Q9UP38	O14641	66	5.62500e-01
Q9UP38	Q92997	68	5.62500e-01
Q07954	Q99853	69	5.56077e-01
Q99853	P35222	69	5.56077e-01
O75581	Q03135	70	5.33062e-01
Q03135	P37231	70	5.33062e-01
Q9UP38	Q08379	71	5.33062e-01
Q08379	P25054	71	5.33062e-01
Q15717	Q9NQB0	72	5.05164e-01
P34925	Q15717	72	5.05164e-01
Q07954	P98082	73	4.92293e-01
O75197	O14640	74	4.69140e-01
O75197	O14641	77	4.69140e-01
O75197	Q92997	79	4.69140e-01
O75581	O14640	80	4.69140e-01
