#tail	head	KSP index
SRC	P00533	1
SRC	P29323	2
SRC	P04626	3
SRC	P23229	4
SRC	P16144	5
SRC	P08581	6
SRC	Q04912	7
P00533	P10275	8
P00533	P23229	9
P00533	P16144	10
P29323	P16144	11
P04626	P27986	12
P04626	P23229	13
P04626	P16144	14
P23229	Q16787	15
P23229	P07942	16
P23229	P55268	17
P23229	P00533	18
P23229	P25391	19
P23229	P24043	20
P23229	O95631	21
P23229	P48509	22
P23229	Q9UMD9	23
P23229	P16144	24
P23229	Q13753	25
P23229	P08865	26
P23229	Q13751	27
P23229	P11047	28
P23229	O15230	29
P23229	P04626	30
P16144	P56537	31
P16144	P07947	32
P16144	P04626	33
P16144	Q15149	34
P16144	P23229	35
P16144	P00533	36
P16144	P31946	37
P16144	P29353	38
P16144	O95631	39
P16144	Q96RT1	40
P16144	P08581	41
P16144	Q9UMD9	42
P16144	P27348	43
P16144	P42338	44
P16144	P42336	45
P16144	Q03001	46
P16144	Q9UQC9	47
P16144	O00459	48
P16144	O00329	49
P16144	Q92569	50
P16144	P27986	51
P16144	P48736	52
P16144	Q06124	53
P16144	P08670	54
P16144	A8K7I4	55
P16144	P06241	56
P16144	Q05397	57
P08581	P16144	58
Q04912	P63104	59
Q04912	Q04917	60
Q04912	P27348	61
Q04912	P31947	62
Q04912	P31946	63
Q04912	P62258	64
P63104	Q04912	65
Q04917	Q04912	66
P27348	Q04912	67
P27348	P16144	68
P31947	Q04912	69
P31946	Q04912	70
P31946	P16144	71
P62258	Q04912	72
P56537	P16144	73
P07947	P16144	74
Q15149	Q9UMD9	75
Q15149	P16144	76
Q15149	Q32MK0	77
P29353	P62993	78
P29353	P16144	79
O95631	P23229	80
O95631	P16144	81
Q96RT1	Q03001	82
Q96RT1	P16144	83
Q9UMD9	P23229	84
Q9UMD9	Q15149	85
Q9UMD9	P16144	86
Q9UMD9	Q03001	87
Q9UMD9	P15924	88
P42338	P48736	89
P42338	O00459	90
P42338	P16144	91
P42338	O00329	92
P42338	Q92569	93
P42338	P27986	94
P42338	P42336	95
P42336	P27986	96
P42336	O00329	97
P42336	P48736	98
P42336	P42338	99
P42336	P16144	100
P42336	Q92569	101
P42336	O00459	102
Q03001	Q9UMD9	103
Q03001	P16144	104
Q03001	Q96RT1	105
Q9UQC9	P16144	106
O00459	P48736	107
O00459	Q92569	108
O00459	P42338	109
O00459	P42336	110
O00459	P27986	111
O00459	P16144	112
O00459	O00329	113
O00329	P42336	114
O00329	P42338	115
O00329	Q92569	116
O00329	O00459	117
O00329	P27986	118
O00329	P48736	119
O00329	P16144	120
Q92569	P27986	121
Q92569	P48736	122
Q92569	O00459	123
Q92569	P42338	124
Q92569	P42336	125
Q92569	O00329	126
Q92569	P16144	127
P27986	P31749	128
P27986	O00459	129
P27986	Q92569	130
P27986	O00329	131
P27986	P42336	132
P27986	P42338	133
P27986	P48736	134
P27986	P16144	135
P48736	O00329	136
P48736	P42338	137
P48736	Q92569	138
P48736	O00459	139
P48736	P27986	140
P48736	P42336	141
P48736	P16144	142
Q06124	P16144	143
P08670	P16144	144
A8K7I4	P16144	145
P06241	P16144	146
Q05397	P62993	147
Q05397	P12931	148
Q05397	P16144	149
P62993	P29353	150
P12931	Q05397	151
P31749	Q04912	152
P31749	Q92934	153
P15924	Q9UMD9	154
Q32MK0	Q15149	155
Q16787	P23229	156
Q16787	P16144	157
Q16787	Q13751	158
Q16787	Q13753	159
P07942	P23229	160
P07942	P25391	161
P07942	P24043	162
P07942	O15230	163
P07942	P16144	164
P07942	P11047	165
P55268	P23229	166
P55268	P24043	167
P55268	O15230	168
P55268	P16144	169
P55268	P11047	170
P25391	P07942	171
P25391	P23229	172
P25391	P16144	173
P25391	P11047	174
P24043	P07942	175
P24043	P23229	176
P24043	P55268	177
P24043	P16144	178
P24043	P11047	179
P48509	P23229	180
Q13753	P23229	181
Q13753	P16144	182
Q13753	Q13751	183
Q13753	Q16787	184
P08865	P23229	185
Q13751	P23229	186
Q13751	P16144	187
Q13751	Q13753	188
Q13751	Q16787	189
P11047	P07942	190
P11047	P23229	191
P11047	P25391	192
P11047	P24043	193
P11047	O15230	194
P11047	P55268	195
P11047	P16144	196
O15230	P07942	197
O15230	P55268	198
O15230	P23229	199
O15230	P16144	200
O15230	P11047	201
P10275	P00533	202
P10275	SNK	203
