#tail	head	KSP index
SRC	P01133	1
SRC	P00533	2
SRC	P04626	3
SRC	P21860	4
SRC	Q8NFM7	5
SRC	P10586	6
P01133	Q07890	7
P01133	P62736	8
P01133	Q13191	9
P01133	P00533	10
P01133	P62993	11
P01133	P22681	12
P01133	P29353	13
P01133	P52735	14
P01133	Q07889	15
P01133	Q9UJM3	16
P01133	O00459	17
P01133	P63104	18
P01133	P00403	19
P01133	P27986	20
P01133	P62316	21
P01133	P0CG47	22
P01133	P36542	23
P00533	P31749	24
P00533	P15498	25
P00533	Q13882	26
P00533	O14939	27
P00533	Q15149	28
P00533	P42566	29
P00533	O15524	30
P00533	P62993	31
P00533	P18031	32
P00533	P63010	33
P00533	Q04695	34
P00533	Q13153	35
P00533	Q8WU20	36
P00533	Q05397	37
P00533	Q9UKW4	38
P00533	P62736	39
P00533	Q9UJM3	40
P00533	P10644	41
P00533	P00403	42
P00533	O15530	43
P00533	P04626	44
P00533	Q6P1N0	45
P00533	O15357	46
P00533	P13987	47
P00533	P42224	48
P00533	O14543	49
P00533	P20936	50
P00533	O00750	51
P00533	Q07912	52
P00533	Q06190	53
P00533	Q6WCQ1	54
P00533	Q12929	55
P00533	P46108	56
P00533	P05783	57
P00533	P18085	58
P00533	P58107	59
P00533	Q13546	60
P00533	P63104	61
P00533	Q99558	62
P00533	P27986	63
P00533	Q9ULV8	64
P00533	P46940	65
P00533	P0CG47	66
P00533	P36542	67
P00533	P29353	68
P00533	P16333	69
P00533	Q03135	70
P00533	O95630	71
P00533	Q13393	72
P00533	O60496	73
P00533	P42229	74
P00533	Q13191	75
P00533	P51692	76
P00533	Q9H0H5	77
P00533	P29350	78
P00533	Q99700	79
P00533	Q9H706	80
P00533	O95782	81
P00533	P28482	82
P00533	Q07889	83
P00533	P19174	84
P00533	Q2TAY7	85
P00533	Q13322	86
P00533	Q00169	87
P00533	O00459	88
P00533	P23458	89
P00533	O60674	90
P00533	P05787	91
P00533	Q02750	92
P00533	Q07890	93
P00533	P53680	94
P00533	Q16695	95
P00533	P21860	96
P00533	Q06124	97
P00533	P22681	98
P00533	P52735	99
P00533	P41240	100
P00533	O75368	101
P00533	P08729	102
P00533	P17252	103
P00533	P25098	104
P00533	O15492	105
P00533	O43639	106
P00533	P40763	107
P00533	P12931	108
P00533	Q05655	109
P00533	P13688	110
P00533	Q13480	111
P00533	P62316	112
P00533	P42858	113
P00533	O15162	114
P00533	Q8NFM7	115
P04626	P00533	116
Q8NFM7	P00533	117
P31749	Q12778	118
P31749	Q6P1N0	119
P31749	P42224	120
P31749	P00533	121
P31749	P04049	122
P31749	P98177	123
P15498	P00533	124
Q13882	P00533	125
Q13882	Q07666	126
Q13882	P49023	127
Q13882	Q92625	128
O14939	P00533	129
O14939	Q13393	130
O14939	Q00535	131
O14939	P19174	132
O14939	P61764	133
Q15149	P53680	134
Q15149	Q16695	135
Q15149	P63010	136
Q15149	P00533	137
Q15149	P62993	138
Q15149	P46940	139
Q15149	Q6WCQ1	140
Q15149	P29353	141
Q15149	Q9H0H5	142
Q15149	P52735	143
Q15149	Q13191	144
Q15149	Q04695	145
Q15149	P08729	146
Q15149	O95782	147
Q15149	Q07889	148
Q15149	Q9UKW4	149
Q15149	Q2TAY7	150
Q15149	P13987	151
Q15149	P58107	152
Q15149	P62316	153
Q15149	Q06124	154
Q15149	P05787	155
Q15149	P05783	156
P42566	P00533	157
P42566	O95782	158
O15524	P00533	159
P62993	Q6WCQ1	160
P62993	P58107	161
P62993	P27986	162
P62993	P36542	163
P62993	Q8NFH8	164
P62993	Q13153	165
P62993	Q9H0H5	166
P62993	Q2TAY7	167
P62993	Q07890	168
P62993	P46940	169
P62993	Q13233	170
P62993	P62316	171
P62993	Q9UQC2	172
P62993	Q9UJM3	173
P62993	P10644	174
P62993	P13987	175
P62993	Q96D71	176
P62993	Q05209	177
P62993	P63104	178
P62993	P01133	179
P62993	Q9ULV8	180
P62993	P00533	181
P62993	Q9H706	182
P62993	Q04695	183
P62993	Q07912	184
P62993	P52735	185
P62993	P42858	186
P62993	Q15149	187
P62993	Q9UKW4	188
P62993	P00403	189
P62993	O00459	190
P62993	Q06124	191
P62993	P63010	192
P62993	O95782	193
P62993	Q92918	194
P62993	P05787	195
P62993	P05783	196
P62993	P53680	197
P62993	P62736	198
P62993	P22681	199
P62993	Q13191	200
P62993	P46108	201
P62993	P0CG47	202
P62993	P29353	203
P62993	Q07889	204
P62993	Q13480	205
P62993	O00750	206
P62993	Q16695	207
P62993	P08729	208
P18031	P00533	209
P63010	P53680	210
P63010	P05787	211
P63010	Q16695	212
P63010	Q15149	213
P63010	P00533	214
P63010	P62993	215
P63010	P46940	216
P63010	Q6WCQ1	217
P63010	Q9H0H5	218
P63010	P52735	219
P63010	Q13191	220
P63010	Q04695	221
P63010	P08729	222
P63010	O95782	223
P63010	Q07889	224
P63010	Q9UKW4	225
P63010	Q2TAY7	226
P63010	P58107	227
P63010	P62316	228
P63010	Q06124	229
P63010	P29353	230
P63010	P05783	231
P63010	P13987	232
Q04695	P53680	233
Q04695	Q16695	234
Q04695	P63010	235
Q04695	Q15149	236
Q04695	P00533	237
Q04695	P62993	238
Q04695	P46940	239
Q04695	Q6WCQ1	240
Q04695	P29353	241
Q04695	Q9H0H5	242
Q04695	P52735	243
Q04695	Q13191	244
Q04695	P08729	245
Q04695	O95782	246
Q04695	Q07889	247
Q04695	Q9UKW4	248
