#tail	head	KSP index
SRC	P01589	1
SRC	P14784	2
SRC	P31785	3
P01589	P31785	4
P01589	P14784	5
P14784	P42229	6
P14784	P52333	7
P14784	P42224	8
P14784	P31785	9
P14784	P07948	10
P14784	P29353	11
P14784	P43405	12
P14784	P06239	13
P14784	P01589	14
P14784	P40763	15
P14784	P27986	16
P14784	P51692	17
P14784	P55884	18
P14784	O00459	19
P14784	Q15464	20
P14784	P23458	21
P14784	P04049	22
P14784	Q9NSE2	23
P14784	P06241	24
P31785	P52333	25
P31785	Q15464	26
P31785	P27986	27
P31785	P14784	28
P31785	P01589	29
P52333	P42229	30
P52333	O14543	31
P52333	P31785	32
P52333	P35568	33
P52333	Q9Y4H2	34
P52333	Q14289	35
P52333	P40763	36
P52333	P14784	37
P52333	P09327	38
P52333	Q15464	39
P52333	P23458	40
Q15464	P23458	41
Q15464	P52333	42
Q15464	P14784	43
Q15464	P31785	44
P27986	O00459	45
P27986	P40763	46
P27986	P23443	47
P27986	Q06124	48
P27986	Q9UQC2	49
P42229	P46109	50
P42229	P46108	51
P42229	P40763	52
P42229	Q13287	53
P42229	P51692	54
P42229	P14784	55
P42229	SNK	56
P42224	P14784	57
P42224	SNK	58
P07948	P14784	59
P07948	P27361	60
P29353	P62993	61
P29353	P46109	62
P29353	P14784	63
P29353	Q07889	64
P29353	P22681	65
P43405	P14784	66
P06239	P14784	67
P06239	P27986	68
P06239	P28482	69
P40763	P42229	70
P40763	P14784	71
P40763	P51692	72
P40763	SNK	73
P51692	P42229	74
P51692	P04150	75
P51692	P46109	76
P51692	P46108	77
P51692	P14921	78
P51692	P40763	79
P51692	Q13287	80
P51692	P14784	81
P51692	P15036	82
P51692	SNK	83
P55884	P14784	84
O00459	P27986	85
O00459	P23443	86
O00459	Q06124	87
O00459	P40763	88
O00459	Q9UQC2	89
P23458	P35568	90
P23458	P29353	91
P23458	P43405	92
P23458	Q9Y4H2	93
P23458	P14784	94
P23458	O75886	95
P23458	O00459	96
P23458	Q15464	97
P23458	P27986	98
P23458	O14543	99
P04049	P14784	100
Q9NSE2	P14784	101
P06241	P27986	102
P06241	P14784	103
P06241	O00459	104
P23443	P62753	105
P23443	O14746	106
Q06124	P62993	107
Q06124	O00459	108
Q06124	P42229	109
Q06124	P46109	110
Q06124	P27986	111
Q06124	P51692	112
Q9UQC2	P62993	113
Q9UQC2	P46109	114
Q9UQC2	O00459	115
Q9UQC2	P27986	116
Q9UQC2	Q06124	117
P62993	Q9UQC2	118
P62993	Q06124	119
P62993	P22681	120
P62993	P46109	121
P62993	P29353	122
P62993	Q07889	123
P46109	P42229	124
P46109	P62993	125
P46109	P22681	126
P46109	P29353	127
P46109	Q9UQC2	128
P46109	P51692	129
P46109	O00459	130
P46109	P27986	131
P46109	Q06124	132
P04150	P51692	133
P04150	SNK	134
P46108	P42229	135
P46108	P51692	136
P46108	P22681	137
P14921	P51692	138
P14921	SNK	139
Q13287	P42229	140
Q13287	P51692	141
Q13287	SNK	142
P15036	P51692	143
P15036	SNK	144
P22681	P62993	145
P22681	P46109	146
P22681	P46108	147
P22681	P27986	148
P22681	O00459	149
P22681	P29353	150
Q07889	P62993	151
Q07889	P29353	152
O14746	P23443	153
O14746	P31749	154
O14746	P07900	155
O14746	P42345	156
P31749	O43524	157
P31749	O14746	158
P07900	P31749	159
P07900	O14746	160
P42345	O14746	161
O43524	SNK	162
P35568	P52333	163
P35568	P27986	164
P35568	P23458	165
Q9Y4H2	P52333	166
Q9Y4H2	P23458	167
O14543	P14784	168
O14543	P23458	169
Q14289	P52333	170
P09327	P52333	171
P28482	Q9UQC2	172
P28482	Q9NQ66	173
P28482	P24864	174
P28482	P24941	175
P28482	P06239	176
P28482	P40763	177
P24864	P28482	178
P24864	P24941	179
P24941	P24864	180
P24941	P28482	181
P27361	P19419	182
P27361	Q9UQC2	183
P27361	P07948	184
P27361	P40763	185
P27361	Q9NQ66	186
P19419	SNK	187
