#tail	head	KSP index
SRC	P32927	1
SRC	P19235	2
SRC	P16871	3
SRC	P10721	4
SRC	Q92729	5
SRC	O00220	6
P32927	P10721	7
P19235	P10721	8
P16871	P10721	9
P10721	P42229	10
P10721	P42679	11
P10721	P52333	12
P10721	P42224	13
P10721	Q14451	14
P10721	P15498	15
P10721	Q99704	16
P10721	P07947	17
P10721	O14544	18
P10721	P20936	19
P10721	P07948	20
P10721	P42680	21
P10721	P51692	22
P10721	P07332	23
P10721	P29353	24
P10721	P29350	25
P10721	Q13588	26
P10721	Q13191	27
P10721	P06241	28
P10721	P42336	29
P10721	Q96B97	30
P10721	P46108	31
P10721	Q92729	32
P10721	Q8WXH5	33
P10721	Q00610	34
P10721	P08631	35
P10721	P19174	36
P10721	P12931	37
P10721	P62993	38
P10721	Q13322	39
P10721	P32927	40
P10721	O00459	41
P10721	P22681	42
P10721	O75159	43
P10721	Q7Z699	44
P10721	P27986	45
P10721	Q9ULZ2	46
P10721	Q06187	47
P10721	Q92835	48
P10721	O15524	49
P10721	O60674	50
P10721	Q13257	51
P10721	P19235	52
P10721	P46109	53
P10721	Q06124	54
P10721	P16871	55
P10721	Q7Z698	56
P10721	Q9UQQ2	57
P10721	O75970	58
P10721	O14492	59
Q92729	P10721	60
O00220	Q06187	61
Q06187	O00220	62
Q06187	P10721	63
P42229	P42224	64
P42229	P51692	65
P42229	SNK	66
P42679	P10721	67
P52333	P19174	68
P52333	P10721	69
P42224	P42229	70
P42224	P51692	71
P42224	P10721	72
P42224	SNK	73
Q14451	P10721	74
P15498	O15524	75
Q99704	P08631	76
Q99704	P07947	77
Q99704	P20936	78
Q99704	P09769	79
Q99704	P42680	80
Q99704	P00519	81
Q99704	P07332	82
Q99704	P29353	83
Q99704	P46109	84
Q99704	P19174	85
Q99704	P12931	86
Q99704	O00459	87
Q99704	P10721	88
Q99704	P27986	89
Q99704	Q92835	90
P07947	Q99704	91
P07947	P10721	92
O14544	P10721	93
P20936	P10721	94
P20936	Q99704	95
P07948	P42680	96
P07948	P10721	97
P07948	Q99704	98
P42680	Q99704	99
P42680	P07948	100
P42680	P29353	101
P42680	P10721	102
P51692	P42229	103
P51692	P42224	104
P51692	SNK	105
P07332	Q99704	106
P07332	P10721	107
P29353	P42680	108
P29353	P62993	109
P29353	Q99704	110
P29353	Q07889	111
P29353	P22681	112
P29350	P10721	113
Q13588	P10721	114
Q13191	Q96B97	115
Q13191	P10721	116
Q13191	P22681	117
P06241	P10721	118
P06241	P07332	119
Q96B97	Q13191	120
Q96B97	P10721	121
P46108	P27986	122
Q8WXH5	P10721	123
Q00610	P10721	124
P08631	Q99704	125
P08631	P10721	126
P19174	Q99704	127
P19174	P10721	128
P19174	P52333	129
P12931	Q99704	130
P12931	P27986	131
P12931	P10721	132
P62993	O15524	133
P62993	Q06124	134
P62993	P22681	135
P62993	P29353	136
P62993	Q07889	137
Q13322	P31749	138
Q13322	P10721	139
O00459	Q99704	140
O00459	P27986	141
P22681	P62993	142
P22681	P46109	143
P22681	P27986	144
P22681	Q13191	145
P22681	O00459	146
P22681	P10721	147
P22681	P29353	148
O75159	P10721	149
Q7Z699	P10721	150
P27986	O00459	151
P27986	Q99704	152
Q9ULZ2	P10721	153
Q92835	Q99704	154
Q92835	P10721	155
O15524	P62993	156
O15524	P15498	157
O15524	P10721	158
O60674	P10721	159
Q13257	P10721	160
P46109	Q99704	161
P46109	P22681	162
P46109	O00459	163
P46109	P27986	164
Q06124	P62993	165
Q06124	P10721	166
Q7Z698	P10721	167
Q9UQQ2	P10721	168
O75970	P10721	169
O14492	P10721	170
Q07889	P62993	171
Q07889	P29353	172
P09769	Q99704	173
P00519	Q99704	174
P00519	SNK	175
P31749	O43524	176
P31749	Q92934	177
P31749	Q13322	178
P31749	P49840	179
O43524	SNK	180
