#tail	head	KSP index
SRC	Q9Y6Q6	1
SRC	P20333	2
SRC	P28908	3
SRC	Q8IV45	4
Q9Y6Q6	Q9Y4K3	5
P20333	P43405	6
P20333	Q13200	7
P20333	Q12933	8
P20333	P19438	9
P20333	P42224	10
P20333	Q9Y297	11
P20333	Q9BXW9	12
P20333	Q9UKB1	13
P20333	Q15628	14
P20333	Q9UHD2	15
P20333	Q14644	16
P28908	Q12933	17
Q8IV45	Q04206	18
Q04206	Q13547	19
Q04206	P25963	20
Q04206	Q96BH1	21
Q04206	Q92793	22
Q04206	Q5VVH5	23
Q04206	P19838	24
Q04206	Q92769	25
Q04206	O43823	26
Q04206	Q9Y6X2	27
Q04206	O75582	28
Q04206	Q09472	29
Q04206	Q8IV45	30
Q04206	P29590	31
Q04206	P27348	32
Q04206	Q9UNN5	33
Q04206	Q01201	34
Q04206	Q04864	35
Q04206	Q13576	36
Q04206	Q9UN86	37
Q04206	Q8N668	38
Q04206	Q8NFZ5	39
Q04206	Q15653	40
Q04206	O00221	41
Q04206	Q00653	42
Q04206	P41279	43
Q04206	Q8WUF5	44
Q04206	Q96RU7	45
Q04206	SNK	46
Q13547	Q92769	47
Q13547	Q04206	48
Q13547	SNK	49
P25963	Q9NYS0	50
P25963	Q9NYR9	51
P25963	P04792	52
P25963	P19838	53
P25963	P27348	54
P25963	Q13616	55
P25963	Q9UN86	56
P25963	P63165	57
P25963	P63208	58
P25963	P33992	59
P25963	P33993	60
P25963	Q8N668	61
P25963	Q04206	62
P25963	Q15653	63
P25963	O95163	64
P25963	P12931	65
P25963	Q00653	66
P25963	Q04864	67
P25963	SNK	68
Q96BH1	Q04206	69
Q92793	Q04206	70
Q92793	O15111	71
Q92793	SNK	72
Q5VVH5	P08107	73
Q5VVH5	Q04206	74
Q5VVH5	P11142	75
P19838	Q9BYH8	76
P19838	P25963	77
P19838	P35606	78
P19838	O00505	79
P19838	P20749	80
P19838	Q04864	81
P19838	O00221	82
P19838	Q01201	83
P19838	O60271	84
P19838	Q04206	85
P19838	Q00653	86
P19838	Q15653	87
