#tail	head	KSP index
SRC	P32927	1
SRC	P19235	2
SRC	P16871	3
SRC	P10721	4
SRC	Q92729	5
SRC	O00220	6
P32927	P10721	7
P19235	P10721	8
P16871	P10721	9
P10721	P15498	10
P10721	P20936	11
P10721	O15524	12
P10721	Q13191	13
P10721	O00459	14
P10721	O75159	15
P10721	P19235	16
P10721	Q9ULZ2	17
P10721	Q06187	18
P10721	Q7Z698	19
P10721	O14492	20
P10721	P42229	21
P10721	P42224	22
P10721	Q99704	23
P10721	O14544	24
P10721	Q13588	25
P10721	P46109	26
P10721	P46108	27
P10721	Q00610	28
P10721	P42336	29
P10721	P42680	30
P10721	P62993	31
P10721	P27986	32
P10721	Q92835	33
P10721	Q13257	34
P10721	Q06124	35
P10721	P08631	36
P10721	Q14451	37
P10721	P32927	38
P10721	Q7Z699	39
P10721	P07947	40
P10721	P07948	41
P10721	P51692	42
P10721	P07332	43
P10721	P29353	44
P10721	Q96B97	45
P10721	Q8WXH5	46
P10721	P19174	47
P10721	Q13322	48
P10721	O60674	49
P10721	P42679	50
P10721	P52333	51
P10721	Q92729	52
P10721	P22681	53
P10721	P16871	54
P10721	Q9UQQ2	55
P10721	O75970	56
Q92729	P10721	57
O00220	Q06187	58
Q06187	P10721	59
Q06187	O00220	60
P15498	O15524	61
P20936	Q99704	62
P20936	P10721	63
O15524	P15498	64
O15524	P62993	65
O15524	P10721	66
Q13191	Q96B97	67
Q13191	P10721	68
Q13191	P22681	69
O00459	Q99704	70
O00459	P27986	71
O75159	P10721	72
O14492	P10721	73
P42229	P42224	74
P42229	P51692	75
P42229	SNK	76
P42224	P42229	77
P42224	P51692	78
P42224	SNK	79
Q99704	P08631	80
Q99704	P07947	81
Q99704	P20936	82
Q99704	P09769	83
Q99704	P00519	84
Q99704	P29353	85
Q99704	P46109	86
Q99704	P19174	87
Q99704	P12931	88
Q99704	O00459	89
Q99704	P10721	90
Q99704	P27986	91
Q99704	Q92835	92
O14544	P10721	93
Q13588	P10721	94
P46109	Q99704	95
P46109	P27986	96
P46109	O00459	97
P46109	P22681	98
P46108	P27986	99
Q00610	P10721	100
P42680	Q99704	101
P42680	P29353	102
P42680	P10721	103
P62993	O15524	104
P62993	Q07889	105
P62993	Q06124	106
P62993	P22681	107
P62993	P29353	108
P27986	Q99704	109
P27986	O00459	110
P27986	P12931	111
Q92835	P10721	112
Q92835	Q99704	113
Q13257	P10721	114
Q06124	P62993	115
Q06124	Q9UQC2	116
P08631	P10721	117
P08631	Q99704	118
Q14451	P10721	119
P07947	Q99704	120
P07947	P10721	121
P07948	P42680	122
P07948	Q99704	123
P07948	P10721	124
P51692	P42229	125
P51692	P42224	126
P51692	SNK	127
P29353	P62993	128
P29353	Q99704	129
P29353	P42680	130
P29353	Q07889	131
P29353	P22681	132
Q96B97	Q13191	133
Q96B97	P10721	134
Q8WXH5	P10721	135
P19174	Q99704	136
P19174	P10721	137
Q13322	P31749	138
Q13322	P10721	139
O60674	P10721	140
P42679	P10721	141
P52333	P10721	142
P22681	Q13191	143
P22681	P62993	144
P22681	P46109	145
P22681	P27986	146
P22681	P29353	147
P22681	O00459	148
P22681	P10721	149
Q9UQQ2	P10721	150
O75970	P10721	151
P12931	P10721	152
P12931	P27986	153
P12931	Q99704	154
P09769	Q99704	155
P00519	Q99704	156
P00519	SNK	157
Q9UQC2	Q06124	158
P31749	Q92934	159
P31749	P49840	160
P31749	O43524	161
O43524	SNK	162
