negatives
"('Q9UMX1', 'P08151')"
"('P56192', 'O43324')"
"('P62829', 'P62891')"
"('Q15942', 'Q96BD5')"
"('P20618', 'Q16401')"
"('P51451', 'P08581')"
"('Q6P988', 'Q93098')"
"('O43752', 'Q12789')"
"('Q9GZP4', 'P41229')"
"('O95816', 'P33992')"
"('O95299', 'Q9Y3E0')"
"('P49006', 'P11233')"
"('Q9NWH9', 'P35226')"
"('P36639', 'Q13617')"
"('Q03154', 'P09211')"
"('A2A2Y4', 'P48047')"
"('A6NCN2', 'P42229')"
"('O75665', 'P50570')"
"('P04899', 'Q9NR12')"
"('Q12982', 'P10415')"
"('O43542', 'P11498')"
"('O00148', 'Q8IVT5')"
"('Q15906', 'Q9Y4A5')"
"('Q8IWE4', 'Q15717')"
"('P60370', 'Q8WW18')"
"('P46531', 'Q96J02')"
"('Q9Y4I1', 'P35579')"
"('Q8IXL6', 'Q14766')"
"('Q02447', 'P37173')"
"('P62805', 'P41250')"
"('O15258', 'Q96GX1')"
"('P50914', 'P08238')"
"('Q9NXR8', 'Q9UIG0')"
"('Q8N9E0', 'Q8N7W2')"
"('P53999', 'O75531')"
"('Q5T8P6', 'P06400')"
"('Q14764', 'P00156')"
"('Q9NTJ5', 'P53618')"
"('P04629', 'P63010')"
"('Q99584', 'Q13043')"
"('P04637', 'Q8N3R9')"
"('Q9UQB9', 'Q9Y623')"
"('Q8WUW1', 'O15145')"
"('Q12834', 'P17987')"
"('P50991', 'P13569')"
"('Q96FV9', 'Q9UHR5')"
"('Q6PI77', 'Q8WWY3')"
"('P63173', 'P22392')"
"('P84243', 'Q5S007')"
"('Q9UBS0', 'Q13232')"
"('Q5JUX0', 'P34947')"
"('O75208', 'Q9Y2R0')"
"('Q969P0', 'P15880')"
"('O75489', 'Q9UJZ1')"
"('Q16401', 'O60245')"
"('O15294', 'Q9BTM9')"
"('Q96EA4', 'Q8WXU2')"
"('Q13515', 'Q9UJW9')"
"('O60504', 'Q9BST9')"
"('Q99856', 'Q2M3V2')"
"('O60645', 'P35613')"
"('Q7Z2W9', 'P82933')"
"('P10809', 'Q71U36')"
"('Q8WXA9', 'P23246')"
"('Q13617', 'P36639')"
"('Q9BYR7', 'P59991')"
"('Q13188', 'Q9NRL3')"
"('P05412', 'Q7KZF4')"
"('O00154', 'Q15365')"
"('Q03431', 'Q8TEQ8')"
"('Q96FV3', 'Q6NUM9')"
"('Q7Z3K3', 'P0C853')"
"('Q9H773', 'Q6L8Q7')"
"('O43542', 'P49368')"
"('Q02078', 'P61956')"
"('Q9UHV2', 'Q7Z401')"
"('Q9BUH8', 'O00391')"
"('Q92598', 'Q9H6Z4')"
"('P18206', 'Q0VDD7')"
"('P58107', 'Q8IWV8')"
"('Q9H9A6', 'Q9BT09')"
"('Q8N4F4', 'Q01844')"
"('A7KAX9', 'P12931')"
"('Q96P20', 'Q8IYS2')"
"('Q2TAL8', 'Q9Y5B9')"
"('P46937', 'P18146')"
"('Q9Y3M2', 'Q8TC76')"
"('Q14533', 'P08779')"
"('O43815', 'P63167')"
"('O95751', 'P09067')"
"('Q02750', 'P30086')"
"('Q9BVC4', 'Q14680')"
"('Q6Y7W6', 'P51784')"
"('Q12905', 'P62899')"
"('Q7Z3Y9', 'Q1A5X7')"
"('P56746', 'A6NM45')"
"('Q9Y5X3', 'P53004')"
"('Q8IVT5', 'P01116')"
"('Q13616', 'P05141')"
"('Q16849', 'P60201')"
"('Q14517', 'Q8WZ79')"
"('P00492', 'Q13126')"
"('Q9UHD1', 'O95801')"
"('Q05193', 'Q99962')"
"('Q92878', 'P27694')"
"('P05023', 'Q53GQ0')"
"('P04792', 'O75461')"
"('P09132', 'Q00987')"
"('Q9HAU5', 'P15170')"
"('P51858', 'Q92499')"
"('P06748', 'O95478')"
"('Q9H0D6', 'P15927')"
"('Q13243', 'P61326')"
"('Q13643', 'Q6UXF1')"
"('Q9BY78', 'P20042')"
"('Q9C026', 'Q96PN8')"
"('P08238', 'Q9NP81')"
"('P21333', 'P63104')"
"('Q14157', 'O14980')"
"('Q14653', 'P05014')"
"('Q07065', 'P05412')"
"('Q92793', 'Q13547')"
"('Q9NX40', 'Q15717')"
"('O96017', 'P55290')"
"('Q96ST3', 'Q9BW11')"
"('Q05513', 'O14654')"
"('Q15084', 'P14672')"
"('P33240', 'O43347')"
"('Q9UGJ0', 'P04637')"
"('Q96EB6', 'O14641')"
"('O43318', 'Q9H2X6')"
"('Q86VP6', 'P04259')"
"('Q9BQ95', 'P54725')"
"('P30153', 'P19320')"
"('P50150', 'P63096')"
"('Q15717', 'O95214')"
"('P27635', 'Q9UI10')"
"('A7E2Y1', 'P08574')"
"('P38606', 'Q8IWV7')"
"('Q96RS0', 'Q9Y2D8')"
"('Q9BUN8', 'A0AVI4')"
"('O75530', 'P18124')"
"('P62424', 'P46782')"
"('P17844', 'P20839')"
"('Q8WYP5', 'O95292')"
"('Q92831', 'Q14140')"
"('P58876', 'Q9BTM1')"
"('Q13885', 'Q9BPX7')"
"('A1L188', 'Q3ZCQ8')"
"('Q12824', 'P31749')"
"('Q06830', 'P04406')"
"('Q8WXF1', 'Q16666')"
"('P19320', 'Q15717')"
"('P30480', 'P49720')"
"('Q8TE02', 'P0C7T5')"
"('Q8N9I9', 'Q13404')"
"('Q13617', 'Q13098')"
"('P21333', 'P00973')"
"('Q15654', 'Q8NEC5')"
"('Q9NUX5', 'Q14244')"
"('Q86SX6', 'P05067')"
"('Q5T3J3', 'P54257')"
"('Q96L21', 'P46777')"
"('P60520', 'P49321')"
"('P40937', 'Q9H0W5')"
"('Q9H0C8', 'P31415')"
"('O95785', 'P25054')"
"('Q969P0', 'Q9NY65')"
"('Q86XI6', 'P11217')"
"('O60244', 'P10828')"
"('P25440', 'O96019')"
"('O75586', 'Q9BUE0')"
"('P05787', 'P20333')"
"('O94888', 'Q70CQ2')"
"('P20963', 'P62847')"
"('P21333', 'Q14999')"
"('Q9Y383', 'P08621')"
"('P68036', 'P54252')"
"('Q7L2Z9', 'Q9Y5B9')"
"('Q9NTG7', 'Q9NUB1')"
"('O14544', 'Q08334')"
"('Q92769', 'Q56NI9')"
"('O14810', 'Q9Y508')"
"('Q9UM11', 'P23919')"
"('P50402', 'Q96Q45')"
"('Q96KQ4', 'Q99816')"
"('O43290', 'P55769')"
"('P05198', 'P56192')"
"('Q92598', 'P60520')"
"('P02549', 'Q9H2C0')"
"('Q16627', 'O00574')"
"('Q969U6', 'Q99750')"
"('P54274', 'Q15651')"
"('P01236', 'Q99665')"
"('Q9H0W9', 'P29401')"
"('Q5TA50', 'Q5S007')"
"('P06744', 'Q8WXK1')"
"('O60293', 'P78362')"
"('P23511', 'Q9H4I2')"
"('O75360', 'Q16772')"
"('Q8WV28', 'Q9UKW4')"
"('P13010', 'P09651')"
"('Q92993', 'Q9Y2I6')"
"('Q13617', 'Q8TES7')"
"('Q13330', 'Q9NVP1')"
"('Q13286', 'Q9Y4R8')"
"('P63000', 'P52564')"
"('Q14289', 'Q05655')"
"('Q9UL42', 'Q96SQ5')"
"('Q8N3F8', 'Q9P2R3')"
"('Q4VCS5', 'Q5VTT5')"
"('Q5VWG9', 'Q99733')"
"('Q9UHV9', 'Q99759')"
"('Q14573', 'Q86YM7')"
"('P68036', 'Q96BK5')"
"('Q9H6R7', 'Q9HCP0')"
"('Q14498', 'P13010')"
"('Q03164', 'Q96Q27')"
"('Q15293', 'Q8IX12')"
"('Q99496', 'O14980')"
"('Q96DC9', 'Q16630')"
"('P41182', 'P51671')"
"('P60520', 'P62308')"
"('Q9P2N5', 'O43678')"
"('P16402', 'P09067')"
"('P53992', 'Q9NZC7')"
"('Q15149', 'P55072')"
"('P35226', 'Q2TAY7')"
"('O14777', 'Q9P1Z2')"
"('P62269', 'P62273')"
"('Q9H9A5', 'Q8WUE5')"
"('O60231', 'Q9NRC8')"
"('Q8N6Y0', 'O60573')"
"('Q9NVC6', 'O95988')"
"('Q8TF72', 'P31947')"
"('Q9BYR6', 'Q3LI76')"
"('P02741', 'P49716')"
"('P68104', 'P10301')"
"('O43143', 'Q12962')"
"('P36873', 'Q9Y4K3')"
"('O60504', 'P60006')"
"('Q9Y5P8', 'Q01668')"
"('P19320', 'P17858')"
"('Q9BXA7', 'P50222')"
"('Q8IYD2', 'Q8IVD9')"
"('Q8NCM8', 'P68366')"
"('Q9UHD9', 'P05362')"
"('Q9UHY8', 'Q7L2K0')"
"('Q6P1N9', 'O94903')"
"('P08559', 'O94966')"
"('Q5VTE0', 'P13612')"
