#tail	head	KSP index
SRC	Q9UP38	1
SRC	Q9ULW2	2
SRC	Q14332	3
SRC	Q9NPG1	4
SRC	Q13467	5
SRC	O75084	6
SRC	Q9H461	7
SRC	O00144	8
SRC	Q07954	9
SRC	O75197	10
SRC	O75581	11
SRC	Q01973	12
SRC	Q01974	13
SRC	P34925	14
Q9UP38	Q07954	15
Q9UP38	O75581	16
Q9ULW2	Q13467	17
Q14332	Q01974	18
Q13467	Q9ULW2	19
Q13467	Q01974	20
Q9H461	Q9BXY4	21
Q9H461	O75581	22
Q9H461	Q2MKA7	23
Q9H461	O75197	24
Q9H461	P34925	25
Q07954	Q9UP38	26
O75197	Q9H461	27
O75197	P19022	28
O75197	Q92837	29
O75197	O15169	30
O75581	P19022	31
O75581	Q9BXY4	32
O75581	Q9H461	33
O75581	Q2MKA7	34
O75581	Q9UP38	35
O75581	O15169	36
Q01973	P56703	37
Q01973	P41221	38
Q01974	P41221	39
Q01974	P04628	40
Q01974	P31946	41
Q01974	Q9Y6F9	42
Q01974	Q9H1J7	43
Q01974	P56703	44
Q01974	P56705	45
Q01974	Q14332	46
Q01974	O00755	47
Q01974	P09544	48
Q01974	Q13467	49
Q01974	P56704	50
P34925	P04628	51
P34925	Q9H461	52
P34925	P56704	53
P04628	Q9H461	54
P04628	Q9UEF7	55
P04628	O75581	56
P04628	P34925	57
P04628	Q9BXY4	58
P04628	Q2MKA7	59
P04628	O75197	60
P04628	Q9UP38	61
P04628	Q6UXX9	62
P04628	Q01974	63
P04628	P09544	64
P56704	P41221	65
P56704	O75581	66
P56704	Q9ULV1	67
P56704	Q9H461	68
P56704	O96014	69
P56704	Q9H1J7	70
P56704	P34925	71
P56704	Q01974	72
P56704	O14904	73
P56704	O94907	74
P56704	Q13467	75
P56704	Q9UP38	76
P56704	P56705	77
P56704	Q14332	78
P56704	O00755	79
P41221	Q9NPG1	80
P41221	Q9H461	81
P41221	Q9UEF7	82
P41221	O96014	83
P41221	O75581	84
P41221	Q01973	85
P41221	Q01974	86
P41221	O14904	87
P41221	Q9H1J7	88
P41221	P56704	89
P41221	P56705	90
P41221	Q14332	91
P41221	O00755	92
Q9ULV1	O14745	93
Q9ULV1	P32121	94
Q9ULV1	O14641	95
O96014	P41221	96
O96014	O14904	97
O96014	Q9H1J7	98
O96014	P56704	99
O96014	P56705	100
O96014	O00755	101
Q9H1J7	P41221	102
Q9H1J7	O14904	103
Q9H1J7	O96014	104
Q9H1J7	O00755	105
Q9H1J7	Q9H461	106
Q9H1J7	Q01974	107
Q9H1J7	P56704	108
Q9H1J7	P56705	109
O14904	P41221	110
O14904	Q9H1J7	111
O14904	O00755	112
O14904	O96014	113
O14904	P56704	114
O14904	P56705	115
O94907	O75581	116
O94907	O75197	117
O94907	P56704	118
P56705	Q9UEF7	119
P56705	O96014	120
P56705	Q01974	121
P56705	O14904	122
P56705	Q9H1J7	123
P56705	P56704	124
P56705	O00755	125
P56705	O60353	126
P56705	P41221	127
O00755	P41221	128
O00755	O14904	129
O00755	O96014	130
O00755	Q9H1J7	131
O00755	Q9ULW2	132
O00755	O75084	133
O00755	Q01974	134
O00755	Q13467	135
O00755	O00144	136
O00755	P56704	137
O00755	P56705	138
Q9UEF7	P41221	139
Q9UEF7	P56703	140
Q9UEF7	P04628	141
Q9UEF7	P56705	142
Q9Y6F9	Q01974	143
P56703	O75084	144
P56703	Q9UP38	145
P56703	Q9UEF7	146
P56703	Q01974	147
P56703	Q01973	148
P09544	Q9NPG1	149
P09544	Q9UP38	150
P09544	Q01974	151
P09544	O00144	152
P09544	P04628	153
Q9BXY4	Q9H461	154
Q9BXY4	O75581	155
Q9BXY4	P04628	156
Q2MKA7	Q96MU8	157
Q2MKA7	O75581	158
Q2MKA7	Q9H461	159
Q2MKA7	P04628	160
Q6UXX9	P04628	161
P19022	O75581	162
P19022	P14923	163
P19022	P35222	164
P19022	O75197	165
P19022	O15169	166
O15169	P31749	167
O15169	P19022	168
O15169	O75581	169
O15169	O75197	170
O15169	P48729	171
O15169	Q9Y6R4	172
O15169	Q9Y297	173
O15169	P25054	174
O15169	Q92837	175
O15169	Q155Q3	176
O15169	O14640	177
O15169	O14641	178
O15169	Q92997	179
O15169	P45985	180
O15169	Q13233	181
O15169	P49841	182
O15169	P35222	183
P31749	O15169	184
P31749	Q14397	185
P31749	O14640	186
P31749	P49841	187
P31749	Q9NR80	188
P48729	Q13469	189
P48729	P35222	190
Q9Y6R4	Q155Q3	191
Q9Y6R4	O15169	192
Q9Y297	O15169	193
Q9Y297	P25054	194
Q9Y297	P49841	195
P25054	Q9Y2T1	196
P25054	P36544	197
P25054	Q13418	198
P25054	P14923	199
P25054	P35222	200
P25054	Q9Y297	201
P25054	P49841	202
P25054	O15169	203
P25054	SNK	204
Q92837	O14640	205
Q92837	O75197	206
Q155Q3	P63000	207
Q155Q3	Q9Y6R4	208
Q155Q3	O14641	209
Q155Q3	P45985	210
Q155Q3	O15169	211
O14640	P31749	212
O14640	P49674	213
O14640	P63000	214
O14640	Q14397	215
O14640	Q9BTU6	216
O14640	Q92837	217
O14640	O14986	218
O14640	Q15797	219
O14640	Q9NR80	220
O14640	P49841	221
O14640	O15169	222
O14641	P49407	223
O14641	P63000	224
O14641	Q155Q3	225
O14641	P32121	226
O14641	P61586	227
O14641	O15169	228
Q92997	P98082	229
Q92997	O15169	230
P45985	Q155Q3	231
P45985	O15169	232
Q13233	O15169	233
P49841	P31749	234
P49841	Q01974	235
P49841	Q92837	236
P49841	Q9Y2T1	237
P49841	O15169	238
P49841	Q9Y297	239
P49841	P35222	240
P49841	P25054	241
P49841	Q9NR80	242
P49841	O75474	243
P35222	O00512	244
P35222	O00570	245
P35222	P15923	246
P35222	P15884	247
P35222	P24385	248
P35222	O15169	249
P35222	Q9Y297	250
P35222	Q9UBE8	251
P35222	Q9Y2T1	252
P35222	Q9UJU2	253
P35222	Q13526	254
P35222	P25054	255
P35222	P19022	256
P35222	P12830	257
P35222	P14923	258
P35222	P49841	259
P35222	SNK	260
O00512	P15884	261
O00512	P35222	262
O00570	P35222	263
O00570	SNK	264
P15923	P35222	265
P15923	SNK	266
P15884	O00512	267
P15884	P56545	268
P15884	P35222	269
P15884	SNK	270
Q9UBE8	Q15047	271
Q9UBE8	Q9UJU2	272
Q9UBE8	P15884	273
Q9UBE8	P35222	274
Q9UBE8	Q9P2D1	275
Q9UBE8	P37231	276
Q9Y2T1	P25054	277
Q9Y2T1	P35222	278
Q9UJU2	P35222	279
Q9UJU2	SNK	280
Q13526	P35222	281
P12830	P35222	282
P14923	P19022	283
P14923	P25054	284
P14923	P35222	285
Q9NR80	P31749	286
Q9NR80	Q14397	287
Q9NR80	O14640	288
Q9NR80	P49841	289
Q14397	P31749	290
Q14397	Q9NR80	291
Q14397	O14640	292
Q14397	P49841	293
P49674	P25054	294
P49674	O14640	295
P49674	O14641	296
P49674	Q92997	297
P63000	Q155Q3	298
P63000	O14640	299
P63000	O14641	300
Q9BTU6	O14986	301
Q9BTU6	O14640	302
O14986	Q9BTU6	303
O14986	O14640	304
Q15797	O14640	305
Q15797	SNK	306
P36544	P25054	307
Q13418	P25054	308
Q13418	P49841	309
Q96MU8	Q2MKA7	310
P49407	O14640	311
P49407	O14641	312
P32121	Q9ULV1	313
P32121	O14641	314
P61586	Q9Y4D1	315
P61586	O14641	316
Q9Y4D1	P61586	317
O14745	Q9ULV1	318
P98082	Q92997	319
