#tail	head	KSP index
SRC	P34998	1
SRC	Q13324	2
P34998	O95467	3
P34998	P32121	4
P34998	P04899	5
P34998	P09471	6
P34998	P29992	7
P34998	P35626	8
P34998	P63096	9
P34998	P43250	10
Q13324	P06850	11
P06850	Q13324	12
P06850	P24387	13
P06850	P34998	14
P24387	P06850	15
O95467	P62879	16
O95467	P62873	17
O95467	P16520	18
O95467	O14775	19
P32121	P34998	20
P32121	P35626	21
P32121	P43250	22
P04899	P62879	23
P04899	P62873	24
P04899	O14775	25
P04899	P16520	26
P29992	P34998	27
P35626	P34998	28
P35626	P62879	29
P35626	P62873	30
P35626	O14775	31
P35626	P16520	32
P35626	P32121	33
P63096	P62873	34
P63096	P62879	35
P63096	O14775	36
P63096	P16520	37
P43250	P34998	38
P43250	P32121	39
P62879	P16520	40
P62879	P35626	41
P62879	P63096	42
P62879	P62873	43
P62879	O95467	44
P62879	O14775	45
P62879	P04899	46
P62873	O95467	47
P62873	P62879	48
P62873	P16520	49
P62873	O14775	50
P62873	P35626	51
P62873	P63096	52
P62873	P04899	53
O14775	O95467	54
O14775	P62879	55
O14775	P62873	56
O14775	P16520	57
O14775	P35626	58
O14775	P63096	59
O14775	P04899	60
P16520	P62879	61
P16520	O14775	62
P16520	P35626	63
P16520	P63096	64
P16520	O95467	65
P16520	P04899	66
P16520	P62873	67
