negatives
"('P31947', 'Q9P0L2')"
"('P51991', 'P35637')"
"('P32456', 'P50453')"
"('O60603', 'P17066')"
"('P26373', 'Q16637')"
"('Q96E22', 'P61421')"
"('P05496', 'P56134')"
"('Q07889', 'P15056')"
"('P26368', 'O75533')"
"('Q9H9D4', 'P50479')"
"('Q96SQ5', 'O15198')"
"('Q9H160', 'P09455')"
"('Q8NAF0', 'P41220')"
"('O15287', 'Q8NB91')"
"('Q9BQ83', 'P62826')"
"('Q8NCM8', 'P68363')"
"('Q9NRR5', 'Q8N5R6')"
"('P42684', 'P35580')"
"('Q9HC36', 'O94817')"
"('P18464', 'P61769')"
"('Q9Y2S0', 'O15160')"
"('P06241', 'P78329')"
"('P62877', 'P56645')"
"('P14317', 'Q05193')"
"('Q01081', 'P67809')"
"('P56199', 'P56945')"
"('O75448', 'P37231')"
"('P59998', 'Q07889')"
"('O60566', 'Q8NHZ8')"
"('P60520', 'Q00610')"
"('Q8N2H9', 'Q9Y4K3')"
"('Q86Z14', 'Q9NSA1')"
"('O75626', 'Q8WXG1')"
"('P03901', 'P03891')"
"('P68402', 'Q9UKV3')"
"('Q96BT3', 'Q7Z478')"
"('Q9UKA1', 'P63208')"
"('Q92600', 'Q99759')"
"('P48643', 'Q99459')"
"('Q9NYB0', 'Q96QC0')"
"('O14908', 'Q9Y3T9')"
"('P09467', 'Q63HM2')"
"('P11142', 'Q92844')"
"('P0CG48', 'O14964')"
"('P04049', 'Q07889')"
"('P48039', 'P61952')"
"('O75461', 'P35226')"
"('P01106', 'Q8NHJ6')"
"('Q9H4A6', 'Q92614')"
"('O15056', 'P06241')"
"('P51681', 'P17676')"
"('P19367', 'Q96GD3')"
"('P40424', 'P28356')"
"('P26447', 'P16871')"
"('P21291', 'Q9UHF1')"
"('Q07021', 'Q16629')"
"('P32969', 'P46777')"
"('P11308', 'P10275')"
"('A8K6C2', 'Q969J5')"
"('Q9UNZ2', 'P0CG48')"
"('Q13573', 'Q15796')"
"('P41250', 'P01889')"
"('Q09472', 'Q9UBG7')"
"('Q8IXH6', 'O95166')"
"('P16333', 'O15056')"
"('P63104', 'P61421')"
"('Q9HC98', 'P24390')"
"('C9JDP6', 'P57739')"
"('P35080', 'Q9Y478')"
"('Q9H213', 'Q96NT1')"
"('P15514', 'P29034')"
"('Q13568', 'Q92985')"
"('P22090', 'P62273')"
"('P01106', 'Q1RMZ1')"
"('P56199', 'P08648')"
"('Q99459', 'Q12834')"
"('Q01844', 'Q9NQA5')"
"('Q9H3R5', 'O14777')"
"('O14757', 'O15151')"
"('Q9NR46', 'P22455')"
"('P39687', 'Q12988')"
"('P54646', 'O95822')"
"('P28482', 'P16220')"
"('Q14194', 'Q15102')"
"('O15379', 'Q9Y5X4')"
"('P00533', 'P63010')"
"('Q92831', 'P48443')"
"('Q96HC4', 'P52272')"
"('P62993', 'P20936')"
"('P04637', 'O96019')"
"('P56537', 'P04181')"
"('Q96CW5', 'Q13573')"
"('Q14807', 'P20393')"
"('Q13315', 'O75475')"
"('P05783', 'P61981')"
"('P36578', 'P35268')"
"('Q9NVC6', 'Q6P2C8')"
"('Q8WTS6', 'P26358')"
"('Q04206', 'P25963')"
"('Q02750', 'O15519')"
"('Q16610', 'P28799')"
"('Q15631', 'P30480')"
"('P00519', 'P98077')"
"('P22362', 'P51686')"
"('O43583', 'Q9ULC4')"
"('Q00653', 'Q13489')"
"('P50876', 'O14933')"
"('Q9Y5B9', 'Q86WJ1')"
"('P25788', 'Q9Y5K5')"
"('O75030', 'P63104')"
"('P00492', 'Q9UET6')"
"('P58166', 'Q96S42')"
"('P10636', 'P62987')"
"('P18754', 'Q8IZ69')"
"('Q05397', 'O94817')"
"('P98164', 'Q99767')"
"('P02647', 'P02745')"
"('406937', 'Q9BST9')"
"('P62495', 'Q8IYD1')"
"('P02775', 'P49238')"
"('O75688', 'P50750')"
"('Q15303', 'Q9H201')"
"('Q07011', 'Q13114')"
"('Q6NV75', 'Q9Y4A5')"
"('Q9BXP5', 'Q12873')"
"('Q9NP98', 'P35609')"
"('Q13956', 'P16499')"
"('Q9UL03', 'O94817')"
"('Q13535', 'Q14683')"
"('Q15155', 'Q969V3')"
"('P62318', 'P83369')"
"('Q12824', 'Q9H5J8')"
"('P60568', 'P10912')"
"('P20226', 'P17947')"
"('P63208', 'P25963')"
"('P05408', 'Q9NRR5')"
"('Q96AH8', 'Q9Y4K3')"
"('Q9H1K1', 'P31947')"
"('Q9HC98', 'Q32P44')"
"('Q14164', 'Q15185')"
"('Q14197', 'P52815')"
"('Q9NX70', 'P50570')"
"('Q9NP84', 'Q13490')"
"('Q9UBU8', 'Q9Y605')"
"('O75940', 'P49137')"
"('P54762', 'Q15768')"
"('Q8WXH2', 'P84022')"
"('P49815', 'P46527')"
"('Q9UBD9', 'P38484')"
"('P15976', 'Q8IX07')"
"('Q96AH8', 'O43237')"
"('P17931', 'P04114')"
"('P51955', 'Q96PX6')"
"('Q06124', 'O00459')"
"('Q9BS18', 'Q12834')"
"('P00533', 'Q13387')"
"('P60228', 'Q14152')"
"('P31689', 'Q04206')"
"('P99999', 'P18206')"
"('P18054', 'P47712')"
"('Q9NZJ5', 'P18848')"
"('Q5T5P2', 'Q8IYF3')"
"('P62993', 'Q9UBS4')"
"('P45973', 'Q9H081')"
