#tail	head	KSP index
SRC	P01589	1
SRC	P14784	2
SRC	P31785	3
P01589	P42229	4
P01589	P52333	5
P01589	P31785	6
P01589	P51692	7
P01589	P48736	8
P01589	P42338	9
P01589	P42336	10
P01589	P23458	11
P01589	P14784	12
P01589	O00459	13
P01589	O00329	14
P01589	Q92569	15
P01589	P27986	16
P01589	O60674	17
P14784	P42229	18
P14784	P52333	19
P14784	P42224	20
P14784	P31785	21
P14784	P07948	22
P14784	P62993	23
P14784	P48736	24
P14784	P29353	25
P14784	P42336	26
P14784	P43405	27
P14784	P06239	28
P14784	P42338	29
P14784	P01589	30
P14784	P40763	31
P14784	P27986	32
P14784	Q92569	33
P14784	P51692	34
P14784	P55884	35
P14784	O00459	36
P14784	O00329	37
P14784	Q15464	38
P14784	P23458	39
P14784	O60674	40
P14784	P04049	41
P14784	Q9NSE2	42
P14784	P06241	43
P31785	P42229	44
P31785	P52333	45
P31785	P42224	46
P31785	P62993	47
P31785	P48736	48
P31785	P29353	49
P31785	O00459	50
P31785	P42338	51
P31785	Q15464	52
P31785	P42336	53
P31785	P27986	54
P31785	Q92569	55
P31785	P14784	56
P31785	O00329	57
P31785	P01589	58
P31785	P23458	59
P31785	O60674	60
P42229	P42224	61
P42229	P31785	62
P42229	P04150	63
P42229	P43405	64
P42229	P46109	65
P42229	P46108	66
P42229	P01589	67
P42229	P40763	68
P42229	Q13287	69
P42229	P51692	70
P42229	P14784	71
P42229	O00459	72
P42229	P27986	73
P42229	Q06124	74
P42229	SNK	75
P52333	P42229	76
P52333	P42224	77
P52333	O14543	78
P52333	P31785	79
P52333	P35568	80
P52333	P51692	81
P52333	Q9Y4H2	82
P52333	P06239	83
P52333	O00329	84
P52333	Q14289	85
P52333	P42338	86
P52333	P40763	87
P52333	P27986	88
P52333	Q92569	89
P52333	P14784	90
P52333	O00459	91
P52333	P09327	92
P52333	Q15464	93
P52333	P23458	94
P52333	P48736	95
P52333	O60674	96
P52333	P42336	97
P52333	Q06124	98
P42224	P31749	99
P42224	O43524	100
P42224	Q13287	101
P42224	P42229	102
P42224	P14784	103
P42224	Q06124	104
P42224	P42345	105
P42224	P31785	106
P42224	P51692	107
P42224	P43405	108
P42224	P40763	109
P42224	SNK	110
P62993	P27986	111
P62993	P23458	112
P62993	P27361	113
P62993	O15524	114
P62993	P43405	115
P62993	Q9UQC2	116
P62993	O60674	117
P62993	O00459	118
P62993	P14784	119
P62993	Q06124	120
P62993	P28482	121
P62993	P22681	122
P62993	P46108	123
P62993	Q14289	124
P62993	P31785	125
P62993	P46109	126
P62993	P29353	127
P62993	P29350	128
P62993	Q07889	129
P62993	P06241	130
P48736	P31749	131
P48736	Q05513	132
P48736	Q06124	133
P48736	O00329	134
P48736	Q14289	135
P48736	P42338	136
P48736	P40763	137
P48736	Q9UQC2	138
P48736	Q92569	139
P48736	O00459	140
P48736	P27986	141
P48736	P42336	142
P48736	P23443	143
P48736	P42345	144
