#tail	head	KSP index
SRC	P04626	1
SRC	Q15303	2
SRC	P05556	3
SRC	P16471	4
P04626	P15498	5
P04626	Q15303	6
P04626	O15524	7
P04626	P48736	8
P04626	P42224	9
P04626	P42338	10
P04626	P42336	11
P04626	P42680	12
P04626	P62993	13
P04626	P27986	14
P04626	Q9NSE2	15
P04626	Q13153	16
P04626	P35568	17
P04626	P29353	18
P04626	Q07889	19
P04626	O00459	20
P04626	O60674	21
P04626	Q02750	22
P04626	Q06124	23
P04626	P52735	24
P04626	Q9UQC2	25
P04626	P12931	26
Q15303	P42229	27
Q15303	P62993	28
Q15303	P22681	29
Q15303	P48736	30
Q15303	P29353	31
Q15303	P42338	32
Q15303	P42336	33
Q15303	P27986	34
Q15303	P51692	35
Q15303	O00459	36
Q15303	P16471	37
Q15303	Q06124	38
Q15303	P04626	39
Q15303	O60674	40
P05556	P48736	41
P05556	P18031	42
P05556	P78324	43
P05556	P16471	44
P05556	P49023	45
P05556	P21333	46
P05556	P42338	47
P05556	P42336	48
P05556	P27986	49
P05556	P29353	50
P05556	P29350	51
P05556	Q07889	52
P05556	O00459	53
P05556	P67775	54
P05556	P12931	55
P16471	P42229	56
P16471	P49069	57
P16471	P15498	58
P16471	P05556	59
P16471	Q92793	60
P16471	P05204	61
P16471	P62937	62
P16471	P61981	63
P16471	Q15303	64
P16471	P35568	65
P16471	P42680	66
P16471	P52735	67
P16471	P43403	68
P16471	P50570	69
P16471	Q9UKB1	70
P16471	P51956	71
P16471	P27986	72
P16471	P12931	73
P16471	Q99490	74
P16471	P63104	75
P16471	O60674	76
P16471	P04049	77
P16471	Q06124	78
P16471	P78324	79
P16471	P06241	80
P16471	Q9Y297	81
P42229	P01236	82
P42229	P42224	83
P42229	P10828	84
P42229	Q99490	85
P42229	P16471	86
P42229	P18031	87
P42229	Q9HC77	88
P42229	P67775	89
P42229	P51692	90
P42229	Q13469	91
P42229	P23284	92
P42229	O00459	93
P42229	P12931	94
P42229	P27986	95
P42229	P10242	96
P42229	Q06124	97
P42229	Q92793	98
P42229	SNK	99
P49069	P23284	100
P49069	P16471	101
P15498	P16333	102
P15498	P16471	103
P15498	P62993	104
P15498	P52735	105
P15498	P50570	106
P15498	P51956	107
P15498	O15524	108
P15498	P22681	109
P15498	P27986	110
P15498	P04626	111
P15498	P04049	112
P15498	P43403	113
Q92793	Q9Y6X2	114
Q92793	P10242	115
Q92793	P16471	116
Q92793	P42229	117
Q92793	P42224	118
Q92793	P10828	119
Q92793	P51692	120
Q92793	Q13469	121
Q92793	Q09472	122
Q92793	P12931	123
Q92793	SNK	124
P05204	P62993	125
P05204	P16471	126
P05204	SNK	127
P62937	P62993	128
P62937	O60674	129
P62937	P16471	130
P62937	P63104	131
P61981	Q9HC77	132
P61981	Q9UQC2	133
P61981	P16471	134
P61981	P63104	135
P61981	P27986	136
P61981	Q13153	137
P61981	Q9Y4H2	138
P61981	P04049	139
P61981	P12931	140
P61981	P22681	141
P35568	P04626	142
P35568	P16471	143
P35568	P62993	144
P35568	P48736	145
P35568	Q07889	146
P35568	P42338	147
P35568	P42336	148
P35568	P27986	149
P35568	Q9NRF2	150
P35568	O00459	151
P35568	O14512	152
P35568	P12931	153
P35568	O60674	154
P35568	Q06124	155
P35568	P06241	156
P42680	P15498	157
P42680	P16471	158
P42680	P29353	159
P42680	P52735	160
P42680	P27986	161
P42680	O00459	162
P42680	O60674	163
P42680	P04626	164
P52735	P15498	165
P52735	O15524	166
P52735	P62993	167
P52735	O00459	168
P52735	P51956	169
P52735	P63104	170
P52735	P27986	171
P52735	P16471	172
P52735	P29353	173
P52735	Q07889	174
P52735	P04626	175
P52735	P22681	176
P43403	P15498	177
P43403	P16471	178
P43403	P62993	179
P43403	P29353	180
P43403	Q07889	181
P43403	P42338	182
P43403	P42336	183
P43403	Q9UQC2	184
P43403	O00459	185
P43403	P27986	186
P43403	P48736	187
P43403	P06241	188
P50570	P23284	189
P50570	P62993	190
P50570	P12931	191
P50570	P15498	192
P50570	O60674	193
P50570	P16471	194
Q9UKB1	P16471	195
Q9UKB1	Q9Y297	196
P51956	P49023	197
P51956	P52735	198
P51956	P16471	199
P51956	P15498	200
P27986	P15498	201
P27986	P42680	202
P27986	O00459	203
P27986	P42336	204
P27986	P61981	205
P27986	P42229	206
P27986	P42338	207
P27986	P21333	208
P27986	P62993	209
P27986	P63104	210
P27986	P48736	211
P27986	P16471	212
P27986	P29353	213
P27986	P29350	214
P27986	P50570	215
P27986	Q07889	216
P27986	P23443	217
P27986	Q06124	218
P27986	P52735	219
P27986	Q9UQC2	220
P12931	P62993	221
P12931	P18031	222
P12931	Q9UQC2	223
P12931	P61981	224
P12931	P42229	225
P12931	Q92793	226
P12931	P21333	227
P12931	P42338	228
P12931	P35568	229
P12931	P42336	230
P12931	P27986	231
P12931	P48736	232
P12931	Q06124	233
P12931	P29353	234
P12931	P29350	235
P12931	P49023	236
P12931	P50570	237
P12931	Q07889	238
P12931	P42224	239
P12931	O00459	240
P12931	P04049	241
P12931	P04626	242
P12931	P16471	243
P12931	P22681	244
P12931	P06241	245
Q99490	P42229	246
Q99490	P27986	247
Q99490	P48736	248
Q99490	P42338	249
Q99490	P42336	250
Q99490	P16471	251
Q99490	O00459	252
P63104	Q9HC77	253
P63104	P27986	254
P63104	Q13153	255
P63104	P16471	256
P63104	Q9Y4H2	257
P63104	P04049	258
P63104	P62993	259
P63104	Q9UQC2	260
P63104	P61981	261
P63104	P52735	262
P63104	P21333	263
P63104	P22681	264
P63104	P29353	265
P63104	Q07889	266
P63104	O00459	267
P63104	P62937	268
O60674	P42229	269
O60674	P42224	270
O60674	P16333	271
O60674	P04626	272
O60674	P62937	273
O60674	Q15303	274
O60674	Q14527	275
O60674	P35568	276
O60674	P42680	277
O60674	P51692	278
O60674	P42338	279
O60674	P48736	280
O60674	P29353	281
O60674	Q9Y4H2	282
O60674	Q13153	283
O60674	Q07889	284
O60674	P67775	285
O60674	Q9NRF2	286
O60674	O00459	287
O60674	P06241	288
O60674	P27986	289
O60674	P50570	290
O60674	P42336	291
O60674	Q06124	292
O60674	P62993	293
O60674	P78324	294
P04049	P15498	295
P04049	P48736	296
P04049	P61981	297
P04049	P42338	298
P04049	P42336	299
P04049	P63104	300
P04049	P27986	301
P04049	P16471	302
P04049	Q07889	303
P04049	O00459	304
P04049	Q02750	305
P04049	P67775	306
P04049	P12931	307
P04049	P06241	308
Q06124	P15498	309
Q06124	Q15303	310
Q06124	P62993	311
Q06124	O00459	312
Q06124	P16471	313
Q06124	P42229	314
Q06124	P49023	315
Q06124	P42224	316
Q06124	O14543	317
Q06124	P42338	318
Q06124	P35568	319
Q06124	P42336	320
Q06124	P78324	321
Q06124	P27986	322
Q06124	P48736	323
Q06124	P51692	324
Q06124	P29353	325
Q06124	Q9Y4H2	326
Q06124	Q07889	327
Q06124	P04626	328
Q06124	P22681	329
Q06124	P52735	330
Q06124	P12931	331
Q06124	P06241	332
P78324	O60674	333
P78324	P29350	334
P78324	Q06124	335
P78324	P05556	336
P78324	P16471	337
P06241	P15498	338
P06241	P16333	339
P06241	P43403	340
P06241	Q9UQC2	341
P06241	P49023	342
P06241	P21333	343
P06241	P42338	344
P06241	P42336	345
P06241	P62993	346
P06241	P27986	347
P06241	P48736	348
P06241	Q06124	349
P06241	O15524	350
P06241	P16471	351
P06241	P35568	352
P06241	P29353	353
P06241	Q07889	354
P06241	O00459	355
P06241	O60674	356
P06241	P04049	357
P06241	P12931	358
Q9Y297	Q9UKB1	359
Q9Y297	P16471	360
P16333	P15498	361
P16333	O15524	362
P16333	Q13153	363
P16333	Q07889	364
P16333	O14512	365
P16333	O60674	366
P16333	P22681	367
P16333	P06241	368
Q9UQC2	P62993	369
Q9UQC2	P48736	370
Q9UQC2	P29353	371
Q9UQC2	P29350	372
Q9UQC2	P43403	373
Q9UQC2	P42338	374
Q9UQC2	P42336	375
Q9UQC2	P12931	376
Q9UQC2	O00459	377
Q9UQC2	P63104	378
Q9UQC2	P27986	379
Q9UQC2	P04626	380
Q9UQC2	P61981	381
Q9UQC2	Q06124	382
P49023	P05556	383
P49023	P18031	384
P49023	P51956	385
P49023	P12931	386
P49023	Q06124	387
P49023	P06241	388
P21333	P62993	389
P21333	P10242	390
P21333	P63104	391
P21333	P27986	392
P21333	Q9NRF2	393
P21333	P05556	394
P21333	P12931	395
P21333	P06241	396
P42338	P48736	397
P42338	P23443	398
P42338	O00459	399
P42338	Q9UQC2	400
P42338	P27986	401
P42338	P50570	402
P42338	P42336	403
P42338	Q06124	404
P42336	Q13153	405
P42336	P27986	406
P42336	P48736	407
P42336	P23443	408
P42336	P42338	409
P42336	Q9UQC2	410
P42336	O00459	411
P42336	P50570	412
P42336	Q06124	413
P62993	P18031	414
P62993	P27986	415
P62993	Q13153	416
P62993	Q9NRF2	417
P62993	Q02750	418
P62993	P15498	419
P62993	O15524	420
P62993	Q9UQC2	421
P62993	P63104	422
P62993	Q09472	423
P62993	O60674	424
P62993	P52735	425
P62993	P21333	426
P62993	O00459	427
P62993	Q06124	428
P62993	P43403	429
P62993	P22681	430
P62993	P05204	431
P62993	P29353	432
P62993	P29350	433
P62993	Q07889	434
P62993	P50570	435
P62993	P62937	436
P62993	P06241	437
P48736	Q06124	438
P48736	P42338	439
P48736	Q9UQC2	440
P48736	O00459	441
P48736	P27986	442
P48736	P50570	443
P48736	P42336	444
P48736	P23443	445
O15524	P42229	446
O15524	P42224	447
O15524	P16333	448
O15524	P04626	449
O15524	P35568	450
O15524	P51692	451
O15524	P52735	452
O15524	Q9Y4H2	453
O15524	P62993	454
O15524	P15498	455
O15524	O00459	456
O15524	P06241	457
O15524	O60674	458
O15524	P16471	459
P29353	P42680	460
P29353	P62993	461
P29353	O00459	462
P29353	Q9UQC2	463
P29353	P63104	464
P29353	P27986	465
P29353	Q06124	466
P29353	Q9Y4H2	467
P29353	Q07889	468
P29353	P05556	469
P29353	P52735	470
P29353	P12931	471
P29353	P22681	472
Q07889	P16333	473
Q07889	P62993	474
Q07889	P48736	475
Q07889	P43403	476
Q07889	P42338	477
Q07889	P42336	478
Q07889	P63104	479
Q07889	P27986	480
Q07889	Q02750	481
Q07889	P35568	482
Q07889	P29353	483
Q07889	O00459	484
Q07889	O60674	485
Q07889	P04049	486
Q07889	P05556	487
Q07889	P04626	488
Q07889	P52735	489
Q07889	P12931	490
Q07889	P22681	491
Q07889	P06241	492
O00459	O15524	493
O00459	P48736	494
O00459	P42229	495
O00459	P42338	496
O00459	P42336	497
O00459	P42680	498
O00459	P62993	499
O00459	P63104	500
O00459	P27986	501
O00459	P29353	502
O00459	P29350	503
O00459	P50570	504
O00459	Q07889	505
O00459	P23443	506
O00459	Q06124	507
O00459	P52735	508
O00459	Q9UQC2	509
P18031	P42229	510
P18031	P49023	511
P18031	P05556	512
P18031	P35568	513
P18031	P62993	514
P18031	Q9Y4H2	515
P18031	P12931	516
P18031	P51692	517
P18031	O60674	518
P29350	P15498	519
P29350	P62993	520
P29350	P43403	521
P29350	Q9UQC2	522
P29350	P78324	523
P29350	O60674	524
P29350	P42229	525
P29350	P12931	526
P29350	P27986	527
P29350	P16471	528
P29350	P51692	529
P29350	O00459	530
P29350	P52735	531
P42224	P42229	532
P42224	Q92793	533
P42224	Q06124	534
P42224	P51692	535
P42224	P04626	536
P42224	P12931	537
P42224	SNK	538
P22681	P15498	539
P22681	P16333	540
P22681	Q15303	541
P22681	P62993	542
P22681	P48736	543
P22681	P43403	544
P22681	P61981	545
P22681	P16471	546
P22681	P42338	547
P22681	P42336	548
P22681	P63104	549
P22681	P27986	550
P22681	Q06124	551
P22681	O00459	552
P22681	O60674	553
