#tail	head	KSP index
SRC	P00533	1
P00533	P62993	2
P00533	P29353	3
P00533	P35568	4
P00533	O95782	5
P00533	P17252	6
P00533	P12931	7
P00533	Q05655	8
P00533	P24385	9
P62993	P46527	10
P62993	P00533	11
P62993	Q15109	12
P62993	O95782	13
P62993	P29353	14
P29353	P62993	15
P29353	Q05655	16
P29353	O95782	17
P29353	P12931	18
P35568	P62993	19
P35568	Q15109	20
P35568	P17252	21
P35568	P12931	22
O95782	P00533	23
O95782	P62993	24
O95782	P29353	25
O95782	O60331	26
P17252	P62993	27
P17252	P61586	28
P17252	P46527	29
P17252	Q15109	30
P17252	P50281	31
P17252	P35568	32
P17252	P12931	33
P17252	P00533	34
P12931	P62993	35
P12931	P35568	36
P12931	P46527	37
P12931	Q05513	38
P12931	Q15109	39
P12931	P29353	40
P12931	P61586	41
P12931	P24385	42
P12931	P00533	43
Q05655	P62993	44
Q05655	P46527	45
Q05655	P00533	46
Q05655	P29353	47
Q05655	P35568	48
Q05655	P50281	49
Q05655	P61586	50
Q05655	P12931	51
P24385	P46527	52
P24385	P24941	53
P24385	P12931	54
P46527	P61586	55
P46527	P24864	56
P46527	P12931	57
P46527	P24941	58
P46527	P62993	59
P46527	P24385	60
P24941	P26038	61
P24941	P24864	62
P24941	P46527	63
P24941	P24385	64
Q05513	P35568	65
Q05513	P62993	66
Q05513	P46527	67
Q05513	P00533	68
Q05513	Q15109	69
Q05513	P12931	70
Q15109	P35568	71
Q15109	P62993	72
Q15109	P50281	73
Q15109	P17252	74
Q15109	Q99836	75
Q15109	P12931	76
Q15109	O60610	77
Q15109	P61586	78
Q15109	Q9NWZ3	79
Q15109	P58753	80
P61586	O60331	81
P61586	Q13464	82
P61586	O60610	83
P61586	P46527	84
P61586	Q15109	85
O60331	O95782	86
Q13464	P61586	87
Q13464	P26038	88
Q13464	O60331	89
O60610	Q15109	90
P50281	Q15109	91
Q99836	Q15109	92
Q99836	Q9NWZ3	93
Q99836	P58753	94
Q9NWZ3	Q15109	95
Q9NWZ3	Q99836	96
P58753	Q15109	97
P58753	Q9NWZ3	98
P58753	Q99836	99
P24864	P46527	100
P24864	P24941	101
P26038	P24941	102
P26038	Q13464	103
