#tail	head	KSP index
SRC	P00533	1
SRC	P29323	2
SRC	P04626	3
SRC	P23229	4
SRC	P16144	5
SRC	P08581	6
SRC	Q04912	7
P00533	Q05397	8
P00533	P62258	9
P00533	P10275	10
P00533	P27986	11
P00533	Q13153	12
P00533	P23229	13
P00533	P35568	14
P00533	Q9Y4H2	15
P00533	P04626	16
P00533	P08581	17
P00533	Q92569	18
P00533	P63104	19
P00533	P12931	20
P00533	Q15149	21
P00533	P31947	22
P00533	P31946	23
P00533	Q9UMD9	24
P00533	P27348	25
P00533	Q06124	26
P00533	P07947	27
P00533	Q05655	28
P00533	P62993	29
P00533	P42338	30
P00533	P42336	31
P00533	P42345	32
P00533	P29353	33
P00533	P16144	34
P00533	O00459	35
P00533	O00329	36
P00533	P42574	37
P29323	P12931	38
P29323	P00519	39
P29323	P16144	40
P29323	P07947	41
P04626	O00459	42
P04626	P62993	43
P04626	Q96RT1	44
P04626	P42338	45
P04626	P23229	46
P04626	P27348	47
P04626	P00533	48
P04626	P42336	49
P04626	P27986	50
P04626	Q06124	51
P04626	Q13153	52
P04626	P29353	53
P04626	P35568	54
P04626	Q05397	55
P04626	P16144	56
P04626	O00329	57
P04626	P00519	58
P04626	P12931	59
P04626	Q92569	60
P04626	P06241	61
P23229	P04626	62
P23229	P00533	63
P23229	O95631	64
P23229	Q05397	65
P23229	P16144	66
P23229	P12931	67
P23229	P08865	68
P23229	P48509	69
P23229	Q9UMD9	70
P16144	Q15149	71
P16144	P62993	72
P16144	P31946	73
P16144	P48736	74
P16144	O95631	75
P16144	Q05397	76
P16144	Q9UQC9	77
P16144	Q92569	78
P16144	P08670	79
P16144	A8K7I4	80
P16144	Q9UMD9	81
P16144	P27348	82
P16144	P42338	83
P16144	P42336	84
P16144	Q03001	85
P16144	P27986	86
P16144	Q06124	87
P16144	P56537	88
P16144	P07947	89
P16144	P23229	90
P16144	P00533	91
P16144	P29353	92
P16144	Q96RT1	93
P16144	O00459	94
P16144	O00329	95
P16144	P04626	96
P16144	P12931	97
P16144	P06241	98
P08581	O00459	99
P08581	Q92569	100
P08581	P42338	101
P08581	P35568	102
P08581	P42336	103
P08581	P62993	104
P08581	P63104	105
P08581	P27986	106
P08581	Q06124	107
P08581	P29353	108
P08581	P07947	109
P08581	P00533	110
P08581	Q04912	111
P08581	Q05397	112
P08581	P16144	113
P08581	O00329	114
P08581	P12931	115
P08581	P42574	116
Q04912	Q04917	117
