#tail	head	KSP index
SRC	P08138	1
SRC	P04629	2
SRC	Q16288	3
SRC	P10586	4
SRC	Q99523	5
P08138	P98077	6
P08138	Q9Y4K3	7
P08138	P04629	8
P08138	Q13501	9
P08138	P35568	10
P08138	P62993	11
P08138	P29353	12
P08138	Q92529	13
P08138	O00459	14
P08138	Q99523	15
P08138	P27986	16
P08138	P63000	17
P08138	Q6S5L8	18
P04629	Q00535	19
P04629	P13591	20
P04629	Q99523	21
P04629	P52735	22
P04629	Q9Y4K3	23
P04629	P10586	24
P04629	Q06124	25
P04629	Q8WU20	26
P04629	P28482	27
P04629	Q92529	28
P04629	P67809	29
P04629	P62993	30
P04629	Q12959	31
P04629	O00459	32
P04629	P46459	33
P04629	P51812	34
P04629	Q96S59	35
P04629	O14492	36
P04629	P27986	37
P04629	P35568	38
P04629	Q9Y4H2	39
P04629	P19174	40
P04629	P08138	41
P04629	P35222	42
P04629	P98077	43
P04629	P67775	44
P04629	P19022	45
P04629	P63244	46
P04629	Q13501	47
P04629	Q6S5L8	48
P04629	P29353	49
P04629	P62753	50
P04629	Q15418	51
P04629	Q16288	52
Q16288	P98077	53
Q16288	P04629	54
Q16288	Q13501	55
Q16288	P35568	56
Q16288	P62993	57
Q16288	P29353	58
Q16288	Q8WU20	59
Q16288	P19174	60
Q16288	P35222	61
Q16288	Q92529	62
Q16288	Q6S5L8	63
Q16288	O14492	64
P10586	P04629	65
P10586	P35568	66
P10586	Q9Y4H2	67
P10586	P28482	68
P10586	P35222	69
P10586	Q16620	70
Q99523	P23560	71
Q99523	P67809	72
Q99523	Q92934	73
Q99523	P01138	74
Q99523	P08138	75
Q99523	P04629	76
P23560	P01138	77
P23560	P04629	78
P23560	Q16288	79
P23560	Q99523	80
P23560	P08138	81
P23560	P20783	82
P23560	P16870	83
P23560	Q16620	84
P67809	Q99523	85
P67809	Q9Y4K3	86
P67809	P28482	87
P67809	P04629	88
P67809	SNK	89
Q92934	P62993	90
Q92934	O75582	91
Q92934	Q99523	92
P01138	P04629	93
P01138	Q16288	94
P01138	Q99523	95
P01138	P08138	96
P01138	P23560	97
P01138	Q16620	98
Q00535	P35222	99
Q00535	P04629	100
Q00535	Q16620	101
P13591	P04629	102
P13591	P19174	103
P52735	P62993	104
P52735	O00459	105
P52735	Q9UKW4	106
P52735	P63000	107
P52735	P27986	108
P52735	P29353	109
P52735	Q13009	110
P52735	P04629	111
P52735	P06241	112
Q9Y4K3	P31749	113
Q9Y4K3	P63000	114
Q9Y4K3	P67809	115
Q9Y4K3	P27986	116
Q9Y4K3	P04629	117
Q9Y4K3	P08138	118
Q9Y4K3	Q9UKW4	119
Q9Y4K3	P28482	120
Q9Y4K3	Q96S59	121
Q9Y4K3	P63244	122
Q9Y4K3	Q13501	123
Q9Y4K3	Q16620	124
Q9Y4K3	P42345	125
Q9Y4K3	O00459	126
Q9Y4K3	P06241	127
Q06124	P62993	128
Q06124	Q9UKW4	129
Q06124	P35568	130
Q06124	P78324	131
Q06124	P27986	132
Q06124	P29353	133
Q06124	Q16620	134
Q06124	Q8WU20	135
Q06124	Q9Y4H2	136
Q06124	P19174	137
Q06124	P35222	138
Q06124	O43559	139
Q06124	O00459	140
Q06124	P04629	141
Q06124	Q8IVT5	142
Q06124	P52735	143
Q8WU20	P62993	144
Q8WU20	Q16288	145
Q8WU20	P62753	146
Q8WU20	Q06124	147
Q8WU20	Q16620	148
P28482	O75582	149
P28482	P67809	150
P28482	Q92934	151
P28482	P04629	152
P28482	P27361	153
P28482	P78536	154
P28482	P16220	155
P28482	P10586	156
P28482	Q15418	157
P28482	Q13541	158
P28482	P23443	159
P28482	Q8WU20	160
P28482	P51812	161
P28482	Q13501	162
P28482	P35568	163
P28482	P29353	164
P28482	O43559	165
P28482	Q8IVT5	166
Q92529	P62993	167
Q92529	P22001	168
P62993	P27986	169
P62993	Q92934	170
P62993	P19174	171
P62993	Q92529	172
P62993	Q9UKW4	173
P62993	P16333	174
P62993	O76039	175
P62993	P17600	176
P62993	P98077	177
P62993	P52735	178
P62993	Q06124	179
P62993	Q8WU20	180
P62993	Q8IZD9	181
P62993	P78324	182
P62993	O14492	183
P62993	Q6S5L8	184
P62993	P29353	185
P62993	O43559	186
P62993	O00459	187
P62993	P06241	188
Q12959	P78536	189
Q12959	P27986	190
Q12959	P04629	191
Q12959	P22001	192
Q12959	P42261	193
O00459	P31749	194
O00459	Q9Y4K3	195
O00459	O15530	196
O00459	P63000	197
O00459	Q13501	198
O00459	P62993	199
O00459	P27986	200
O00459	P42345	201
O00459	P29353	202
O00459	P19174	203
O00459	Q06124	204
O00459	P23443	205
O00459	P52735	206
P46459	P31749	207
P46459	P28472	208
P46459	P04629	209
P46459	P42262	210
P51812	P62753	211
P51812	P67809	212
P51812	Q92934	213
P51812	P04629	214
P51812	Q15418	215
P51812	P16220	216
Q96S59	Q9Y4K3	217
Q96S59	Q16620	218
Q96S59	P04629	219
O14492	P62993	220
O14492	P29353	221
P27986	P31749	222
P27986	Q9Y4K3	223
P27986	P16333	224
P27986	Q9UKW4	225
P27986	O15530	226
P27986	P63000	227
P27986	Q13501	228
P27986	Q06124	229
P27986	P62993	230
P27986	P17600	231
P27986	Q16620	232
P27986	P42345	233
P27986	P29353	234
P27986	P19174	235
P27986	P35222	236
P27986	Q8IZD9	237
P27986	O00459	238
P27986	Q12959	239
P27986	P23443	240
P27986	P52735	241
P35568	Q9Y4H2	242
