#tail	head	KSP index
SRC	Q9BWV1	1
SRC	Q4KMG0	2
SRC	Q13635	3
SRC	Q9Y6C5	4
SRC	P34741	5
SRC	Q99835	6
Q9BWV1	Q4KMG0	7
Q9BWV1	Q13635	8
Q9BWV1	Q9Y6C5	9
Q9BWV1	Q99835	10
Q9BWV1	P35222	11
Q4KMG0	Q9BWV1	12
Q4KMG0	Q13635	13
Q4KMG0	Q9Y6C5	14
Q4KMG0	P35222	15
Q13635	Q9BWV1	16
Q13635	Q4KMG0	17
Q13635	P54826	18
Q13635	Q96QV1	19
Q13635	P25098	20
Q13635	Q99835	21
Q9Y6C5	Q9BWV1	22
Q9Y6C5	P54826	23
Q9Y6C5	Q99835	24
Q9Y6C5	Q4KMG0	25
P34741	Q15465	26
Q99835	Q15465	27
Q99835	P32121	28
Q99835	Q9UMX1	29
Q99835	P17612	30
Q15465	P34741	31
Q15465	P54826	32
Q15465	Q5VTY9	33
Q15465	Q9Y6C5	34
Q15465	Q99835	35
Q15465	Q4KMG0	36
Q15465	Q13635	37
Q15465	Q9BWV1	38
P32121	P08151	39
P32121	P25098	40
P32121	P10070	41
P32121	P10071	42
P32121	Q99835	43
P32121	P62258	44
Q9UMX1	Q9NRP7	45
Q9UMX1	O00422	46
Q9UMX1	Q2M1P5	47
Q9UMX1	Q9Y466	48
Q9UMX1	Q96ST3	49
Q9UMX1	P08151	50
Q9UMX1	P10070	51
Q9UMX1	P10071	52
Q9UMX1	SNK	53
P17612	P08151	54
P17612	Q9UMX1	55
P17612	Q15648	56
P17612	P10070	57
P17612	P10071	58
P17612	P35222	59
P17612	Q13627	60
P17612	Q92793	61
P08151	Q13635	62
P08151	Q9NRP7	63
P08151	Q9UMX1	64
P08151	Q2M1P5	65
P08151	O00422	66
P08151	Q96QV1	67
P08151	Q9Y6C5	68
P08151	P10070	69
P08151	P10071	70
P08151	P35222	71
P08151	Q96ST3	72
P08151	P62258	73
P08151	SNK	74
Q15648	Q93074	75
Q15648	Q9ULK4	76
Q15648	O75586	77
Q15648	P49336	78
Q15648	P10071	79
P10070	Q9Y6C5	80
P10070	Q9NRP7	81
P10070	Q96QV1	82
P10070	Q2M1P5	83
P10070	P12755	84
P10070	P08151	85
P10070	Q9Y466	86
P10070	P10071	87
P10070	P62258	88
P10070	Q9UMX1	89
P10070	Q13635	90
P10070	Q15797	91
P10070	SNK	92
P10071	Q93074	93
P10071	Q9ULK4	94
P10071	Q9Y6C5	95
P10071	Q9NRP7	96
P10071	Q92793	97
P10071	Q96QV1	98
P10071	Q15797	99
P10071	O75586	100
P10071	Q2M1P5	101
P10071	P12755	102
P10071	P08151	103
P10071	P10070	104
P10071	Q15648	105
P10071	Q9UMX1	106
P10071	Q86VH2	107
P10071	Q13635	108
P10071	P62258	109
P10071	P49336	110
P10071	SNK	111
P35222	Q9BWV1	112
P35222	P08151	113
P35222	Q92793	114
P35222	Q4KMG0	115
P35222	SNK	116
Q13627	Q9ULK4	117
Q13627	P17612	118
Q13627	P08151	119
Q13627	P62258	120
Q13627	Q92793	121
Q92793	P49336	122
Q92793	P10071	123
Q92793	P35222	124
Q92793	Q13627	125
Q92793	Q15797	126
Q92793	Q9ULK4	127
Q92793	SNK	128
P49336	Q93074	129
P49336	O75586	130
P49336	Q9ULK4	131
P49336	Q92793	132
P49336	Q15648	133
P49336	P10071	134
P49336	Q15797	135
Q15797	O75586	136
Q15797	Q9Y466	137
Q15797	Q92793	138
Q15797	P12755	139
Q15797	P10070	140
Q15797	P10071	141
Q15797	SNK	142
Q9ULK4	Q93074	143
Q9ULK4	O75586	144
Q9ULK4	P49336	145
Q9ULK4	Q92793	146
Q9ULK4	Q13627	147
Q9ULK4	P10071	148
Q9ULK4	Q15648	149
Q93074	O75586	150
Q93074	Q9ULK4	151
Q93074	P49336	152
Q93074	P10071	153
Q93074	Q15648	154
Q93074	SNK	155
O75586	Q93074	156
O75586	Q15648	157
O75586	Q9ULK4	158
O75586	Q15797	159
O75586	P10071	160
O75586	P49336	161
O75586	SNK	162
Q9NRP7	Q9UMX1	163
Q9NRP7	P08151	164
Q9NRP7	P10070	165
Q9NRP7	P10071	166
Q96QV1	Q15465	167
Q96QV1	Q14623	168
Q96QV1	Q13635	169
Q96QV1	O43323	170
Q2M1P5	P08151	171
Q2M1P5	P10070	172
Q2M1P5	P10071	173
Q2M1P5	Q9UMX1	174
Q2M1P5	Q86VH2	175
P12755	Q96ST3	176
P12755	P10070	177
P12755	P10071	178
P12755	Q15797	179
P12755	SNK	180
Q86VH2	Q2M1P5	181
Q86VH2	P10071	182
P62258	P08151	183
P62258	P10070	184
P62258	P10071	185
P62258	Q13627	186
P62258	P32121	187
Q9Y466	Q15797	188
Q9Y466	P10070	189
Q9Y466	Q9UMX1	190
Q9Y466	SNK	191
P54826	Q13635	192
P54826	Q9Y6C5	193
P25098	Q13635	194
P25098	P32121	195
P25098	Q99835	196
O00422	P08151	197
O00422	Q96ST3	198
O00422	Q9UMX1	199
O00422	SNK	200
Q96ST3	O00422	201
Q96ST3	P12755	202
Q96ST3	P08151	203
Q96ST3	Q9UMX1	204
Q96ST3	SNK	205
Q14623	Q13635	206
Q14623	Q9BWV1	207
Q14623	P54826	208
Q14623	Q9Y6C5	209
Q14623	Q4KMG0	210
O43323	Q13635	211
O43323	Q9BWV1	212
O43323	P54826	213
O43323	Q9Y6C5	214
O43323	Q4KMG0	215
Q5VTY9	Q15465	216
