negatives
"('O96013', 'P27348')"
"('P12830', 'Q9BY89')"
"('Q86V48', 'Q93034')"
"('Q9BZV1', 'Q8TAT6')"
"('Q9Y4K3', 'Q969Y2')"
"('O75083', 'P46940')"
"('P62136', 'O15294')"
"('Q59H18', 'O00170')"
"('Q8TBB0', 'O75031')"
"('Q08830', 'Q92974')"
"('Q53SF7', 'Q0D2I5')"
"('P30048', 'Q86UT6')"
"('O14744', 'Q86UQ8')"
"('P45973', 'Q6ZSS3')"
"('Q9HAU0', 'Q96KQ4')"
"('Q9NVE4', 'Q7L2J0')"
"('P05107', 'O00329')"
"('P26368', 'P25787')"
"('Q96RS0', 'Q96IZ7')"
"('P20020', 'O60260')"
"('Q9Y5B8', 'Q9BWT7')"
"('Q9Y6C9', 'P56556')"
"('P17252', 'P16144')"
"('O95295', 'P54257')"
"('Q8IVJ1', 'O95274')"
"('Q12899', 'Q9NZJ7')"
"('Q9UNL4', 'Q6W2J9')"
"('P40337', 'O43474')"
"('Q8IU81', 'Q15797')"
"('Q9UBI6', 'P01116')"
"('Q9UL18', 'Q5S007')"
"('P55040', 'Q9H079')"
"('P23786', 'P61421')"
"('Q86XI6', 'Q93100')"
"('Q9NTX5', 'Q96NL6')"
"('P0DMV8', 'Q16543')"
"('Q9HBH7', 'A8MQ03')"
"('O15105', 'Q9Y2T1')"
"('Q96AP0', 'Q96HA8')"
"('Q9UQ80', 'P11387')"
"('Q8N7W2', 'Q96GN5')"
"('O94913', 'P27361')"
"('P61513', 'Q13347')"
"('Q9H4A3', 'Q8IWL3')"
"('Q9NR12', 'Q9UI14')"
"('Q86VP6', 'O15371')"
"('Q15650', 'Q9HC98')"
"('P31276', 'Q06330')"
"('P05387', 'P63104')"
"('P47755', 'Q13492')"
"('P78423', 'Q04206')"
"('Q9UHQ1', 'P61086')"
"('Q9Y5B9', 'Q9NTX7')"
"('P35568', 'Q15109')"
"('P24386', 'P37198')"
"('P22612', 'Q7Z3S7')"
"('Q13617', 'Q13309')"
"('Q9P202', 'A7MCY6')"
"('P04150', 'P14735')"
"('P17482', 'Q9BYR9')"
"('Q9UQR1', 'Q9H8Y8')"
"('Q14164', 'Q02543')"
"('Q96EP1', 'Q13547')"
"('O43251', 'P29558')"
"('Q99496', 'Q13601')"
"('P04637', 'Q8IVT5')"
"('Q86VP6', 'P27635')"
"('P50151', 'O14827')"
"('Q9BV68', 'Q16891')"
"('Q01804', 'P55786')"
"('Q9Y6A5', 'Q9BXY8')"
"('Q8IUH5', 'Q53T59')"
"('Q9NUL3', 'Q9BQ04')"
"('Q01844', 'P0CG13')"
"('Q96CS3', 'Q14534')"
"('O60841', 'Q7KZF4')"
"('Q8N1L9', 'P05412')"
"('Q9Y2I1', 'Q15075')"
"('P62140', 'O14990')"
"('Q5H9J7', 'P43361')"
"('P57088', 'O00716')"
"('Q9Y2D8', 'Q15025')"
"('Q16659', 'P11142')"
"('Q8NCG5', 'Q96C86')"
"('Q6UN15', 'P49917')"
"('O14972', 'O15151')"
"('Q99471', 'P62699')"
"('P48357', 'Q9NSE2')"
"('Q9Y277', 'P45880')"
"('Q96FV9', 'Q5S007')"
"('P62318', 'P42701')"
"('Q9H0K1', 'Q9UKB1')"
"('Q9HCE1', 'Q14134')"
"('Q9Y4X0', 'Q6UY14')"
"('O00622', 'O95229')"
"('P09603', 'P08581')"
"('P28070', 'P49720')"
"('Q96PU5', 'Q96B67')"
"('Q8NHQ1', 'Q13427')"
"('P05412', 'Q15717')"
"('O75031', 'Q9UBR2')"
"('P63261', 'Q13352')"
"('Q92567', 'Q6P1W5')"
"('Q9UHV9', 'P56537')"
"('O15287', 'Q9HB96')"
"('P22694', 'Q9HAV0')"
"('Q8NEZ4', 'Q71DI3')"
"('P28482', 'Q9H8V3')"
"('Q15828', 'O95070')"
"('Q92506', 'Q8WYB5')"
"('P27348', 'P50402')"
"('P62491', 'P30154')"
"('O00399', 'Q9BTE1')"
"('P21815', 'O75578')"
"('P23025', 'P07992')"
"('P40261', 'Q9HC38')"
"('Q9UNX3', 'O95777')"
"('Q14103', 'O60832')"
"('Q92616', 'Q6NUN9')"
"('Q15022', 'P43694')"
"('P42771', 'Q14457')"
"('O95163', 'P48643')"
"('P57105', 'Q13705')"
"('Q07157', 'Q6IQ23')"
"('P55055', 'P51668')"
"('O96008', 'Q9NX40')"
"('P05412', 'Q6UB35')"
"('Q13228', 'P10275')"
"('O60573', 'Q8TF46')"
"('Q9Y576', 'Q93034')"
"('P24863', 'Q92793')"
"('Q99523', 'P46087')"
"('Q9GZY8', 'P49286')"
"('Q99961', 'Q9ULV8')"
"('Q9NP66', 'Q7Z4H7')"
"('P06748', 'P49450')"
"('P13569', 'P40145')"
"('Q08379', 'Q03252')"
"('P01834', 'P01871')"
"('Q15648', 'P10276')"
"('P19320', 'P50991')"
"('Q13243', 'O95400')"
"('P83436', 'Q9H9E3')"
"('P52742', 'P49841')"
"('O15243', 'P48357')"
"('O00221', 'Q8WVZ9')"
"('Q12955', 'Q14643')"
"('P48681', 'P22102')"
"('P51398', 'Q96TA2')"
"('Q9NVP1', 'P62753')"
"('P01100', 'P68400')"
"('O15303', 'Q14344')"
"('A5YKK6', 'O75175')"
"('P41182', 'P80075')"
"('Q9BYN8', 'P19338')"
"('Q5HYI8', 'Q9Y3E0')"
"('Q9Y266', 'P04626')"
"('Q8TC84', 'Q9Y4P1')"
"('Q13535', 'Q12888')"
"('Q9NQX4', 'P47755')"
"('Q9Y230', 'P01889')"
"('Q96T76', 'Q8TBC3')"
"('P51149', 'P30480')"
"('P02751', 'P26373')"
"('P17676', 'P10242')"
"('P10070', 'P48431')"
"('P13010', 'Q9H8V3')"
"('P51532', 'P16104')"
"('P49023', 'P18564')"
"('P34897', 'P82650')"
"('Q9Y4G8', 'P41743')"
"('Q08AM6', 'Q9NSB4')"
"('Q70IA8', 'O95835')"
"('Q9Y2M5', 'P57737')"
"('Q5VSL9', 'Q13813')"
"('Q92609', 'Q9HBF4')"
"('Q9H1A4', 'Q9NYG5')"
"('P60896', 'P26641')"
"('Q9UKV0', 'Q5QNW6')"
"('P39748', 'Q9BQ52')"
"('Q13547', 'Q96PU4')"
"('Q9NY12', 'Q9BTT6')"
"('Q13873', 'O15105')"
"('P17096', 'P13984')"
"('Q16619', 'P15260')"
"('O14862', 'Q8NDX6')"
"('P27635', 'Q96G21')"
"('Q13501', 'Q5VZM2')"
"('Q9UJ55', 'Q96QK1')"
"('P49419', 'P13667')"
"('P04629', 'P61978')"
"('O14543', 'P10912')"
"('O14775', 'Q92905')"
"('Q9UP65', 'P15336')"
"('P24941', 'P00491')"
"('Q9Y383', 'Q15910')"
"('Q969D9', 'O75626')"
"('Q8IYE0', 'P05783')"
