#tail	head	num_paths
P00533	P20936	1
P20936	P00519	2
P00533	P10275	1
P00533	O95155	1
O95155	O15350	1
P29323	P00519	2
P29323	P12931	1
P12931	P10275	1
P00519	O15350	1
P04626	P00519	1
P04626	P15498	1
P15498	P10275	1
P04626	P58340	1
P58340	O15350	1
P23229	Q07890	1
Q07890	P00519	1
P23229	P49023	1
P49023	P10275	1
P23229	P05067	1
P05067	P62979	1
P62979	O15350	1
P16144	P78527	2
P78527	P00519	1
P78527	P10275	1
P16144	P84022	1
P84022	O15350	1
P08581	P20936	1
P08581	Q13882	1
Q13882	P10275	1
P08581	Q96S59	1
Q96S59	O15350	1
Q04912	P07900	2
P07900	P00519	1
P07900	P10275	1
Q04912	P53350	1
P53350	O15350	1
