#tail	head	num_paths
P21854	Q96BA8	1
Q96BA8	P15336	1
P21854	P62993	17
P62993	O15156	1
O15156	P41182	1
P62993	P24928	2
P24928	P16220	1
P62993	P46108	1
P46108	P19419	1
P62993	Q8WX92	1
Q8WX92	P01100	1
P62993	P45984	1
P45984	P53539	1
P62993	P10275	1
P10275	Q12778	1
P24928	P78347	1
P62993	P14317	1
P62993	P42858	1
P42858	O14920	1
P62993	Q9UHB6	1
Q9UHB6	Q9Y6K9	1
P62993	P68366	1
P68366	P05412	1
P62993	P06748	1
P06748	P17275	1
P62993	P16298	2
P16298	Q13469	1
P16298	Q12968	1
P62993	P18031	1
P18031	P25963	1
P62993	P06400	1
P62993	P43403	1
P43403	Q9H6Q3	1
