#tail	head	num_paths
P34998	O95467	2
O95467	Q9Y265	1
Q9Y265	P35222	1
P34998	P04899	1
P04899	P03372	1
P03372	Q15596	1
P34998	Q5JWF2	1
Q5JWF2	P19838	1
O95467	O96017	1
O96017	P22736	1
P34998	P0DP23	2
P0DP23	Q04206	1
P34998	P32121	2
P32121	O14964	1
O14964	O60806	1
P0DP23	P15884	1
P32121	Q13263	1
Q13324	P05067	8
P05067	P35222	1
P05067	P37231	1
P37231	Q15596	1
P05067	P31749	3
P31749	P19838	1
P31749	P22736	1
P31749	Q04206	1
P05067	Q7Z3K3	1
Q7Z3K3	O60806	1
P05067	O60573	1
O60573	P15884	1
P05067	P60520	1
P60520	Q13263	1
