#tail	head	num_paths
Q9BWV1	P19022	3
P19022	Q92793	2
Q9BWV1	P35222	3
P35222	P08151	2
Q9BWV1	O75386	6
O75386	Q9Y496	2
Q9Y496	P10070	1
Q9Y496	P10071	1
P19022	P04629	1
P04629	Q93074	1
P19022	Q96KQ7	1
Q96KQ7	O75586	1
O75386	Q14687	1
Q14687	Q9Y466	1
Q9BWV1	Q13635	1
Q13635	Q9UMR2	2
Q9UMR2	O00422	2
O75386	Q01167	1
Q01167	Q96ST3	1
O75386	O75376	1
O75376	P12755	1
O75386	Q8IWI9	1
Q8IWI9	Q15797	1
Q9BWV1	Q99835	1
Q99835	Q9UMX1	7
Q4KMG0	P19022	1
Q4KMG0	P35222	2
Q4KMG0	P00519	10
P00519	O15524	1
O15524	P10070	1
P00519	Q93009	1
Q93009	P10071	1
P00519	P05067	1
P05067	Q93074	2
P00519	P18146	1
P18146	O75586	2
P00519	P08047	1
P08047	Q9Y466	1
P00519	P61981	1
P61981	O00422	1
P00519	P10275	1
P10275	Q96ST3	1
P00519	P68366	2
P68366	P12755	3
P68366	Q15797	2
P00519	O95157	1
O95157	Q9UMX1	1
Q13635	Q14192	1
Q14192	Q92793	1
Q13635	Q9BWV1	1
Q13635	P06493	1
P06493	P08151	1
Q13635	Q96MM7	1
Q96MM7	P63104	1
P63104	P10070	1
Q13635	Q8IZ52	4
Q8IZ52	Q9Y297	1
Q9Y297	P10071	1
Q8IZ52	Q9NPJ6	2
Q9NPJ6	Q93074	1
Q9NPJ6	O75586	1
Q13635	P13612	1
P13612	Q14160	1
Q14160	Q9Y466	1
Q8IZ52	P12757	1
P12757	Q96ST3	1
Q13635	P11021	1
P11021	P12755	1
Q13635	Q9H0M0	1
Q9H0M0	Q15797	1
Q13635	Q99835	1
Q9Y6C5	P49407	11
P49407	P31749	1
P31749	Q92793	1
Q9Y6C5	P98164	1
P98164	P35222	1
P49407	P08151	3
P49407	P10070	1
P49407	P10071	1
P49407	O00159	1
O00159	Q93074	1
P49407	P18146	1
P49407	O00505	1
O00505	Q9Y466	1
P08151	O00422	1
P08151	Q96ST3	1
P49407	P68366	2
Q9Y6C5	Q99835	1
P34741	P54252	6
P54252	Q92793	1
P34741	Q15717	2
Q15717	P35222	1
P54252	Q9UK80	1
Q9UK80	P08151	1
P54252	P22314	1
P22314	P10070	1
P34741	P17252	1
P17252	P10071	1
P54252	P05067	1
P34741	P19784	2
P19784	O75586	1
P54252	O15379	1
O15379	Q9Y466	1
P19784	O00422	1
P34741	P10242	2
P10242	Q96ST3	1
P10242	P12755	1
P54252	P16220	1
P16220	Q15797	1
Q15717	Q9Y297	1
Q9Y297	Q9UMX1	1
Q99835	P22694	1
P22694	Q92793	1
Q99835	P17252	1
P17252	P35222	1
Q99835	P32121	5
P32121	P08151	1
P32121	P10070	1
P32121	P10071	1
P32121	O14980	1
O14980	Q93074	1
Q99835	P41182	1
P41182	O75586	1
Q9UMX1	Q9Y466	1
Q9UMX1	O00422	1
Q9UMX1	Q96ST3	1
P32121	P68366	1
Q99835	P46934	1
P46934	Q15797	1
