negatives
"('Q9HCE1', 'Q8NBM8')"
"('Q9H0U4', 'P50395')"
"('Q6P2E9', 'Q00987')"
"('Q8IZX4', 'Q15542')"
"('O15442', 'Q9ULA0')"
"('P41250', 'Q8TES7')"
"('P63104', 'O75340')"
"('O15530', 'P23470')"
"('O14980', 'P62851')"
"('Q86X19', 'O75787')"
"('Q9Y6E7', 'Q96CM8')"
"('Q9Y375', 'P51970')"
"('Q14164', 'Q9UM73')"
"('P51610', 'P07900')"
"('P23786', 'P05026')"
"('O75293', 'Q8WWL7')"
"('Q7L2J0', 'Q15029')"
"('Q9BXB1', 'Q9BXP5')"
"('Q9HBV2', 'Q8NCG7')"
"('Q96BA8', 'Q8N2M4')"
"('Q9BUJ2', 'O75530')"
"('P68371', 'P12235')"
"('O75052', 'P29475')"
"('Q8NG11', 'O14672')"
"('Q9NZD8', 'P12004')"
"('Q13547', 'O15164')"
"('Q9Y2D5', 'P46108')"
"('P43243', 'Q14671')"
"('Q9BU64', 'O43414')"
"('Q05655', 'Q9H0R8')"
"('P23526', 'Q13177')"
"('Q96DV4', 'Q92731')"
"('P07954', 'P00966')"
"('O14981', 'Q9H0W5')"
"('Q9BRK5', 'Q14192')"
"('Q8N4H0', 'O95239')"
"('P82912', 'Q96EY7')"
"('Q9BS40', 'Q14011')"
"('O00459', 'P07766')"
"('Q9Y4R8', 'Q9HB75')"
"('Q96ST3', 'Q03164')"
"('P41273', 'P01375')"
"('P55060', 'Q49AN0')"
"('P08621', 'P26368')"
"('Q9NXR8', 'O95251')"
"('Q7Z3Y8', 'Q5T655')"
"('Q8NBR6', 'Q96KC8')"
"('Q9H0R8', 'Q9NX00')"
"('Q08379', 'P29972')"
"('P55072', 'Q8TES7')"
"('Q6ZN16', 'Q9Y275')"
"('P04629', 'O60749')"
"('Q38SD2', 'P42679')"
"('Q6NUN9', 'P52597')"
"('Q15185', 'Q96BK5')"
"('P01106', 'Q8TAA5')"
"('Q8NBT0', 'Q9NVR5')"
"('Q96B96', 'Q8NI60')"
"('Q13415', 'P06241')"
"('Q16774', 'P18146')"
"('Q96ED9', 'O95990')"
"('Q9P2H0', 'Q92734')"
"('P18754', 'Q9Y4K3')"
"('O75925', 'Q15326')"
"('O00567', 'Q14974')"
"('Q9Y6K9', 'Q7Z4H3')"
"('P05129', 'P26010')"
