#tail	head	num_paths
P04626	P15498	2
P15498	P10275	1
P04626	P35354	4
P35354	P17676	1
P04626	P19022	1
P19022	Q92793	1
P04626	Q9UNE7	1
Q9UNE7	Q9UER7	1
P04626	P49005	1
P49005	Q09472	1
P35354	P01100	1
P35354	Q13547	1
P04626	P07355	1
P07355	P20823	2
P15498	P05412	2
P04626	P42684	1
P42684	Q15788	2
P35354	P19838	1
P04626	Q15303	1
Q15303	Q9Y6X2	2
P04626	P42224	1
P04626	P40763	1
P21860	P10275	1
P21860	P42684	2
P42684	P17676	1
P21860	P31749	3
P31749	Q92793	1
P21860	P69905	1
P69905	Q9UER7	1
P31749	Q09472	1
P21860	P0DMV8	3
P0DMV8	P01100	1
P21860	P43405	1
P43405	Q13547	1
P21860	P07355	1
P0DMV8	P05412	1
P0DMV8	P19838	1
P21860	Q15303	1
P31749	P42224	1
P21860	P30450	1
P30450	P40763	1
P08887	P29353	1
P29353	P10275	1
P08887	P40763	7
P40763	P17676	1
P08887	P12931	3
P12931	Q92793	1
P40763	Q9UER7	1
P12931	Q09472	1
P08887	Q96JP5	2
Q96JP5	P01100	1
P40763	Q13547	1
P40763	P20823	1
P12931	P05412	1
P40763	Q15788	1
P40763	P19838	1
Q96JP5	Q15717	1
Q15717	Q9Y6X2	1
P08887	P23458	1
P23458	P42224	1
P40189	P10275	6
P10275	P17676	1
P40189	P08631	1
P08631	Q92793	1
P10275	Q9UER7	1
P40189	P12830	2
P12830	Q09472	1
P40189	P01100	2
P12830	Q13547	1
P01100	P20823	1
P40189	P15498	1
P10275	Q15788	1
P10275	P19838	1
P10275	Q9Y6X2	1
P40189	P42224	1
P40189	P40763	1
