#tail	head	num_paths
P32927	P08631	1
P08631	P00519	1
P32927	P05771	1
P05771	P19419	1
P32927	P31749	3
P31749	Q09472	1
P31749	O43524	1
P31749	O75030	1
P32927	P42229	2
P42229	P42224	2
P32927	P51692	1
P19235	P07948	1
P07948	P00519	1
P19235	P16885	1
P16885	P19419	1
P19235	Q9Y297	2
Q9Y297	Q09472	1
Q9Y297	O43524	1
P19235	P42229	4
P42229	Q9UJU2	1
Q9UJU2	O75030	1
P42229	P51692	1
P16871	P31946	2
P31946	P00519	1
P16871	P28482	1
P28482	P19419	1
P16871	P62993	1
P62993	Q09472	1
P31946	O43524	1
P16871	P63104	1
P63104	O75030	1
P16871	P42224	1
P16871	P42229	1
P16871	P51692	1
P10721	P00519	1
P10721	P46108	1
P46108	P19419	1
P10721	Q14653	1
Q14653	Q09472	1
P10721	P42224	2
P42224	O43524	1
P10721	P21926	1
P21926	Q15717	1
Q15717	O75030	1
P10721	P42229	1
P10721	P51692	1
Q92729	P04626	1
P04626	P00519	1
Q92729	P27361	3
P27361	P19419	1
Q92729	P00533	4
P00533	P06748	1
P06748	Q09472	1
P27361	O43524	1
P27361	O75030	1
P00533	P42224	1
P00533	P42229	1
P00533	P51692	1
O00220	Q99497	1
Q99497	P00519	1
O00220	Q13158	4
Q13158	P45983	1
P45983	P19419	1
O00220	Q14790	1
Q14790	Q09472	1
O00220	Q9Y6K9	1
Q9Y6K9	O43524	1
Q13158	O14980	1
O14980	O75030	1
Q13158	P42224	2
O00220	Q13501	1
Q13501	P42229	1
P42224	P51692	1
