#tail	head	num_paths
P04626	P35354	2
P35354	P17676	1
P04626	P15498	1
P15498	P18146	2
P04626	P49005	1
P49005	Q09472	1
P35354	P01100	1
P04626	P00519	1
P00519	P17275	1
P04626	P24385	1
P24385	P17535	1
P04626	P42224	2
P42224	Q06413	2
P04626	Q15303	1
Q15303	Q9Y6X2	2
P04626	P15941	1
P15941	Q04206	1
P04626	P40763	1
P04626	Q13882	1
Q13882	P51692	2
P21860	P42684	1
P42684	P17676	1
P21860	P18146	3
P21860	P31749	2
P31749	Q09472	1
P21860	P0DMV8	3
P0DMV8	P01100	1
P18146	P17275	1
P18146	P17535	1
P0DMV8	Q9H2X6	1
Q9H2X6	Q06413	1
P21860	Q15303	1
P0DMV8	Q04206	1
P31749	P42224	1
P21860	P30450	1
P30450	P40763	1
P21860	Q13882	1
P40189	P10275	4
P10275	P17676	1
P40189	P15498	1
P40189	P12830	1
P12830	Q09472	1
P40189	P01100	3
P01100	P17275	1
P10275	P17535	2
P40189	P42224	2
P10275	Q9Y6X2	1
P10275	Q04206	1
P40189	P40763	1
P40189	P52333	1
P52333	P51692	1
P42702	O43172	6
O43172	P61978	2
P61978	P17676	1
P42702	Q92569	2
Q92569	P18146	1
P42702	P62993	1
P62993	Q09472	1
P42702	P40189	1
O43172	P05412	2
P05412	P17275	1
O43172	P48431	1
P48431	P17535	1
P05412	Q06413	1
P61978	Q9Y6X2	2
O43172	Q15029	1
Q15029	Q04206	1
P42702	P23458	2
P23458	P42224	1
Q92569	P40763	1
P23458	P51692	1
Q99650	P00533	10
P00533	P17676	1
Q99650	P29353	1
P29353	P18146	1
Q99650	P04406	1
P04406	Q09472	1
P00533	P01100	1
P00533	P06748	1
P06748	P17275	1
P00533	P10275	1
P00533	P63104	1
P63104	Q06413	1
P00533	P61978	1
P00533	Q99933	1
Q99933	Q04206	1
P00533	P42224	1
P00533	P40763	1
P00533	P51692	1
