#tail	head	num_paths
P04626	P19022	1
P19022	Q92793	1
P04626	P49005	1
P49005	Q09472	1
P04626	P62993	1
P62993	P05204	1
P04626	Q00610	1
Q00610	P10242	1
P04626	Q9P0L0	1
Q9P0L0	Q13469	1
P04626	Q15303	2
Q15303	Q9Y6X2	3
P04626	P42224	1
Q15303	P42229	6
P04626	Q13882	1
Q13882	P51692	1
P04626	P12931	1
P12931	P10828	1
Q15303	P62979	2
P62979	Q92793	1
P62979	Q09472	1
Q15303	P16471	1
P16471	P05204	3
P42229	P10242	2
P42229	Q13469	2
P42229	P42224	2
Q15303	P51692	1
P42229	P10828	2
P05556	P31749	3
P31749	Q92793	1
P31749	Q09472	1
P05556	P16471	3
P05556	Q9HAU5	1
Q9HAU5	P10242	1
P05556	P31946	1
P31946	Q13469	1
P05556	Q15717	1
Q15717	Q9Y6X2	1
P31749	P42224	1
P16471	P42229	6
P16471	P51692	2
P05556	Q96S59	1
Q96S59	P10828	1
P16471	P12931	1
P12931	Q92793	1
P16471	Q9Y297	1
Q9Y297	Q09472	1
P16471	Q15303	1
