negatives
"('P40763', 'P35219')"
"('Q9H9V9', 'Q9H2A9')"
"('P40939', 'P13804')"
"('Q86TC9', 'O14980')"
"('Q9BQ89', 'Q9H2G2')"
"('Q9HBL8', 'Q96DC9')"
"('Q9Y4K3', 'P28070')"
"('Q9ULT8', 'O95347')"
"('Q9BYJ1', 'P49765')"
"('Q8NFH5', 'Q9BVL2')"
"('Q01826', 'Q13948')"
"('P41236', 'Q9NYB0')"
"('Q7Z4H7', 'Q9HC77')"
"('P49768', 'Q6PIL6')"
"('Q9UI38', 'Q9H4B7')"
"('Q96N77', 'P05067')"
"('Q7Z4H3', 'Q9Y6K9')"
"('Q86WU2', 'Q86Y07')"
"('P53805', 'P52630')"
"('Q99496', 'Q9NNW5')"
"('Q9NY27', 'Q9Y4E8')"
"('Q96J02', 'O14640')"
"('O60493', 'P46108')"
"('P16112', 'P98095')"
"('Q6ZVD8', 'Q92598')"
"('Q00526', 'P49918')"
"('Q6P1M0', 'Q9UBU9')"
"('Q14192', 'Q9UKD1')"
"('Q06210', 'O43741')"
"('P51148', 'Q969G5')"
"('Q13043', 'P55884')"
"('Q96RR4', 'P0DP25')"
"('P20700', 'P49736')"
"('Q9NQW6', 'P62136')"
"('Q9UJQ4', 'Q9H9S0')"
"('Q8WWQ0', 'Q13618')"
"('Q5TH69', 'Q96RG2')"
"('Q9UBS0', 'Q92731')"
"('P35579', 'Q13045')"
"('P0DP25', 'P11234')"
"('P17844', 'Q7L5N1')"
"('Q9UN37', 'Q7LBR1')"
"('Q9UBU9', 'Q14980')"
"('P41218', 'Q8TDN6')"
"('Q92731', 'P07900')"
"('O43741', 'O00231')"
"('O43592', 'Q99759')"
"('P57078', 'P53985')"
"('P12110', 'Q9BXJ5')"
"('Q14152', 'Q99496')"
"('O75400', 'Q9H269')"
"('Q6ZUJ4', 'P12035')"
"('Q9NR28', 'P68104')"
"('P19404', 'Q9UI09')"
"('P19338', 'Q99613')"
"('P50222', 'O00311')"
"('P35268', 'P63220')"
"('Q92905', 'P80723')"
"('Q8N0Z6', 'Q5T013')"
"('Q96I15', 'Q9NQT4')"
"('Q96K58', 'P51788')"
"('Q9Y4G8', 'Q14696')"
"('P61086', 'Q96P09')"
"('Q9BYD6', 'Q9BRJ2')"
"('P11362', 'P35222')"
"('P09651', 'P35222')"
"('Q8N9P6', 'Q38SD2')"
"('Q00839', 'P04792')"
"('Q9P127', 'Q9H307')"
"('Q6ZRI8', 'O75503')"
"('P12830', 'Q96KQ4')"
"('Q9UHF4', 'O60674')"
"('Q13064', 'O14817')"
"('Q9Y3D0', 'Q9H6Q4')"
"('P14550', 'Q9UMY4')"
"('Q96KP1', 'O15020')"
"('Q9ULX3', 'Q8NBT0')"
"('P35462', 'P09471')"
"('Q9BQQ3', 'P06493')"
"('P02545', 'P11388')"
"('Q16619', 'Q99665')"
"('Q9H6U8', 'Q6UWR7')"
"('P04049', 'Q9BUB7')"
"('Q8NI36', 'Q12788')"
"('O75787', 'P21912')"
"('P35222', 'Q9UKB5')"
"('Q9Y210', 'P06241')"
"('Q14117', 'Q5BJD5')"
"('Q8IZH2', 'P45973')"
"('Q96GD4', 'Q9P227')"
"('Q9UNE7', 'Q96LJ8')"
"('Q8TDZ2', 'Q15750')"
"('Q9Y3E0', 'Q9HBL7')"
"('Q15154', 'Q86X83')"
"('Q01844', 'P05549')"
"('Q15366', 'P02794')"
"('Q9UNE7', 'O43623')"
"('P43686', 'P36776')"
"('P38646', 'Q07021')"
"('Q7Z3S9', 'Q9UBK9')"
"('P07900', 'Q6P0Q8')"
"('Q15020', 'Q96KG7')"
"('P07900', 'P24941')"
"('Q9BQ83', 'P25787')"
"('Q9Y3M2', 'Q9BZF3')"
"('Q9Y4B6', 'Q13535')"
"('Q8WWM7', 'P17844')"
"('P60328', 'Q5TCM9')"
"('Q15022', 'P18754')"
