#tail	head	KSP index
SRC	P25054	1
SRC	Q9P2D1	2
SRC	Q13363	3
SRC	P35222	4
SRC	P98082	5
SRC	Q9UJU2	6
SRC	Q13469	7
SRC	Q02962	8
SRC	P37231	9
SRC	Q15797	10
SRC	O00570	11
SRC	P15923	12
SRC	P15884	13
SRC	Q9NQB0	14
P25054	P31947	15
P25054	Q9UJU2	16
P25054	Q13363	17
P25054	P48729	18
P25054	O14640	19
P25054	Q9Y2T1	20
P25054	P63104	21
P25054	Q13418	22
P25054	P14923	23
P25054	O14641	24
P25054	Q92997	25
P25054	Q9Y297	26
P25054	Q15047	27
P25054	P49841	28
P25054	P49840	29
P25054	P11021	30
P25054	P35222	31
P25054	O15169	32
Q9P2D1	Q15047	33
Q9P2D1	P37231	34
Q13363	P25054	35
Q13363	Q9UJU2	36
Q13363	P15884	37
Q13363	P35222	38
Q13363	Q9NQB0	39
Q13363	Q9H307	40
Q13363	P61968	41
P35222	P31749	42
P35222	P19022	43
P35222	P08575	44
P35222	Q13526	45
P35222	P15941	46
P35222	Q9UJU2	47
P35222	Q9NQB0	48
P35222	Q12778	49
P35222	Q13363	50
P35222	P48729	51
P35222	P10275	52
P35222	P25054	53
P35222	Q05209	54
P35222	Q8TEW0	55
P35222	P42336	56
P35222	O00570	57
P35222	Q9Y2T1	58
P35222	O14745	59
P35222	P27986	60
P35222	Q12913	61
P35222	P19838	62
P35222	P50402	63
P35222	P84022	64
P35222	P12830	65
P35222	Q09472	66
P35222	P17844	67
P35222	P63104	68
P35222	O94907	69
P35222	Q13485	70
P35222	O15105	71
P35222	Q92597	72
P35222	Q16827	73
P35222	P00519	74
P35222	P15923	75
P35222	P14923	76
P35222	P01106	77
P35222	Q16620	78
P35222	P31751	79
P35222	P15884	80
P35222	P23470	81
P35222	P35637	82
P35222	P49840	83
P35222	Q15796	84
P35222	O15169	85
P98082	P36897	86
P98082	Q13526	87
P98082	Q9HAU4	88
P98082	Q15796	89
P98082	O75581	90
P98082	P13569	91
P98082	Q92997	92
P98082	O43318	93
P98082	P27986	94
P98082	P84022	95
P98082	O15169	96
Q9UJU2	Q8N2W9	97
Q9UJU2	P25054	98
Q9UJU2	O15105	99
Q9UJU2	Q09472	100
Q9UJU2	Q15796	101
Q9UJU2	P14923	102
Q9UJU2	P46937	103
Q9UJU2	P35222	104
Q9UJU2	P84022	105
Q13469	Q13526	106
Q13469	P05412	107
Q13469	P48729	108
Q13469	P08670	109
P37231	Q15047	110
P37231	O95425	111
P37231	Q09472	112
P37231	Q9P2D1	113
Q15797	Q9HAU4	114
Q15797	O75925	115
Q15797	O14686	116
Q15797	P62987	117
Q15797	P22670	118
Q15797	P62979	119
Q15797	Q9Y2U8	120
Q15797	Q04721	121
Q15797	O75533	122
Q15797	P08621	123
Q15797	P46937	124
Q15797	Q09472	125
Q15797	Q5T5Y3	126
Q15797	Q9NYG2	127
Q15797	Q8NAM6	128
Q15797	Q9UNY4	129
Q15797	O14640	130
Q15797	Q13485	131
Q15797	P10275	132
Q15797	Q8N2W9	133
Q15797	Q92905	134
Q15797	Q9H160	135
Q15797	O60315	136
O00570	P35222	137
P15923	Q09472	138
P15923	P55036	139
P15923	P10275	140
P15923	Q06455	141
P15884	Q8N2W9	142
P15884	P10275	143
P15884	Q15796	144
P15884	P14923	145
P15884	P12956	146
P15884	P35222	147
P15884	Q09472	148
P15884	O15105	149
P15884	Q13363	150
P15884	Q06455	151
Q9NQB0	Q8N2W9	152
Q9NQB0	Q09472	153
Q9NQB0	P01106	154
Q9NQB0	P14923	155
Q9NQB0	P12956	156
Q9NQB0	P46937	157
Q9NQB0	P35222	158
Q9NQB0	P05412	159
Q8N2W9	P10275	160
Q8N2W9	Q15797	161
Q8N2W9	P12757	162
Q8N2W9	Q9UJU2	163
Q8N2W9	P15884	164
Q8N2W9	P12956	165
Q8N2W9	P46937	166
Q8N2W9	O15105	167
Q8N2W9	P08670	168
Q8N2W9	P84022	169
Q8N2W9	Q9NQB0	170
Q09472	Q9UJU2	171
Q09472	Q9NQB0	172
Q09472	P10275	173
Q09472	P12757	174
Q09472	P37231	175
Q09472	P05412	176
