#tail	head	KSP index
SRC	P25054	1
SRC	Q9P2D1	2
SRC	Q13363	3
SRC	P35222	4
SRC	P98082	5
SRC	Q9UJU2	6
SRC	Q13469	7
SRC	Q02962	8
SRC	P37231	9
SRC	Q15797	10
SRC	O00570	11
SRC	P15923	12
SRC	P15884	13
SRC	Q9NQB0	14
P25054	Q9UJU2	15
P25054	Q13363	16
P25054	P48729	17
P25054	O14640	18
P25054	Q9Y2T1	19
P25054	P36544	20
P25054	Q13418	21
P25054	P14923	22
P25054	O14641	23
P25054	Q92997	24
P25054	Q9Y297	25
P25054	Q15047	26
P25054	Q9NR80	27
P25054	P49841	28
P25054	P49840	29
P25054	P35222	30
P25054	O15169	31
Q9P2D1	Q15047	32
Q9P2D1	P37231	33
Q9P2D1	Q9UBE8	34
Q13363	P25054	35
Q13363	P56545	36
Q13363	Q9UJU2	37
Q13363	P15884	38
Q13363	P35222	39
Q13363	Q9NQB0	40
P35222	P31749	41
P35222	P19022	42
P35222	Q13526	43
P35222	Q9UJU2	44
P35222	Q9NQB0	45
P35222	Q13363	46
P35222	P48729	47
P35222	P25054	48
P35222	Q9UBE8	49
P35222	O00570	50
P35222	Q9Y2T1	51
P35222	O14745	52
P35222	P12830	53
P35222	O94907	54
P35222	O00512	55
P35222	P45983	56
P35222	P15923	57
P35222	P14923	58
P35222	P15884	59
P35222	P49840	60
P35222	P24385	61
P35222	P17252	62
P35222	O15169	63
P98082	Q13526	64
P98082	O75581	65
P98082	Q92997	66
P98082	O15169	67
Q9UJU2	P25054	68
Q9UJU2	P14923	69
Q9UJU2	P35222	70
Q9UJU2	P24385	71
Q13469	Q13526	72
Q13469	P48729	73
P37231	Q15047	74
P37231	Q9UBE8	75
P37231	Q9P2D1	76
Q15797	Q92765	77
Q15797	O14640	78
O00570	P35222	79
P15884	P56545	80
P15884	P14923	81
P15884	P35222	82
P15884	Q13363	83
P15884	O00512	84
P15884	P24385	85
Q9NQB0	P14923	86
Q9NQB0	P35222	87
Q9NQB0	P24385	88
P14923	P19022	89
P14923	Q9Y297	90
P14923	P25054	91
P14923	P12830	92
P14923	Q9UJU2	93
P14923	P15884	94
P14923	P35222	95
P14923	Q9NQB0	96
P24385	Q13526	97
P24385	Q00534	98
P24385	P15884	99
Q13526	Q13469	100
Q13526	P17252	101
Q13526	P35222	102
Q13526	P98082	103
Q13526	P24385	104
Q13526	O15169	105
Q00534	P35222	106
Q00534	P24385	107
P56545	Q9UJU2	108
P56545	P15884	109
P56545	Q9NQB0	110
P56545	Q13363	111
O00512	P15884	112
O00512	P35222	113
P31749	Q14397	114
P31749	P62136	115
P31749	P35222	116
P31749	O14641	117
P31749	P45985	118
P31749	Q15047	119
P31749	Q9NR80	120
P31749	P49840	121
P31749	P49841	122
P31749	Q13233	123
P31749	O14640	124
P31749	O15169	125
P19022	O75581	126
P19022	P14923	127
P19022	P35222	128
P19022	O75197	129
P19022	O15169	130
P48729	Q9Y2T1	131
P48729	P25054	132
P48729	P31946	133
P48729	O75581	134
P48729	Q9UJU2	135
P48729	O14640	136
P48729	Q13469	137
P48729	P49841	138
P48729	P49840	139
P48729	P35222	140
P48729	O15169	141
Q9UBE8	Q9Y4D1	142
Q9UBE8	P15884	143
Q9UBE8	Q9UJU2	144
Q9UBE8	Q9P2D1	145
Q9UBE8	P35222	146
Q9UBE8	P37231	147
Q9UBE8	Q15047	148
Q9UBE8	Q9NQB0	149
Q9Y2T1	P48729	150
Q9Y2T1	O14641	151
Q9Y2T1	P35222	152
Q9Y2T1	P49840	153
Q9Y2T1	P49674	154
Q9Y2T1	P25054	155
Q9Y2T1	O14640	156
Q9Y2T1	Q92997	157
Q9Y2T1	P49841	158
Q9Y2T1	O15169	159
O14745	Q9ULV1	160
O14745	P35222	161
P12830	P14923	162
P12830	P17252	163
P12830	P62136	164
P12830	P35222	165
O94907	Q96MU8	166
O94907	O75581	167
O94907	P35222	168
O94907	O75197	169
O94907	Q14696	170
O94907	P56704	171
P45983	P31946	172
P45983	Q13363	173
P45983	Q02962	174
P45983	P35222	175
P45983	P67775	176
P49840	P25054	177
P49840	O75581	178
P49840	P35222	179
