negatives
"frozenset({'O43747', 'BCR', 'Q96S82'})"
"frozenset({'O95613', 'BCR', 'Q96G21'})"
"frozenset({'Q96FW1', 'P46060', 'BCR'})"
"frozenset({'P17931', 'BCR', 'O15439'})"
"frozenset({'Q9UM13', 'P84022', 'BCR'})"
"frozenset({'BCR', 'P04843', 'Q9H3S7'})"
"frozenset({'P55081', 'Q8N4V1', 'BCR'})"
"frozenset({'Q8IXH7', 'P05023', 'BCR'})"
"frozenset({'Q6IQ23', 'BCR', 'P50395'})"
"frozenset({'BCR', 'O14640', 'O00144'})"
"frozenset({'Q9Y2X0', 'Q71SY5', 'BCR'})"
"frozenset({'P07947', 'O60716', 'BCR'})"
"frozenset({'Q86Y38', 'BCR', 'Q02078'})"
"frozenset({'P68400', 'BCR', 'P43364'})"
"frozenset({'BCR', 'Q9BY78', 'Q9H467'})"
"frozenset({'P31151', 'BCR', 'Q86SE9'})"
"frozenset({'BCR', 'Q9H6Z9', 'Q9H7U1'})"
"frozenset({'P51681', 'P51671', 'BCR'})"
"frozenset({'P10619', 'O95817', 'BCR'})"
"frozenset({'Q9NRA8', 'Q8N4C6', 'BCR'})"
"frozenset({'Q9UHL9', 'Q14103', 'BCR'})"
"frozenset({'P02786', 'BCR', 'P51149'})"
"frozenset({'Q53GA4', 'Q96DC9', 'BCR'})"
"frozenset({'P53367', 'O14530', 'BCR'})"
"frozenset({'Q68D86', 'BCR', 'Q9BWD3'})"
"frozenset({'BCR', 'Q13573', 'O96019'})"
"frozenset({'Q9UKB1', 'O15294', 'BCR'})"
"frozenset({'P26651', 'BCR', 'Q15834'})"
"frozenset({'P04629', 'BCR', 'Q00839'})"
"frozenset({'O60826', 'Q8TCE6', 'BCR'})"
"frozenset({'O15264', 'BCR', 'P30041'})"
"frozenset({'BCR', 'O15379', 'P23527'})"
"frozenset({'Q02543', 'BCR', 'P12270'})"
"frozenset({'BCR', 'Q7Z309', 'Q8TAF3'})"
"frozenset({'Q8NI27', 'BCR', 'O95759'})"
"frozenset({'Q9NRA8', 'BCR', 'P86480'})"
"frozenset({'Q9C0C9', 'P04629', 'BCR'})"
"frozenset({'Q14687', 'BCR', 'P05230'})"
"frozenset({'Q9Y3Z3', 'BCR', 'Q5T3I0'})"
"frozenset({'Q86YF9', 'BCR', 'Q15173'})"
"frozenset({'BCR', 'Q8WWY3', 'O15360'})"
"frozenset({'BCR', 'Q15181', 'P31314'})"
"frozenset({'Q9C0C7', 'BCR', 'Q5TYX0'})"
"frozenset({'Q13748', 'Q9Y572', 'BCR'})"
"frozenset({'Q8NEM0', 'BCR', 'Q92922'})"
"frozenset({'P62256', 'BCR', 'Q06830'})"
"frozenset({'Q96D03', 'O43598', 'BCR'})"
"frozenset({'P54252', 'P17655', 'BCR'})"
"frozenset({'Q9P2E3', 'Q9NRR4', 'BCR'})"
"frozenset({'Q9BYQ3', 'BCR', 'Q8N6U2'})"
"frozenset({'P29597', 'P10912', 'BCR'})"
"frozenset({'Q92793', 'P10145', 'BCR'})"
"frozenset({'Q15365', 'Q49AN0', 'BCR'})"
"frozenset({'P62258', 'O75376', 'BCR'})"
"frozenset({'Q8ND90', 'BCR', 'Q8N5R6'})"
"frozenset({'BCR', 'P78527', 'P12004'})"
"frozenset({'Q9NVP1', 'P0DPB5', 'BCR'})"
"frozenset({'Q9UHB6', 'BCR', 'P68431'})"
"frozenset({'Q92696', 'Q8NFW5', 'BCR'})"
"frozenset({'Q6UXV4', 'P48047', 'BCR'})"
"frozenset({'Q13569', 'BCR', 'P55854'})"
"frozenset({'Q13769', 'O43818', 'BCR'})"
"frozenset({'O75360', 'BCR', 'Q9Y2X8'})"
"frozenset({'P01137', 'BCR', 'P17813'})"
"frozenset({'Q15436', 'Q13617', 'BCR'})"
"frozenset({'P05362', 'BCR', 'P35268'})"
"frozenset({'P23497', 'BCR', 'Q9NYB0'})"
"frozenset({'Q07890', 'Q969Y2', 'BCR'})"
"frozenset({'Q9H9H4', 'Q13895', 'BCR'})"
"frozenset({'BCR', 'Q7Z3C6', 'P26371'})"
"frozenset({'BCR', 'Q5W0Q7', 'P24928'})"
"frozenset({'Q4G0J3', 'BCR', 'P15880'})"
"frozenset({'Q9NRD1', 'BCR', 'Q09327'})"
"frozenset({'BCR', 'P12931', 'P23528'})"
"frozenset({'Q7Z3K3', 'Q13488', 'BCR'})"
"frozenset({'P05549', 'BCR', 'Q9P0V3'})"
"frozenset({'P36952', 'BCR', 'P29401'})"
"frozenset({'Q14565', 'BCR', 'A5A3E0'})"
"frozenset({'O14980', 'O00186', 'BCR'})"
"frozenset({'P98172', 'P01106', 'BCR'})"
"frozenset({'O43567', 'Q86Y82', 'BCR'})"
"frozenset({'Q99801', 'BCR', 'P30876'})"
"frozenset({'BCR', 'O75030', 'P31749'})"
"frozenset({'P45984', 'Q9Y446', 'BCR'})"
"frozenset({'P00519', 'Q16620', 'BCR'})"
"frozenset({'P35626', 'BCR', 'Q8NGB8'})"
"frozenset({'Q9NXB0', 'P40937', 'BCR'})"
"frozenset({'Q9H9A7', 'P54132', 'BCR'})"
"frozenset({'P33991', 'P01106', 'BCR'})"
"frozenset({'Q9UBU9', 'BCR', 'P17980'})"
"frozenset({'Q13555', 'BCR', 'P54289'})"
"frozenset({'P05386', 'BCR', 'P46783'})"
"frozenset({'P24394', 'P78552', 'BCR'})"
"frozenset({'P51991', 'BCR', 'Q01081'})"
"frozenset({'P41440', 'Q9P0N5', 'BCR'})"
"frozenset({'P50222', 'P22090', 'BCR'})"
"frozenset({'Q04724', 'BCR', 'P15927'})"
"frozenset({'Q99576', 'BCR', 'P63279'})"
"frozenset({'BCR', 'Q9NPB6', 'Q13625'})"
"frozenset({'O00232', 'BCR', 'Q13151'})"
"frozenset({'Q86Y13', 'BCR', 'Q86X55'})"
"frozenset({'P28331', 'BCR', 'Q9P0L0'})"
"frozenset({'P68400', 'P61962', 'BCR'})"
"frozenset({'P03372', 'Q86Y37', 'BCR'})"
"frozenset({'BCR', 'Q15233', 'P18206'})"
"frozenset({'P62241', 'BCR', 'P62847'})"
"frozenset({'BCR', 'Q14525', 'P09211'})"
"frozenset({'Q9UQL6', 'BCR', 'P10914'})"
"frozenset({'Q99496', 'BCR', 'P08579'})"
"frozenset({'BCR', 'Q5VSL9', 'P26641'})"
"frozenset({'P55265', 'Q15717', 'BCR'})"
"frozenset({'Q9Y3I0', 'BCR', 'Q93034'})"
"frozenset({'P29590', 'BCR', 'Q05086'})"
"frozenset({'O94913', 'BCR', 'O43809'})"
"frozenset({'Q16623', 'BCR', 'P08247'})"
"frozenset({'P21359', 'BCR', 'Q8TC76'})"
"frozenset({'P05141', 'BCR', 'P08865'})"
"frozenset({'BCR', 'P62993', 'O43781'})"
"frozenset({'BCR', 'Q16181', 'Q13952'})"
"frozenset({'O15304', 'BCR', 'Q00994'})"
"frozenset({'P29597', 'BCR', 'Q99570'})"
"frozenset({'O75312', 'BCR', 'P22234'})"
"frozenset({'Q8TEJ3', 'Q96QZ7', 'BCR'})"
"frozenset({'P62987', 'BCR', 'Q9BXM7'})"
"frozenset({'P20929', 'BCR', 'Q8WZ42'})"
"frozenset({'P17301', 'Q401N2', 'BCR'})"
"frozenset({'Q14676', 'BCR', 'Q6NT76'})"
"frozenset({'P62256', 'Q04206', 'BCR'})"
"frozenset({'Q9BVA1', 'BCR', 'Q14999'})"
"frozenset({'Q2TAL6', 'BCR', 'P25490'})"
"frozenset({'BCR', 'Q9UBS0', 'Q8TCJ0'})"
"frozenset({'P68133', 'P62328', 'BCR'})"
"frozenset({'Q9BTT4', 'BCR', 'P30876'})"
"frozenset({'O14980', 'BCR', 'Q9UHK0'})"
"frozenset({'P63261', 'Q16082', 'BCR'})"
"frozenset({'P37275', 'Q13315', 'BCR'})"
"frozenset({'O75179', 'BCR', 'P16220'})"
"frozenset({'O95471', 'Q96J92', 'BCR'})"
"frozenset({'O75607', 'P19544', 'BCR'})"
"frozenset({'BCR', 'Q92610', 'Q6P9B9'})"
"frozenset({'Q9UKM9', 'Q12950', 'BCR'})"
"frozenset({'Q96AG4', 'Q9H967', 'BCR'})"
"frozenset({'BCR', 'P78527', 'P15927'})"
"frozenset({'P30153', 'Q4G163', 'BCR'})"
"frozenset({'P03891', 'BCR', 'P17612'})"
"frozenset({'Q15717', 'Q7Z628', 'BCR'})"
"frozenset({'Q49AN0', 'Q9UJX3', 'BCR'})"
"frozenset({'Q6ZMK1', 'Q9H201', 'BCR'})"
"frozenset({'Q5VTL8', 'Q6ZT07', 'BCR'})"
"frozenset({'P06756', 'BCR', 'P46019'})"
"frozenset({'Q14C86', 'P06493', 'BCR'})"
"frozenset({'P50222', 'BCR', 'Q13072'})"
"frozenset({'P51665', 'BCR', 'Q14203'})"
"frozenset({'O75529', 'BCR', 'P83369'})"
"frozenset({'O43255', 'BCR', 'P15309'})"
"frozenset({'Q9GZQ8', 'BCR', 'Q14677'})"
"frozenset({'BCR', 'Q13418', 'Q92621'})"
"frozenset({'Q8N7P3', 'BCR', 'Q96AP7'})"
"frozenset({'Q9NW64', 'Q9P0K8', 'BCR'})"
"frozenset({'Q7L5A3', 'Q08379', 'BCR'})"
"frozenset({'O14964', 'BCR', 'P40939'})"
"frozenset({'P02771', 'Q99436', 'BCR'})"
"frozenset({'Q9HC35', 'BCR', 'O95376'})"
"frozenset({'O43639', 'BCR', 'Q92752'})"
"frozenset({'Q05516', 'BCR', 'Q8TC92'})"
"frozenset({'Q8IWV7', 'BCR', 'Q9BX70'})"
"frozenset({'P49903', 'BCR', 'Q96QD5'})"
"frozenset({'P15336', 'P09493', 'BCR'})"
"frozenset({'P35609', 'BCR', 'Q13352'})"
"frozenset({'Q86XP3', 'BCR', 'Q15427'})"
"frozenset({'Q05682', 'P81274', 'BCR'})"
"frozenset({'Q99496', 'P14649', 'BCR'})"
"frozenset({'Q9BQ95', 'BCR', 'Q8N5Y8'})"
"frozenset({'Q6YHU6', 'BCR', 'Q9Y617'})"
"frozenset({'P08729', 'BCR', 'Q14152'})"
"frozenset({'BCR', 'P68104', 'P55774'})"
"frozenset({'P08567', 'P00488', 'BCR'})"
"frozenset({'O95817', 'BCR', 'Q15427'})"
"frozenset({'Q8IWL3', 'BCR', 'Q96I59'})"
"frozenset({'Q52MB2', 'BCR', 'Q13526'})"
"frozenset({'BCR', 'Q8WV99', 'P17980'})"
"frozenset({'P55210', 'BCR', 'Q9UGN5'})"
"frozenset({'Q00005', 'BCR', 'P31751'})"
"frozenset({'Q92597', 'BCR', 'P55072'})"
"frozenset({'Q9GZV4', 'BCR', 'Q9BU89'})"
"frozenset({'O75865', 'Q5T215', 'BCR'})"
"frozenset({'P35968', 'BCR', 'P12931'})"
"frozenset({'Q9HCM4', 'Q86X19', 'BCR'})"
"frozenset({'Q07157', 'O75147', 'BCR'})"
"frozenset({'Q9Y266', 'BCR', 'Q9UG01'})"
"frozenset({'P51654', 'Q12907', 'BCR'})"
"frozenset({'Q13547', 'BCR', 'Q01664'})"
"frozenset({'P16220', 'BCR', 'O95477'})"
"frozenset({'Q86VQ0', 'BCR', 'Q9H7E2'})"
"frozenset({'Q9BQY4', 'BCR', 'Q92530'})"
"frozenset({'Q96QF0', 'BCR', 'P61006'})"
"frozenset({'P31946', 'BCR', 'P50749'})"
