negatives
"frozenset({'CRH', 'Q9BYZ6', 'P21802'})"
"frozenset({'CRH', 'P49736', 'P30566'})"
"frozenset({'CRH', 'Q9UHK0', 'Q14195'})"
"frozenset({'CRH', 'Q9NP81', 'Q9H0E7'})"
"frozenset({'CRH', 'P62258', 'O43318'})"
"frozenset({'CRH', 'Q5T5P2', 'Q9NYB9'})"
"frozenset({'CRH', 'Q9NRR5', 'Q15517'})"
"frozenset({'Q9UQL6', 'CRH', 'Q9UMS4'})"
"frozenset({'CRH', 'P31749', 'Q6R327'})"
"frozenset({'CRH', 'Q96T76', 'O00505'})"
"frozenset({'CRH', 'P60880', 'P54920'})"
"frozenset({'CRH', 'Q9H223', 'P04629'})"
"frozenset({'CRH', 'Q14765', 'P01579'})"
"frozenset({'CRH', 'P67809', 'Q86V81'})"
"frozenset({'CRH', 'Q13501', 'P17931'})"
"frozenset({'CRH', 'A7KAX9', 'Q96EQ0'})"
"frozenset({'CRH', 'P01106', 'Q9Y6Q9'})"
"frozenset({'Q07021', 'CRH', 'Q00059'})"
"frozenset({'P38936', 'Q13485', 'CRH'})"
"frozenset({'CRH', 'P62995', 'Q99728'})"
"frozenset({'CRH', 'Q9NYY1', 'P19235'})"
"frozenset({'CRH', 'P28066', 'P82933'})"
"frozenset({'P17066', 'CRH', 'Q5TC82'})"
"frozenset({'CRH', 'P62993', 'P62857'})"
"frozenset({'CRH', 'Q5TGZ0', 'Q9UBU9'})"
"frozenset({'P52333', 'CRH', 'Q9HBE5'})"
"frozenset({'Q9BVK8', 'CRH', 'Q8N205'})"
"frozenset({'Q9NZI8', 'CRH', 'P05412'})"
"frozenset({'Q15717', 'CRH', 'Q9Y5L0'})"
"frozenset({'CRH', 'Q9BS40', 'P35813'})"
"frozenset({'CRH', 'Q13619', 'Q9Y2Q3'})"
"frozenset({'CRH', 'Q00535', 'Q05397'})"
"frozenset({'CRH', 'P24941', 'P09104'})"
"frozenset({'CRH', 'P21333', 'O95163'})"
"frozenset({'CRH', 'Q99963', 'P22455'})"
"frozenset({'CRH', 'Q8N2M4', 'Q6UXB8'})"
"frozenset({'CRH', 'Q7Z6Z7', 'P51668'})"
"frozenset({'Q01196', 'CRH', 'Q13469'})"
"frozenset({'CRH', 'Q8NA72', 'Q8WXW3'})"
"frozenset({'CRH', 'Q9H488', 'P78504'})"
"frozenset({'P46940', 'CRH', 'O75381'})"
"frozenset({'CRH', 'P52907', 'P27694'})"
"frozenset({'CRH', 'P16333', 'P26951'})"
"frozenset({'CRH', 'P46777', 'Q15527'})"
"frozenset({'CRH', 'P62807', 'P03372'})"
"frozenset({'Q5VYV7', 'CRH', 'Q9UBW8'})"
"frozenset({'CRH', 'Q9Y2K1', 'Q16629'})"
"frozenset({'CRH', 'P22301', 'P48551'})"
"frozenset({'Q15717', 'CRH', 'P54646'})"
"frozenset({'CRH', 'O95967', 'P50222'})"
"frozenset({'CRH', 'P62280', 'Q9H0U6'})"
"frozenset({'CRH', 'P49407', 'P62314'})"
"frozenset({'CRH', 'P08574', 'O96000'})"
"frozenset({'CRH', 'Q5T7W7', 'O14965'})"
"frozenset({'CRH', 'P15153', 'Q04206'})"
"frozenset({'Q9Y6D9', 'CRH', 'Q99583'})"
"frozenset({'Q71RC9', 'CRH', 'Q7Z6L0'})"
"frozenset({'CRH', 'Q8TAP6', 'P62888'})"
"frozenset({'CRH', 'P49736', 'P24928'})"
"frozenset({'CRH', 'P40692', 'P05062'})"
"frozenset({'CRH', 'Q01081', 'Q12986'})"
"frozenset({'Q9BV73', 'CRH', 'P46781'})"
"frozenset({'CRH', 'Q96RU3', 'Q06330'})"
"frozenset({'CRH', 'Q8IYT8', 'Q9BWW4'})"
"frozenset({'CRH', 'O75344', 'Q8IUH5'})"
"frozenset({'P04843', 'CRH', 'P51571'})"
"frozenset({'CRH', 'P37231', 'O43474'})"
"frozenset({'O15111', 'CRH', 'O75376'})"
"frozenset({'Q9Y5B8', 'CRH', 'A0MZ66'})"
"frozenset({'CRH', 'O95084', 'Q9ULJ1'})"
"frozenset({'CRH', 'Q9HB19', 'Q15700'})"
"frozenset({'CRH', 'Q96I15', 'P15586'})"
"frozenset({'Q8TCS8', 'CRH', 'Q9Y4K3'})"
"frozenset({'CRH', 'Q92731', 'Q8IY81'})"
"frozenset({'CRH', 'O75150', 'O00471'})"
"frozenset({'Q15349', 'CRH', 'Q92574'})"
"frozenset({'Q9HCE1', 'Q13085', 'CRH'})"
"frozenset({'Q12982', 'P50221', 'CRH'})"
"frozenset({'CRH', 'P08575', 'P01730'})"
"frozenset({'CRH', 'Q8NI22', 'P27348'})"
"frozenset({'O43504', 'Q15464', 'CRH'})"
"frozenset({'CRH', 'Q15155', 'Q9NRR5'})"
"frozenset({'CRH', 'Q96DC9', 'Q9C035'})"
"frozenset({'P46934', 'CRH', 'Q8N8B7'})"
"frozenset({'CRH', 'Q11130', 'Q92793'})"
"frozenset({'CRH', 'P23786', 'Q99941'})"
"frozenset({'CRH', 'P49736', 'P58876'})"
"frozenset({'Q14164', 'CRH', 'Q13490'})"
"frozenset({'CRH', 'Q02809', 'P04629'})"
"frozenset({'CRH', 'Q9P2W3', 'O95221'})"
"frozenset({'CRH', 'O94763', 'Q9Y265'})"
"frozenset({'CRH', 'Q6ZMZ0', 'P68036'})"
"frozenset({'CRH', 'Q06187', 'P43405'})"
"frozenset({'CRH', 'Q15047', 'O14717'})"
"frozenset({'CRH', 'Q15013', 'Q15645'})"
"frozenset({'P10767', 'CRH', 'P36888'})"
"frozenset({'Q15149', 'CRH', 'Q9HAU0'})"
"frozenset({'CRH', 'Q92925', 'P35226'})"
"frozenset({'CRH', 'P61313', 'P05198'})"
"frozenset({'CRH', 'Q9Y4X5', 'Q9Y6H5'})"
"frozenset({'Q9HCE1', 'CRH', 'Q8NCF5'})"
"frozenset({'CRH', 'Q9Y4W6', 'P08574'})"
